ID	Type
C(CC(C=O)(C(C=C)(CO)O)O)=O	1
C(CC(C(CO)C(CO)O)O)(O)=O	1
C(C1(C(O)OCC1(C)O)CO)=O	1
C1(C(CO)C(C=C)(C(C1O)O)O)=O	1
C(CC(C)C(C(C(C)=O)=O)O)=O	1
C(C(C(CO)(OCC(C)=O)O)O)=O	1
C1(C(C(C(CC1O)=O)O)O)=O	1
C(C(CCC(C(CO)=O)=O)O)(O)=O	1
C=C(C(C(O)=O)=O)C(CO)O	1
C(C(C(CC=CC(C=O)=O)O)O)=O	1
C(CO)(CCC1C(O)OCC1O)=O	1
C(CC(C(CO)=O)=O)(O)=O	1
C(CC(C=O)CC=CC=O)(CCO)=O	1
C(C(C=O)C(C(CO)CO)O)(O)=O	1
C(C(C(CC(CCO)O)=O)CO)=O	1
C(C1COC(C1(CCO)O)=O)=O	1
C(C(C=O)(C=O)C(CC(C=O)=C)O)=O	1
C(C12C(O)OC(C1O)CC2O)=O	1
C(C(C(C)=O)C1COC(C1)=O)=O	1
C1(CC(CO1)C(CC(CO)O)O)=O	1
C(CC(C=O)(C(C(C=O)=O)C)O)=O	1
C(C(C1(COC(C1O)O)O)O)=O	1
C1(C(C)(C(CO1)O)O)=O	1
C(C(C=CC=O)C(C(CC)=O)O)=O	1
C(CCC(C(C=O)=O)CCO)(O)=O	1
C(C(C=O)(CC(CO)O)O)(O)=O	1
C(CCC(C=O)C(C=O)(C=C)O)=O	1
C1(CC(C(C(C=CCO)O)O1)=O)=O	1
C(CCC(C(C(C)=O)OC=O)O)=O	1
C(CC(C)C(C=CC(C=O)=O)O)=O	1
C(CC(C)O)(C(C=CC=O)O)=O	1
C1(C(CO)OC(C1C(C=C)O)O)=O	1
C1(C(CC(CO)(CC(O)O1)O)O)=O	1
C1(C(C)(CC(C(CO)O)(O)O1)O)=O	1
C(C(CO)C(C(O)=O)(CC)O)(O)=O	1
C=CCO	1
C(C(C=O)CC1C(CC(O1)=O)=O)=O	1
