Source,Target,R or P,Reaction Name,Mass
4_0,C(CO)=O,1,Retro Aldol,60.021129368
4_0,C(C(C(CO)O)O)=O,1,Retro Aldol,120.042258736
4_1,C(CO)=O,1,Knoevenagel H (inv),60.021129368
4_1,C(C(C(CO)O)O)=O,1,Knoevenagel H (inv),120.042258736
6_0,C(CO)(C(C(C(CO)O)O)O)=O,1,Keto-enol migration twice,180.063388104
9_0,C(C(C(C(C(CO)O)O)O)O)(O)=O,1,"Cannizarro 2, glucose (oxidation)",196.058302724
9_0,C(C(C(C(C(CO)O)O)O)O)O,1,"Cannizarro 2, glucose (oxidation)",182.079038168
9_1,C(C(C(C(C(CO)O)O)O)O)(O)=O,1,"Cannizarro 2, glucose (reduction)",196.058302724
9_1,C(C(C(C(C(CO)O)O)O)O)O,1,"Cannizarro 2, glucose (reduction)",182.079038168
11_0,O,1,Elimination + enol to keto,18.010564684
11_0,C(C(CC(C(CO)O)O)=O)=O,1,Elimination + enol to keto,162.05282342
13_0,O,1,Elimination + enol to keto,18.010564684
13_0,C(CC(C(C(CO)O)O)=O)=O,1,Elimination + enol to keto,162.05282342
15_0,O,1,Elimination + enol to keto,18.010564684
15_0,C(C(C(CC(CO)O)=O)O)=O,1,Elimination + enol to keto,162.05282342
17_0,O,1,Elimination + enol to keto,18.010564684
17_0,C(CC(C=O)O)(C(CO)O)=O,1,Elimination + enol to keto,162.05282342
19_0,O,1,Elimination + enol to keto,18.010564684
19_0,C(C(C(C=O)O)O)(CCO)=O,1,Elimination + enol to keto,162.05282342
21_0,O,1,Elimination + enol to keto,18.010564684
21_0,C(C(C(CC(CO)=O)O)O)=O,1,Elimination + enol to keto,162.05282342
23_0,O,1,Elimination + enol to keto,18.010564684
23_0,C(C(C(C(C(C)=O)O)O)O)=O,1,Elimination + enol to keto,162.05282342
25_0,O,1,Elimination + enol to keto,18.010564684
25_0,C(CC(C(C(C=O)O)O)O)=O,1,Elimination + enol to keto,162.05282342
27_0,C(C(C1C(C(C(O)O1)O)O)O)O,1,Hemiacetal Formation for 5 membered rings,180.063388104
29_0,C(C1C(C(C(C(O)O1)O)O)O)O,1,Hemiacetal Formation for 6 membered rings,180.063388104
31_0,C1C(C(C(C(C(O)O1)O)O)O)O,1,Hemiacetal Formation for 7 membered rings,180.063388104
33_0,C1(C(C(C(C1CO)O)O)O)=O,1,Aldol Condensation,162.05282342
33_1,C1(C(C(C(C1CO)O)O)O)=O,1,Knoevenagel C,162.05282342
35_0,C1(C(C(C(C(C1)O)O)O)O)=O,1,Aldol Condensation,162.05282342
35_1,C1(C(C(C(C(C1)O)O)O)O)=O,1,Knoevenagel H,162.05282342
36_0,C1(C(C(C(C(C1)O)O)O)O)=O,1,Aldol Condensation,162.05282342
38_0,C(C1C(C(C(C1O)O)O)O)=O,1,Aldol Condensation,162.05282342
38_1,C(C1C(C(C(C1O)O)O)O)=O,1,Knoevenagel C,162.05282342
39_0,C(C(C(CO)O)O)=O,1,Aldol Condensation,120.042258736
39_1,C(C(C(CO)O)O)=O,1,Knoevenagel H,120.042258736
40_0,C(C(C(C(C(CO)O)O)O)O)=O,1,Aldol Condensation,180.063388104
40_1,C(C(C(C(C(CO)O)O)O)O)=O,1,Knoevenagel H,180.063388104
42_0,C(C(CC(C(CO)O)O)O)(O)=O,1,Benzilic Acid Rearrangement,180.06338810399998
42_1,C(C(CC(C(CO)O)O)O)(O)=O,1,Cannizarro 1,180.06338810399998
44_0,O,1,Benzilic Acid Rearrangement (inverse),18.010564684
44_0,C(C(C(C(C(CO)O)O)O)=O)=O,1,Benzilic Acid Rearrangement (inverse),178.04773804
45_0,C(CO)=O,1,Retro Aldol,60.021129368
45_0,C(CO)=O,1,Retro Aldol,60.021129368
45_1,C(CO)=O,1,Knoevenagel H (inv),60.021129368
45_1,C(CO)=O,1,Knoevenagel H (inv),60.021129368
48_0,C(CO)(CO)=O,1,Retro Aldol,90.031694052
48_0,C(C(CO)O)=O,1,Retro Aldol,90.031694052
48_1,C(CO)(CO)=O,1,Knoevenagel H (inv),90.031694052
48_1,C(C(CO)O)=O,1,Knoevenagel H (inv),90.031694052
50_0,C(C(CO)O)=O,1,Retro Aldol,90.031694052
50_0,C(C(C)=O)=O,1,Retro Aldol,72.021129368
52_0,C(CO)=O,1,Retro Aldol,60.021129368
52_0,C(CC(CO)=O)=O,1,Retro Aldol,102.031694052
52_1,C(CO)=O,1,Knoevenagel H (inv),60.021129368
52_1,C(CC(CO)=O)=O,1,Knoevenagel H (inv),102.031694052
54_0,C(CO)=O,1,Retro Aldol,60.021129368
54_0,C(C(C(C)=O)O)=O,1,Retro Aldol,102.031694052
57_0,C(C=O)=O,1,Retro Aldol,58.005479304000005
57_0,C(C)(C(CO)O)=O,1,Retro Aldol,104.047344116
60_0,C(C(CC(CO)=O)O)=O,1,Retro Aldol,132.042258736
60_0,C=O,1,Retro Aldol,30.010564684
60_1,C(C(CC(CO)=O)O)=O,1,Knoevenagel H (inv),132.042258736
60_1,C=O,1,Knoevenagel H (inv),30.010564684
62_0,C(CO)=O,1,Retro Aldol,60.021129368
62_0,C(C(CCO)=O)=O,1,Retro Aldol,102.031694052
62_1,C(CO)=O,1,Knoevenagel H (inv),60.021129368
62_1,C(C(CCO)=O)=O,1,Knoevenagel H (inv),102.031694052
64_0,C(C=O)=O,1,Retro Aldol,58.005479304000005
64_0,C(CO)(CCO)=O,1,Retro Aldol,104.047344116
64_1,C(C=O)=O,1,Knoevenagel H (inv),58.005479304000005
64_1,C(CO)(CCO)=O,1,Knoevenagel H (inv),104.047344116
66_0,C=O,1,Retro Aldol,30.010564684
66_0,C(C(C(C(C)=O)O)O)=O,1,Retro Aldol,132.042258736
67_0,C(CO)=O,1,Retro Aldol,60.021129368
67_0,C(CC(CO)=O)=O,1,Retro Aldol,102.031694052
67_1,C(CO)=O,1,Knoevenagel H (inv),60.021129368
67_1,C(CC(CO)=O)=O,1,Knoevenagel H (inv),102.031694052
70_0,C(C(C=O)O)=O,1,Retro Aldol,88.016043988
70_0,C(C)(CO)=O,1,Retro Aldol,74.036779432
71_0,C(CO)=O,1,Retro Aldol,60.021129368
71_0,C(C(C(C)=O)O)=O,1,Retro Aldol,102.031694052
71_1,C(CO)=O,1,Knoevenagel H (inv),60.021129368
71_1,C(C(C(C)=O)O)=O,1,Knoevenagel H (inv),102.031694052
72_0,C(C(C=O)O)=O,1,Retro Aldol,88.016043988
72_0,C(C)(CO)=O,1,Retro Aldol,74.036779432
72_1,C(C(C=O)O)=O,1,Knoevenagel H (inv),88.016043988
72_1,C(C)(CO)=O,1,Knoevenagel H (inv),74.036779432
74_0,C(CO)=O,1,Retro Aldol,60.021129368
74_0,C(CC(C=O)O)=O,1,Retro Aldol,102.031694052
74_1,C(CO)=O,1,Knoevenagel H (inv),60.021129368
74_1,C(CC(C=O)O)=O,1,Knoevenagel H (inv),102.031694052
77_0,C(C(C(C=O)O)O)=O,1,Retro Aldol,118.026608672
77_0,C(C)=O,1,Retro Aldol,44.026214748
78_0,C(CO)=O,1,Keto-enol migration twice,60.021129368
80_0,C(CO)(C(CO)O)=O,1,Keto-enol migration twice,120.042258736
81_0,C(C(C(C(C(CO)O)O)O)O)=O,1,Keto-enol migration twice,180.063388104
83_0,C(C(C(CO)O)O)(C(CO)O)=O,1,Keto-enol migration twice,180.063388104
85_0,C(CC(C(C(CO)O)=O)O)=O,1,Keto-enol migration twice,162.05282342
87_0,C(C(CO)=O)(CC(CO)O)=O,1,Keto-enol migration twice,162.05282342
89_0,C(C(C(CC(CO)O)O)=O)=O,1,Keto-enol migration twice,162.05282342
91_0,C(C(CO)O)(CC(CO)=O)=O,1,Keto-enol migration twice,162.05282342
93_0,C(C(CC(C(CO)=O)O)O)=O,1,Keto-enol migration twice,162.05282342
95_0,C(CCO)(C(C(CO)=O)O)=O,1,Keto-enol migration twice,162.05282342
97_0,C(C(C(C(CCO)O)=O)O)=O,1,Keto-enol migration twice,162.05282342
99_0,C(CO)(C(CC(CO)=O)O)=O,1,Keto-enol migration twice,162.05282342
101_0,C(C(C(CC(C=O)O)O)O)=O,1,Keto-enol migration twice,162.05282342
103_0,C(C)(C(C(C(CO)=O)O)O)=O,1,Keto-enol migration twice,162.05282342
105_0,C(C(C(C=O)O)O)(C(C)O)=O,1,Keto-enol migration twice,162.05282342
107_0,C(CC(C(C(CO)=O)O)O)=O,1,Keto-enol migration twice,162.05282342
109_0,C(C(C(C(C(CO)O)O)O)O)(O)=O,1,"Cannizarro 2, glucose (oxidation)",196.058302724
109_0,C(CO)O,1,"Cannizarro 2, glucose (oxidation)",62.036779432
111_0,C(C(C(C(C(CO)O)O)O)O)(O)=O,1,"Cannizarro 2, glucose (oxidation)",196.058302724
111_0,C(C(C(CO)O)O)O,1,"Cannizarro 2, glucose (oxidation)",122.0579088
113_0,C(C(C(C(C(CO)O)O)O)O)(O)=O,1,"Cannizarro 2, glucose (oxidation)",196.058302724
113_0,C(CO)(CC(C(CO)O)O)=O,1,"Cannizarro 2, glucose (oxidation)",164.068473484
115_0,C(C(C(C(C(CO)O)O)O)O)(O)=O,1,"Cannizarro 2, glucose (oxidation)",196.058302724
115_0,C(C(C(CO)O)O)(CCO)=O,1,"Cannizarro 2, glucose (oxidation)",164.068473484
117_0,C(C(C(C(C(CO)O)O)O)O)(O)=O,1,"Cannizarro 2, glucose (oxidation)",196.058302724
117_0,C(C(CO)O)(CC(CO)O)=O,1,"Cannizarro 2, glucose (oxidation)",164.068473484
118_0,C(C(C(C(C(CO)O)O)O)O)(O)=O,1,"Cannizarro 2, glucose (oxidation)",196.058302724
118_0,C(C(CO)O)(CC(CO)O)=O,1,"Cannizarro 2, glucose (oxidation)",164.068473484
119_0,C(C(C(C(C(CO)O)O)O)O)(O)=O,1,"Cannizarro 2, glucose (oxidation)",196.058302724
119_0,C(C(C(CO)O)O)(CCO)=O,1,"Cannizarro 2, glucose (oxidation)",164.068473484
120_0,C(C(C(C(C(CO)O)O)O)O)(O)=O,1,"Cannizarro 2, glucose (oxidation)",196.058302724
120_0,C(CO)(CC(C(CO)O)O)=O,1,"Cannizarro 2, glucose (oxidation)",164.068473484
122_0,C(C(C(C(C(CO)O)O)O)O)(O)=O,1,"Cannizarro 2, glucose (oxidation)",196.058302724
122_0,C(C)(C(C(C(CO)O)O)O)=O,1,"Cannizarro 2, glucose (oxidation)",164.068473484
124_0,C(C(C(C(C(CO)O)O)O)O)(O)=O,1,"Cannizarro 2, glucose (oxidation)",196.058302724
124_0,C(CC(C(C(CO)O)O)O)=O,1,"Cannizarro 2, glucose (oxidation)",164.068473484
126_0,C(C(C(C(C(CO)O)O)O)O)(O)=O,1,"Cannizarro 2, glucose (oxidation)",196.058302724
126_0,C(C(C(C(CCO)O)O)O)=O,1,"Cannizarro 2, glucose (oxidation)",164.068473484
128_0,C(C(C(C(C(CO)O)O)O)O)O,1,"Cannizarro 2, glucose (reduction)",182.079038168
128_0,C(CO)(O)=O,1,"Cannizarro 2, glucose (reduction)",76.01604398799999
130_0,C(C(C(C(C(CO)O)O)O)O)O,1,"Cannizarro 2, glucose (reduction)",182.079038168
130_0,C(C(C(CO)O)O)(O)=O,1,"Cannizarro 2, glucose (reduction)",136.03717335599998
132_0,C(C(C(C(C(CO)O)O)O)O)O,1,"Cannizarro 2, glucose (reduction)",182.079038168
132_0,C(C(CC(C(CO)O)O)=O)(O)=O,1,"Cannizarro 2, glucose (reduction)",178.04773803999998
134_0,C(C(C(C(C(CO)O)O)O)O)O,1,"Cannizarro 2, glucose (reduction)",182.079038168
134_0,C(CC(C(C(CO)O)O)=O)(O)=O,1,"Cannizarro 2, glucose (reduction)",178.04773804
136_0,C(C(C(C(C(CO)O)O)O)O)O,1,"Cannizarro 2, glucose (reduction)",182.079038168
136_0,C(C(C(CC(CO)O)=O)O)(O)=O,1,"Cannizarro 2, glucose (reduction)",178.04773803999998
138_0,C(C(C(C(C(CO)O)O)O)O)O,1,"Cannizarro 2, glucose (reduction)",182.079038168
138_0,C(CC(C(O)=O)O)(C(CO)O)=O,1,"Cannizarro 2, glucose (reduction)",178.04773803999998
140_0,C(C(C(C(C(CO)O)O)O)O)O,1,"Cannizarro 2, glucose (reduction)",182.079038168
140_0,C(C(C(C(O)=O)O)O)(CCO)=O,1,"Cannizarro 2, glucose (reduction)",178.04773803999998
142_0,C(C(C(C(C(CO)O)O)O)O)O,1,"Cannizarro 2, glucose (reduction)",182.079038168
142_0,C(C(C(CC(CO)=O)O)O)(O)=O,1,"Cannizarro 2, glucose (reduction)",178.04773803999998
144_0,C(C(C(C(C(CO)O)O)O)O)O,1,"Cannizarro 2, glucose (reduction)",182.079038168
144_0,C(C(C(C(C(C)=O)O)O)O)(O)=O,1,"Cannizarro 2, glucose (reduction)",178.04773803999998
146_0,C(C(C(C(C(CO)O)O)O)O)O,1,"Cannizarro 2, glucose (reduction)",182.079038168
146_0,C(CC(C(C(C(O)=O)O)O)O)=O,1,"Cannizarro 2, glucose (reduction)",178.04773803999998
148_0,C(C(C(C(C(CO)O)O)O)O)O,1,"Cannizarro 2, glucose (reduction)",182.079038168
148_0,C(CC(C(C(C=O)O)O)O)(O)=O,1,"Cannizarro 2, glucose (reduction)",178.04773803999998
150_0,C1(CC(C(C1(CO)O)O)O)=O,1,Knoevenagel C,162.05282342
150_1,C1(CC(C(C1(CO)O)O)O)=O,1,Knoevenagel H,162.05282342
152_0,C(C1(C(C(CC1O)O)O)O)=O,1,Knoevenagel C,162.05282342
152_1,C(C1(C(C(CC1O)O)O)O)=O,1,Knoevenagel H,162.05282342
154_0,C(C(C(CO)O)(C(CO)O)O)=O,1,Knoevenagel C,180.063388104
154_1,C(C(C(CO)O)(C(CO)O)O)=O,1,Knoevenagel H,180.063388104
155_0,C(C(C(CO)O)O)=O,1,Knoevenagel H (inv),120.042258736
155_0,C(CO)(O)=O,1,Knoevenagel H (inv),76.01604398799999
156_0,O,1,Elimination + enol to keto,18.010564684
156_0,C(C(CCO)=O)=O,1,Elimination + enol to keto,102.031694052
157_0,O,1,Elimination + enol to keto,18.010564684
157_0,C(CC(CO)=O)=O,1,Elimination + enol to keto,102.031694052
158_0,O,1,Elimination + enol to keto,18.010564684
158_0,C(C(C(C)=O)O)=O,1,Elimination + enol to keto,102.031694052
159_0,O,1,Elimination + enol to keto,18.010564684
159_0,C(CC(C=O)O)=O,1,Elimination + enol to keto,102.031694052
160_0,O,1,Elimination + enol to keto,18.010564684
160_0,C(C(CO)=O)(CC(CO)O)=O,1,Elimination + enol to keto,162.05282342
161_0,O,1,Elimination + enol to keto,18.010564684
161_0,C(C(CO)O)(CC(CO)=O)=O,1,Elimination + enol to keto,162.05282342
162_0,O,1,Elimination + enol to keto,18.010564684
162_0,C(CCO)(C(C(CO)=O)O)=O,1,Elimination + enol to keto,162.05282342
163_0,O,1,Elimination + enol to keto,18.010564684
163_0,C(CO)(C(CC(CO)=O)O)=O,1,Elimination + enol to keto,162.05282342
164_0,O,1,Elimination + enol to keto,18.010564684
164_0,C(C)(C(C(C(CO)=O)O)O)=O,1,Elimination + enol to keto,162.05282342
165_0,O,1,Elimination + enol to keto,18.010564684
165_0,C(CC(C(C(CO)=O)O)O)=O,1,Elimination + enol to keto,162.05282342
166_0,O,1,Elimination + enol to keto,18.010564684
166_0,C(C(CC(C(CO)O)O)=O)(O)=O,1,Elimination + enol to keto,178.04773803999998
167_0,O,1,Elimination + enol to keto,18.010564684
167_0,C(CC(C(C(CO)O)O)=O)(O)=O,1,Elimination + enol to keto,178.04773804
168_0,O,1,Elimination + enol to keto,18.010564684
