Source,Target,R or P,Reaction Name,Mass
3_0,C(C(C)(CC(C(O)=O)=O)O)(O)=O,1,Aldol Condensation,176.032087976
5_0,C(C(CO)O)(O)=O,1,Hydration of C(=O)C,106.026608672
8_0,C(C)=O,1,Alpha-Keto Acid Decarboxylation,44.026214748
8_0,C(=O)=O,1,Alpha-Keto Acid Decarboxylation,43.98982924
10_0,C(CC(C)O)=O,1,Aldol Condensation,88.052429496
12_0,C(C(CC(C)O)=O)(O)=O,1,Aldol Condensation,132.042258736
14_0,C(CC(O)=O)=O,1,Aldol Condensation,88.016043988
16_0,C(C(C)(CC=O)O)(O)=O,1,Aldol Condensation,132.042258736
18_0,C(CC(C(O)=O)=O)(O)=O,1,Aldol Condensation,132.005873228
20_0,O,1,Benzilic Acid Rearrangement (inverse),18.010564684
20_0,C(C(O)=O)(CC(C(C)=O)=O)=O,1,Benzilic Acid Rearrangement (inverse),158.021523292
22_0,O,1,Benzilic Acid Rearrangement (inverse),18.010564684
22_0,C(C(CO)=O)=O,1,Benzilic Acid Rearrangement (inverse),88.016043988
23_0,C(C(C)=O)(O)=O,1,Retro Aldol,88.016043988
23_0,C(C(C)=O)(O)=O,1,Retro Aldol,88.016043988
25_0,C(C(CO)(C(C)O)O)(O)=O,1,Knoevenagel C,150.05282342
25_1,C(C(CO)(C(C)O)O)(O)=O,1,Knoevenagel H,150.05282342
27_0,C(C(C(O)=O)(CO)O)(O)=O,1,Knoevenagel C,150.016437912
27_1,C(C(C(O)=O)(CO)O)(O)=O,1,Knoevenagel H,150.016437912
29_0,C(C(CO)(C(C(O)=O)(C)O)O)(O)=O,1,Knoevenagel C,194.04265266
29_1,C(C(CO)(C(C(O)=O)(C)O)O)(O)=O,1,Knoevenagel H,194.04265266
32_0,C=O,1,Knoevenagel H (inv),30.010564684
32_0,C(CO)(O)=O,1,Knoevenagel H (inv),76.016043988
33_0,O,1,Elimination + enol to keto,18.010564684
33_0,C(CC(O)=O)=O,1,Elimination + enol to keto,88.016043988
34_0,C(C(C)=O)(O)=O,1,Elimination + enol to keto,88.016043988
34_0,O,1,Elimination + enol to keto,18.010564684
36_0,O,1,Elimination2,18.010564684
36_0,C(C(C)=CC(C(O)=O)=O)(O)=O,1,Elimination2,158.021523292
38_0,O,1,Elimination2,18.010564684
38_0,C=C(C(O)=O)CC(C(O)=O)=O,1,Elimination2,158.021523292
40_0,C(C(C)(C(C(C(O)=O)O)O)O)(O)=O,1,Hydration of C(=O)C,194.04265266
42_0,C(CO)O,1,Hydration of C(=O)C,62.036779432
44_0,C1(C(C)(CC(C(O)=O)(O)O1)O)=O,1,Hemiacetal Formation for 5 membered rings,176.032087976
45_0,C(=O)=O,1,Alpha-Keto Acid Decarboxylation,43.98982924
45_0,C(C(C)(CC=O)O)(O)=O,1,Alpha-Keto Acid Decarboxylation,132.042258736
47_0,O,1,"Ring Closure 5 membered O, O",18.010564684
47_0,C(C1(C)CC(C(O1)=O)=O)(O)=O,1,"Ring Closure 5 membered O, O",158.021523292
49_0,O,1,"Ring Closure 6 membered O, O",18.010564684
49_0,C1(C(C)(CC(C(O1)=O)=O)O)=O,1,"Ring Closure 6 membered O, O",158.021523292
51_0,C(C1(CC(C(C1)=O)=O)O)(O)=O,1,Aldol Condensation,158.021523292
53_0,C(C(C(C)O)C(CC(C)O)O)=O,1,Aldol Condensation,176.104858992
53_1,C(C(C(C)O)C(CC(C)O)O)=O,1,Knoevenagel C,176.104858992
55_0,C(C(C=O)C(CC(C)O)O)(O)=O,1,Aldol Condensation,176.068473484
55_1,C(C(C=O)C(CC(C)O)O)(O)=O,1,Knoevenagel C,176.068473484
57_0,C(C(C(C(CC(C)O)O)O)=O)=O,1,Aldol Condensation,176.068473484
57_1,C(C(C(C(CC(C)O)O)O)=O)=O,1,Knoevenagel H,176.068473484
59_0,C(CC(CC(C)O)O)=O,1,Aldol Condensation,132.078644244
61_0,C(C(CC(CC(C)O)O)=O)(O)=O,1,Aldol Condensation,176.068473484
63_0,C(C(C(CC(O)=O)O)C(C)O)=O,1,Aldol Condensation,176.068473484
63_1,C(C(C(CC(O)=O)O)C(C)O)=O,1,Knoevenagel C,176.068473484
65_0,C(C(C(C)O)C(C(CO)=O)O)=O,1,Aldol Condensation,176.068473484
65_1,C(C(C(C)O)C(C(CO)=O)O)=O,1,Knoevenagel C,176.068473484
67_0,C(C(C(C)O)C(C=O)(CO)O)=O,1,Aldol Condensation,176.068473484
67_1,C(C(C(C)O)C(C=O)(CO)O)=O,1,Knoevenagel C,176.068473484
69_0,C(C(CO)C(C)O)=O,1,Aldol Condensation,118.06299418
69_1,C(C(CO)C(C)O)=O,1,Knoevenagel C,118.06299418
71_0,C(C(C(C)O)C(C)O)=O,1,Aldol Condensation,132.078644244
71_1,C(C(C(C)O)C(C)O)=O,1,Knoevenagel C,132.078644244
73_0,C(C(C=O)C(C)O)(O)=O,1,Aldol Condensation,132.042258736
73_1,C(C(C=O)C(C)O)(O)=O,1,Knoevenagel C,132.042258736
75_0,C(C(C(C)O)C(C(O)=O)(C)O)=O,1,Aldol Condensation,176.068473484
75_1,C(C(C(C)O)C(C(O)=O)(C)O)=O,1,Knoevenagel C,176.068473484
77_0,C(C(CC(C)O)(CC=O)O)(O)=O,1,Aldol Condensation,176.068473484
79_0,C(C(C(CO)C(C)O)=O)(O)=O,1,Aldol Condensation,162.05282342
79_1,C(C(C(CO)C(C)O)=O)(O)=O,1,Knoevenagel C,162.05282342
81_0,C(C(C(C(C)O)C(C)O)=O)(O)=O,1,Aldol Condensation,176.068473484
81_1,C(C(C(C(C)O)C(C)O)=O)(O)=O,1,Knoevenagel C,176.068473484
83_0,C(C(C(C(O)=O)=O)C(C)O)(O)=O,1,Aldol Condensation,176.032087976
83_1,C(C(C(C(O)=O)=O)C(C)O)(O)=O,1,Knoevenagel C,176.032087976
85_0,C(C(C=O)C(CC(O)=O)O)(O)=O,1,Aldol Condensation,176.032087976
85_1,C(C(C=O)C(CC(O)=O)O)(O)=O,1,Knoevenagel C,176.032087976
87_0,C(CC(C(C(C=O)=O)O)O)(O)=O,1,Aldol Condensation,176.032087976
87_1,C(CC(C(C(C=O)=O)O)O)(O)=O,1,Knoevenagel H,176.032087976
89_0,C(CC(CC=O)O)(O)=O,1,Aldol Condensation,132.042258736
91_0,C(CC(CC(C(O)=O)=O)O)(O)=O,1,Aldol Condensation,176.032087976
93_0,C(C(C=O)C(C(CO)=O)O)(O)=O,1,Aldol Condensation,176.032087976
93_1,C(C(C=O)C(C(CO)=O)O)(O)=O,1,Knoevenagel C,176.032087976
95_0,C(C(C=O)C(C=O)(CO)O)(O)=O,1,Aldol Condensation,176.032087976
95_1,C(C(C=O)C(C=O)(CO)O)(O)=O,1,Knoevenagel C,176.032087976
97_0,C(C(C=O)CO)(O)=O,1,Aldol Condensation,118.026608672
97_1,C(C(C=O)CO)(O)=O,1,Knoevenagel C,118.026608672
98_0,C(C(C=O)C(C)O)(O)=O,1,Aldol Condensation,132.042258736
98_1,C(C(C=O)C(C)O)(O)=O,1,Knoevenagel C,132.042258736
100_0,C(C(C(O)=O)C(O)=O)=O,1,Aldol Condensation,132.005873228
100_1,C(C(C(O)=O)C(O)=O)=O,1,Knoevenagel C,132.005873228
102_0,C(C(C=O)C(C(O)=O)(C)O)(O)=O,1,Aldol Condensation,176.032087976
102_1,C(C(C=O)C(C(O)=O)(C)O)(O)=O,1,Knoevenagel C,176.032087976
104_0,C(C(C)(CC(CC=O)O)O)(O)=O,1,Aldol Condensation,176.068473484
106_0,C(C(CO)C(C(O)=O)(C)O)=O,1,Aldol Condensation,162.05282342
106_1,C(C(CO)C(C(O)=O)(C)O)=O,1,Knoevenagel C,162.05282342
107_0,C(C(C(C)O)C(C(O)=O)(C)O)=O,1,Aldol Condensation,176.068473484
107_1,C(C(C(C)O)C(C(O)=O)(C)O)=O,1,Knoevenagel C,176.068473484
108_0,C(C(C=O)C(C(O)=O)(C)O)(O)=O,1,Aldol Condensation,176.032087976
108_1,C(C(C=O)C(C(O)=O)(C)O)(O)=O,1,Knoevenagel C,176.032087976
110_0,C(CC(C(O)=O)(CC=O)O)(O)=O,1,Aldol Condensation,176.032087976
112_0,C(C(C(C(O)=O)=O)CO)(O)=O,1,Aldol Condensation,162.016437912
112_1,C(C(C(C(O)=O)=O)CO)(O)=O,1,Knoevenagel C,162.016437912
113_0,C(C(C(C(O)=O)=O)C(C)O)(O)=O,1,Aldol Condensation,176.032087976
113_1,C(C(C(C(O)=O)=O)C(C)O)(O)=O,1,Knoevenagel C,176.032087976
115_0,C(C(C(O)=O)C(C(O)=O)=O)(O)=O,1,Aldol Condensation,175.99570246800002
