ID	Type
C(C1CC(C(C(O)=O)(O1)O)O)=O	1
C(CC(C(C(C)=CC=O)O)=O)=O	1
C(C(CC(C=O)=O)O)(C(C=C)O)=O	1
C1(C(CCC=O)(C(C(O)O1)O)O)=O	1
C(C(CO)C(CO)(CC=O)O)(O)=O	1
C1(C(O)OCC(C=O)=CC1O)=O	1
C1(C(C(C(C(CO)=O)O1)O)O)=O	1
C(C1(CO)CCC(C(O)=O)O1)=O	1
C(CC1C=C(C(O1)=O)C(C)O)=O	1
C(C(C1(COC(C1O)O)CO)=O)=O	1
C(C1(C(C(C(O1)=O)C(C)=O)O)O)=O	1
C(C(C)O)(CC(CC(C=O)=C)O)=O	1
C(CCC1C(C(C(C1O)O)O)=O)=O	1
C1(C(C=O)C(C(C=C)(O)O1)=O)=O	1
C(CC(C(C(C=O)O)=O)=C)=O	1
C(C(C(C)=O)C(C(C=CC=O)=O)O)=O	1
C(CC1C(C(CO)(CO1)O)=O)(O)=O	1
C=CC(C(CO)=O)=CC=O	1
C(CCC(C(O)=O)C(CO)=O)(O)=O	1
C(C1(C(COC1(C(C)O)O)O)O)=O	1
C(C(C(C=O)=CC(O)=O)O)=O	1
C(CC(C(CC)=O)=O)(O)=O	1
C=CC(C=O)=C(C=O)C(C)=O	1
C(C1(C(C(C=O)C(C1O)=O)O)O)=O	1
C(C(CC(C(CO)O)O)C(C)O)=O	1
C1(C(C(CO)(O)OCC1CO)O)=O	1
C1(CC(CO1)CC(C(C)=O)=O)=O	1
C1(C(O)OCC1C(C)(C(C)O)O)=O	1
C1OCC(C=1)(C(C(C(O)=O)=O)C)O	1
C(C(C)(C1(C(C(C(C1)=O)=C)=O)O)O)=O	1
C(C(CC(C(O)=O)CC=O)O)(O)=O	1
C(CCC(C(C(CO)O)=O)(C)O)=O	1
C1(CC(C2C1C(CC(O)O2)O)O)=O	1
C(C(C(C)O)(CC=O)CC(C=C)=O)=O	1
C1(C(CO)OC(C1(CCO)O)O)=O	1
C1C(COC=1C(CO)=O)O	1
C1C(C=CC=O)(OC(C=1)CO)O	1
C(C(C(CO)O)(CCO)O)=CC=O	1
C(C)(C(C(CC(C=C)O)O)O)=O	1
[C](C(O)=O)(C(C(CO)C(C)O)O)O	1
C(C(C(CCC=CC(O)=O)=O)O)=O	1
C(C)(C(CCO)(C(C)(C)O)O)=O	1
C(C1CC(C(CC(O1)O)O)O)(O)=O	1
C1(C(CCO1)(CCC(C=O)O)O)=O	1
C(CC(CC(C=O)=C)O)(CC(C)=O)=O	1
C(CC(C(C=C(C)CO)=O)=O)=O	1
C1(C2(C(C=CO2)=O)C(CO1)O)=O	1
C(C(C1C=CC(O1)=O)C(C=C)O)=O	1
C(C(C(C)=O)C1C(C(C(C1)=O)O)=O)=O	1
C1(C(C)(C(C(O)O1)C(C=O)O)O)=O	1
C1(C(O)OCC1C(C)O)=O	1
C=C(C(CO)O)C(CO)(CO)O	1
C(C(CCO)(CCO)CC=O)(O)=O	1
