ID	Species	R or P	Reaction Name	Mass
4_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Retro Aldol	180.063388104
4_0	C(CO)=O	1	Retro Aldol	60.021129368000004
4_0	C(C(C(CO)O)O)=O	1	Retro Aldol	120.04225873600001
4_1	C(C(C(C(C(CO)O)O)O)O)=O	-1	Knoevenagel H (inv)	180.063388104
4_1	C(CO)=O	1	Knoevenagel H (inv)	60.021129368000004
4_1	C(C(C(CO)O)O)=O	1	Knoevenagel H (inv)	120.04225873600001
6_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Keto-enol migration twice	180.063388104
6_0	C(CO)(C(C(C(CO)O)O)O)=O	1	Keto-enol migration twice	180.063388104
9_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Cannizarro 2, glucose (oxidation)	180.063388104
9_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Cannizarro 2, glucose (oxidation)	180.063388104
9_0	O	-1	Cannizarro 2, glucose (oxidation)	18.010564684
9_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	1	Cannizarro 2, glucose (oxidation)	196.05830272400001
9_0	C(C(C(C(C(CO)O)O)O)O)O	1	Cannizarro 2, glucose (oxidation)	182.079038168
9_1	C(C(C(C(C(CO)O)O)O)O)=O	-1	Cannizarro 2, glucose (reduction)	180.063388104
9_1	C(C(C(C(C(CO)O)O)O)O)=O	-1	Cannizarro 2, glucose (reduction)	180.063388104
9_1	O	-1	Cannizarro 2, glucose (reduction)	18.010564684
9_1	C(C(C(C(C(CO)O)O)O)O)(O)=O	1	Cannizarro 2, glucose (reduction)	196.05830272400001
9_1	C(C(C(C(C(CO)O)O)O)O)O	1	Cannizarro 2, glucose (reduction)	182.079038168
11_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
11_0	O	1	Elimination + enol to keto	18.010564684
11_0	C(C(CC(C(CO)O)O)=O)=O	1	Elimination + enol to keto	162.05282342
13_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
13_0	O	1	Elimination + enol to keto	18.010564684
13_0	C(CC(C(C(CO)O)O)=O)=O	1	Elimination + enol to keto	162.05282342
15_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
15_0	O	1	Elimination + enol to keto	18.010564684
15_0	C(C(C(CC(CO)O)=O)O)=O	1	Elimination + enol to keto	162.05282342
17_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
17_0	O	1	Elimination + enol to keto	18.010564684
17_0	C(CC(C=O)O)(C(CO)O)=O	1	Elimination + enol to keto	162.05282342
19_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
19_0	O	1	Elimination + enol to keto	18.010564684
19_0	C(C(C(C=O)O)O)(CCO)=O	1	Elimination + enol to keto	162.05282342
21_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
21_0	O	1	Elimination + enol to keto	18.010564684
21_0	C(C(C(CC(CO)=O)O)O)=O	1	Elimination + enol to keto	162.05282342
23_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
23_0	O	1	Elimination + enol to keto	18.010564684
23_0	C(C(C(C(C(C)=O)O)O)O)=O	1	Elimination + enol to keto	162.05282342
25_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
25_0	O	1	Elimination + enol to keto	18.010564684
25_0	C(CC(C(C(C=O)O)O)O)=O	1	Elimination + enol to keto	162.05282342
27_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Hemiacetal Formation for 5 membered rings	180.063388104
27_0	C(C(C1C(C(C(O)O1)O)O)O)O	1	Hemiacetal Formation for 5 membered rings	180.063388104
29_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Hemiacetal Formation for 6 membered rings	180.063388104
29_0	C(C1C(C(C(C(O)O1)O)O)O)O	1	Hemiacetal Formation for 6 membered rings	180.063388104
31_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Hemiacetal Formation for 7 membered rings	180.063388104
31_0	C1C(C(C(C(C(O)O1)O)O)O)O	1	Hemiacetal Formation for 7 membered rings	180.063388104
33_0	C(C(C(C=O)O)O)(CCO)=O	-1	Aldol Condensation	162.05282342
33_0	C1(C(C(C(C1CO)O)O)O)=O	1	Aldol Condensation	162.05282342
33_1	C(C(C(C=O)O)O)(CCO)=O	-1	Knoevenagel C	162.05282342
33_1	C1(C(C(C(C1CO)O)O)O)=O	1	Knoevenagel C	162.05282342
35_0	C(C(C(CC(CO)=O)O)O)=O	-1	Aldol Condensation	162.05282342
35_0	C1(C(C(C(C(C1)O)O)O)O)=O	1	Aldol Condensation	162.05282342
35_1	C(C(C(CC(CO)=O)O)O)=O	-1	Knoevenagel H	162.05282342
35_1	C1(C(C(C(C(C1)O)O)O)O)=O	1	Knoevenagel H	162.05282342
36_0	C(C(C(C(C(C)=O)O)O)O)=O	-1	Aldol Condensation	162.05282342
36_0	C1(C(C(C(C(C1)O)O)O)O)=O	1	Aldol Condensation	162.05282342
38_0	C(CC(C(C(C=O)O)O)O)=O	-1	Aldol Condensation	162.05282342
38_0	C(C1C(C(C(C1O)O)O)O)=O	1	Aldol Condensation	162.05282342
38_1	C(CC(C(C(C=O)O)O)O)=O	-1	Knoevenagel C	162.05282342
38_1	C(C1C(C(C(C1O)O)O)O)=O	1	Knoevenagel C	162.05282342
39_0	C(CO)=O	-1	Aldol Condensation	60.021129368000004
39_0	C(CO)=O	-1	Aldol Condensation	60.021129368000004
39_0	C(C(C(CO)O)O)=O	1	Aldol Condensation	120.04225873600001
39_1	C(CO)=O	-1	Knoevenagel H	60.021129368000004
39_1	C(CO)=O	-1	Knoevenagel H	60.021129368000004
39_1	C(C(C(CO)O)O)=O	1	Knoevenagel H	120.04225873600001
40_0	C(CO)=O	-1	Aldol Condensation	60.021129368000004
40_0	C(C(C(CO)O)O)=O	-1	Aldol Condensation	120.04225873600001
40_0	C(C(C(C(C(CO)O)O)O)O)=O	1	Aldol Condensation	180.063388104
40_1	C(CO)=O	-1	Knoevenagel H	60.021129368000004
40_1	C(C(C(CO)O)O)=O	-1	Knoevenagel H	120.04225873600001
