ID	Type
C(CC(C(CC=O)O)=O)=O	1
C(C=O)=O	1
C(C(C(CC(CO)O)O)=O)=O	1
C(CC(C)O)=O	1
C(CC(C(C=O)O)CC(CO)=O)=O	1
C(CC(C(C(C)=O)O)=O)(O)=O	1
C(CO)(C(C(CCO)O)O)=O	1
C(C1(C(C(C(CO)O1)O)O)O)O	1
C(C(C(CC(C(C)=O)O)=O)O)=O	1
C(C(C(CC(C)O)=O)O)=O	1
C1(CC(C(C1CO)=O)O)=O	1
C(C1(CC(C(CO)O1)O)O)(O)=O	1
C(C1(CC(C(CO1)O)O)O)(O)=O	1
C(C(C(C(C=C)=O)O)O)=O	1
C1(C(C(CO)OC(C1CO)O)O)=O	1
C1(C(C(CO)O)OC(C1CO)O)=O	1
C(C1C(C(C(O1)=C)O)O)=O	1
C(C(COC(C(C)=O)O)O)=O	1
C1(C(CCO)OC(C1O)O)=O	1
C(C)(C(C(C(CO)O)O)O)=O	1
C(C(C1(C(CCO1)O)O)O)=O	1
C(CC(CC(CO)(CC=O)O)=O)=O	1
C1(C(C(CC(CO)(O)O1)O)O)=O	1
C1C(OC(C(C=1)=O)CO)O	1
C(C(C(C=O)C(C=O)O)O)=O	1
C(C(CO)(C1(CC(CO1)O)O)O)=O	1
C(CO)=CC(C(CO)=O)=O	1
C1C(C2C(CC(O)O2)(O)O1)O	1
C(C(COCC(CO)=O)O)=O	1
C1(C(C(COCC1O)O)O)=O	1
C(C(C=CC(CO)=O)O)=O	1
C(C(C(CCC(CC=O)O)=O)O)=O	1
C(C(C(C(C(CO)O)O)O)O)(O)=O	1
C(C(CC(C(CO)=O)O)O)=O	1
C1(C(C(CO1)O)O)=O	1
C(C(CCC(CO)=O)O)(O)=O	1
C(CO)(C(C(C(CO)O)O)O)=O	1
C(CC(CC(C(O)=O)O)O)=O	1
C=CC(C=O)=O	1
C(CO)(CCC(CO)=O)=O	1
C(C(C1CC(C(O)O1)O)O)=O	1
C1(COC(C(C)=O)C1O)=O	1
C1C(C(C(C=1)=O)(CO)O)O	1
C(C(CO)(C(C=O)O)O)(CCO)=O	1
C(C(C(CO)=O)C(C=O)O)=O	1
C1(C(CO)(O)OC(CO)C1)=O	1
C(C)(CO)=O	1
C(C(C(C(C=O)(CC=O)O)O)O)=O	1
C(C(C)(C(C=O)(C(C)=O)O)O)=O	1
C(C(C(CO)(CCO)O)O)=O	1
C(CC(C=O)(CC=O)O)(CCO)=O	1
C(C(C(CO)O)=O)(CCO)=O	1
C(C(C1(CC(CO1)O)O)O)(O)=O	1
C(CC(C(CC(O)=O)O)=O)=O	1
C1(C(CCOC(C1O)O)O)=O	1
C(CO)(CCC(C(O)=O)=O)=O	1
C(C(C(CCCO)=O)O)=O	1
C1(CC(C=O)(O)OCC1)=O	1
C(CC=O)(C(C(CO)=O)C(C)O)=O	1
C(C(CCO)(CC=O)O)=O	1
C1C(C(C(C(CO)O)(O)O1)O)O	1
C(C1(CC(C(CO1)O)O)O)=O	1
C(C)(C(CC(C=O)(CC=O)O)O)=O	1
C(C(C)O)(C(C(CO)=O)O)=O	1
C1C2C(CC(C(O)O1)(O)O2)O	1
C(C(C)(CC(C(CO)O)=O)O)=O	1
C(C(CC(C(CO)O)O)=O)(O)=O	1
C1(C(C(O)OC(CO)C1CO)O)=O	1
C(CC(C(C(C)O)=O)=O)=O	1
C(C(C(C)O)(C(C(C=C)=O)O)O)=O	1
C1(CCC(OC1CO)=O)=O	1
