ID	Type
C(C(C(C=CCC(C=O)=O)O)O)=O	1
C1(C(C)OC(C=O)C1(C(O)=O)O)=O	1
C(CC(CO)C(C)O)(O)=O	1
C1OCC(C(C(C=1)O)O)O	1
C(C(CO)(C(C=O)(C)O)O)(O)=O	1
C(C(CC(C)O)(CC(C=O)=O)O)=O	1
C(C(C(C)(C(C)(CCO)O)O)=O)=O	1
C1(C(C(O)=O)OCCC(C1O)=O)=O	1
C(C(C)(C(C(C)=O)(CO)O)O)=O	1
C1C(C)(C(CO)(C(CO)(O)O1)O)O	1
C(C(C=O)C(CC(C)(CO)O)O)=O	1
C(CC(C)(C(C(O)=O)O)O)=O	1
C(C(CO)C1CC(C(O1)=O)O)=O	1
C(C(C1CC(C(O)O1)O)O)O	1
C1(COC(C(CC1(CO)O)O)O)=O	1
C(CO)(C(C)(C(C=O)O)O)=O	1
C(C(C(C(C(C)=O)O)=O)(CO)O)=O	1
C(C(C=CC=O)(C(C=O)=O)O)(O)=O	1
C(CC(C(CCC(CO)O)=O)=O)=O	1
C(C(CO)O)=CC(C(CO)=O)=O	1
C1C(C(C(C(CO)(O)O1)O)O)O	1
C1(COCC1(C(C)O)O)=O	1
C1(C(C(COC1(CO)CO)O)O)=O	1
C1(C(C(CC(CO)(C1)O)O)O)=O	1
C(C1(CCC(C(C(C1)O)O)=O)O)=O	1
C=C1C(C(OC1C(CO)O)O)=O	1
C(C(C(C(CO)=O)=C)O)=O	1
C(C(CCO)=CC(CO)=O)=O	1
C1(C(CC(O)OCC1)=O)=O	1
C(CO)(C(C)O)=O	1
C(CC(CO)C(C(O)=O)O)(O)=O	1
C1(C(CO)(C(C(C1)=O)(CO)O)O)=O	1
C(C(C(C(O)=O)=O)(CO)O)=O	1
C1(C2CC(C(C1O)O2)O)=O	1
C(C(CO)O)(CCCC(C=O)=O)=O	1
C(C(C=O)(C1C(CC(O)O1)O)O)=O	1
C1(C(C(C(C)(C1O)O)O)O)=O	1
C(C(CC=CC(O)=O)O)(O)=O	1
C1C(C(C=O)=O)OC(C=1)O	1
C1(COC(C1C(C=CC=O)O)O)=O	1
C(C(C1(C=CCO1)O)O)=O	1
C(C(C=CC(CO)(CC=O)O)O)=O	1
C(CC(C(O)=O)O)(C(C=O)CO)=O	1
C(CC(C(CC=O)O)=CC=O)=O	1
C(C1(C=CC(CO1)=O)O)=O	1
C(C(C(C)=O)C(CO)(CCO)O)=O	1
C(C1C(CO)(O)OCC1(C)O)=O	1
C(C)(C(C)(CC(C(C=O)O)=O)O)=O	1
C(C(C(C(C)=O)=O)C(C)(CO)O)=O	1
C(CCC(C=O)=O)=O	1
C(CCCC(C(C(C=O)=O)O)=O)=O	1
C1(COC(C(CCO)(C1)O)O)=O	1
C(C(C1C(C(C(O1)O)O)O)=O)=O	1
C(C1C(CC(C(O)OC1C)O)=O)=O	1
C(C(C(C(O)=O)=O)(C)O)=O	1
C(C(C(C=CC(C(C)=O)=O)O)O)=O	1
