Source	Target	Reaction Name	Mass

C(C(C(C(C(CO)O)O)O)O)=O	4_0	Retro Aldol	180.063388104
4_0	C(CO)=O	Retro Aldol	60.021129368000004
4_0	C(C(C(CO)O)O)=O	Retro Aldol	120.04225873600001
C(C(C(C(C(CO)O)O)O)O)=O	4_1	Knoevenagel H (inv)	180.063388104
4_1	C(CO)=O	Knoevenagel H (inv)	60.021129368000004
4_1	C(C(C(CO)O)O)=O	Knoevenagel H (inv)	120.04225873600001
C(C(C(C(C(CO)O)O)O)O)=O	6_0	Keto-enol migration twice	180.063388104
6_0	C(CO)(C(C(C(CO)O)O)O)=O	Keto-enol migration twice	180.063388104
C(C(C(C(C(CO)O)O)O)O)=O	9_0	Cannizarro 2, glucose (oxidation)	180.063388104
C(C(C(C(C(CO)O)O)O)O)=O	9_0	Cannizarro 2, glucose (oxidation)	180.063388104
O	9_0	Cannizarro 2, glucose (oxidation)	18.010564684
9_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	Cannizarro 2, glucose (oxidation)	196.05830272400001
9_0	C(C(C(C(C(CO)O)O)O)O)O	Cannizarro 2, glucose (oxidation)	182.079038168
C(C(C(C(C(CO)O)O)O)O)=O	9_1	Cannizarro 2, glucose (reduction)	180.063388104
C(C(C(C(C(CO)O)O)O)O)=O	9_1	Cannizarro 2, glucose (reduction)	180.063388104
O	9_1	Cannizarro 2, glucose (reduction)	18.010564684
9_1	C(C(C(C(C(CO)O)O)O)O)(O)=O	Cannizarro 2, glucose (reduction)	196.05830272400001
9_1	C(C(C(C(C(CO)O)O)O)O)O	Cannizarro 2, glucose (reduction)	182.079038168
C(C(C(C(C(CO)O)O)O)O)=O	11_0	Elimination + enol to keto	180.063388104
11_0	O	Elimination + enol to keto	18.010564684
11_0	C(C(CC(C(CO)O)O)=O)=O	Elimination + enol to keto	162.05282342
C(C(C(C(C(CO)O)O)O)O)=O	13_0	Elimination + enol to keto	180.063388104
13_0	O	Elimination + enol to keto	18.010564684
13_0	C(CC(C(C(CO)O)O)=O)=O	Elimination + enol to keto	162.05282342
C(C(C(C(C(CO)O)O)O)O)=O	15_0	Elimination + enol to keto	180.063388104
15_0	O	Elimination + enol to keto	18.010564684
15_0	C(C(C(CC(CO)O)=O)O)=O	Elimination + enol to keto	162.05282342
C(C(C(C(C(CO)O)O)O)O)=O	17_0	Elimination + enol to keto	180.063388104
17_0	O	Elimination + enol to keto	18.010564684
17_0	C(CC(C=O)O)(C(CO)O)=O	Elimination + enol to keto	162.05282342
C(C(C(C(C(CO)O)O)O)O)=O	19_0	Elimination + enol to keto	180.063388104
19_0	O	Elimination + enol to keto	18.010564684
19_0	C(C(C(C=O)O)O)(CCO)=O	Elimination + enol to keto	162.05282342
C(C(C(C(C(CO)O)O)O)O)=O	21_0	Elimination + enol to keto	180.063388104
21_0	O	Elimination + enol to keto	18.010564684
21_0	C(C(C(CC(CO)=O)O)O)=O	Elimination + enol to keto	162.05282342
C(C(C(C(C(CO)O)O)O)O)=O	23_0	Elimination + enol to keto	180.063388104
23_0	O	Elimination + enol to keto	18.010564684
23_0	C(C(C(C(C(C)=O)O)O)O)=O	Elimination + enol to keto	162.05282342
C(C(C(C(C(CO)O)O)O)O)=O	25_0	Elimination + enol to keto	180.063388104
25_0	O	Elimination + enol to keto	18.010564684
25_0	C(CC(C(C(C=O)O)O)O)=O	Elimination + enol to keto	162.05282342
C(C(C(C(C(CO)O)O)O)O)=O	27_0	Hemiacetal Formation for 5 membered rings	180.063388104
27_0	C(C(C1C(C(C(O)O1)O)O)O)O	Hemiacetal Formation for 5 membered rings	180.063388104
C(C(C(C(C(CO)O)O)O)O)=O	29_0	Hemiacetal Formation for 6 membered rings	180.063388104
29_0	C(C1C(C(C(C(O)O1)O)O)O)O	Hemiacetal Formation for 6 membered rings	180.063388104
C(C(C(C(C(CO)O)O)O)O)=O	31_0	Hemiacetal Formation for 7 membered rings	180.063388104
31_0	C1C(C(C(C(C(O)O1)O)O)O)O	Hemiacetal Formation for 7 membered rings	180.063388104
C(C(C(C=O)O)O)(CCO)=O	33_0	Aldol Condensation	162.05282342
33_0	C1(C(C(C(C1CO)O)O)O)=O	Aldol Condensation	162.05282342
C(C(C(C=O)O)O)(CCO)=O	33_1	Knoevenagel C	162.05282342
33_1	C1(C(C(C(C1CO)O)O)O)=O	Knoevenagel C	162.05282342
C(C(C(CC(CO)=O)O)O)=O	35_0	Aldol Condensation	162.05282342
35_0	C1(C(C(C(C(C1)O)O)O)O)=O	Aldol Condensation	162.05282342
C(C(C(CC(CO)=O)O)O)=O	35_1	Knoevenagel H	162.05282342
35_1	C1(C(C(C(C(C1)O)O)O)O)=O	Knoevenagel H	162.05282342
C(C(C(C(C(C)=O)O)O)O)=O	36_0	Aldol Condensation	162.05282342
36_0	C1(C(C(C(C(C1)O)O)O)O)=O	Aldol Condensation	162.05282342
C(CC(C(C(C=O)O)O)O)=O	38_0	Aldol Condensation	162.05282342
38_0	C(C1C(C(C(C1O)O)O)O)=O	Aldol Condensation	162.05282342
C(CC(C(C(C=O)O)O)O)=O	38_1	Knoevenagel C	162.05282342
38_1	C(C1C(C(C(C1O)O)O)O)=O	Knoevenagel C	162.05282342
C(CO)=O	39_0	Aldol Condensation	60.021129368000004
C(CO)=O	39_0	Aldol Condensation	60.021129368000004
39_0	C(C(C(CO)O)O)=O	Aldol Condensation	120.04225873600001
C(CO)=O	39_1	Knoevenagel H	60.021129368000004
C(CO)=O	39_1	Knoevenagel H	60.021129368000004
39_1	C(C(C(CO)O)O)=O	Knoevenagel H	120.04225873600001
C(CO)=O	40_0	Aldol Condensation	60.021129368000004
C(C(C(CO)O)O)=O	40_0	Aldol Condensation	120.04225873600001
40_0	C(C(C(C(C(CO)O)O)O)O)=O	Aldol Condensation	180.063388104
C(CO)=O	40_1	Knoevenagel H	60.021129368000004
C(C(C(CO)O)O)=O	40_1	Knoevenagel H	120.04225873600001
40_1	C(C(C(C(C(CO)O)O)O)O)=O	Knoevenagel H	180.063388104
O	42_0	Benzilic Acid Rearrangement	18.010564684
C(C(CC(C(CO)O)O)=O)=O	42_0	Benzilic Acid Rearrangement	162.05282342
42_0	C(C(CC(C(CO)O)O)O)(O)=O	Benzilic Acid Rearrangement	180.06338810399998
O	42_1	Cannizarro 1	18.010564684
C(C(CC(C(CO)O)O)=O)=O	42_1	Cannizarro 1	162.05282342
42_1	C(C(CC(C(CO)O)O)O)(O)=O	Cannizarro 1	180.06338810399998
C(C(C(C(C(CO)O)O)O)O)(O)=O	44_0	Benzilic Acid Rearrangement (inverse)	196.05830272400001
44_0	O	Benzilic Acid Rearrangement (inverse)	18.010564684
44_0	C(C(C(C(C(CO)O)O)O)=O)=O	Benzilic Acid Rearrangement (inverse)	178.04773804
C(C(C(CO)O)O)=O	45_0	Retro Aldol	120.04225873600001
45_0	C(CO)=O	Retro Aldol	60.021129368000004
45_0	C(CO)=O	Retro Aldol	60.021129368000004
C(C(C(CO)O)O)=O	45_1	Knoevenagel H (inv)	120.04225873600001
45_1	C(CO)=O	Knoevenagel H (inv)	60.021129368000004
45_1	C(CO)=O	Knoevenagel H (inv)	60.021129368000004
C(CO)(C(C(C(CO)O)O)O)=O	48_0	Retro Aldol	180.063388104
48_0	C(CO)(CO)=O	Retro Aldol	90.031694052
48_0	C(C(CO)O)=O	Retro Aldol	90.031694052
C(CO)(C(C(C(CO)O)O)O)=O	48_1	Knoevenagel H (inv)	180.063388104
48_1	C(CO)(CO)=O	Knoevenagel H (inv)	90.031694052
48_1	C(C(CO)O)=O	Knoevenagel H (inv)	90.031694052
C(C(CC(C(CO)O)O)=O)=O	50_0	Retro Aldol	162.05282342
50_0	C(C(CO)O)=O	Retro Aldol	90.031694052
50_0	C(C(C)=O)=O	Retro Aldol	72.021129368
C(CC(C(C(CO)O)O)=O)=O	52_0	Retro Aldol	162.05282342
52_0	C(CO)=O	Retro Aldol	60.021129368000004
52_0	C(CC(CO)=O)=O	Retro Aldol	102.031694052
