ID	Type
C(C(C=O)(C(C(C)O)=O)O)(O)=O	1
C(CC(C(C(O)=O)O)O)=O	1
C(CC(C1(C=CC(C1O)O)O)O)=O	1
C(CC(C(C(C=O)O)O)=C)=O	1
C1(C(CO)(O)OC(C(C1)O)CO)=O	1
C(C(CO)O)(C(CO)(C(C)O)O)=O	1
C1(CCOC(C(C1)=O)(C(C)O)O)=O	1
C(C1(C(C=CC(O1)O)=O)CO)(O)=O	1
C1(COC(CO)(CC1(CO)O)O)=O	1
C1(C(C(CC(C)=O)O)(O)OCC1)=O	1
C(C(C(CO)=O)C(C=O)O)=O	1
C(C(C)(C(C)(C(C=O)O)O)O)=O	1
C(C)(CC(C(C(CO)=O)CO)O)=O	1
C1(COC(C1C(C=CC=O)O)O)=O	1
C(C(CO)C1C(C(C(O1)=O)O)O)=O	1
C1(C(CO)OC(C(CO)C1)O)=O	1
C(CC1(CC(C(O)O1)O)CC=O)=O	1
C(C(C(CO)O)O)(CCO)=O	1
C(C(C)(C(C(C)=O)O)O)(CC=O)=O	1
C(C(CO)C(C=O)(C)O)=O	1
C(C(C(C)=O)C(C(C)=O)=O)=O	1
C(C1(CC(C(C1(C)O)O)O)O)=O	1
C(C(CC(C(C)=O)O)O)=O	1
C(C(C1C(C=CO1)O)O)(O)=O	1
C(C(C=O)C(C(C)O)O)=O	1
C(C(C(CO)=O)(C(C=O)O)O)(O)=O	1
C(CO)(C(C)C(C=O)O)=O	1
C(C(C)(C(C(C)=O)(CO)O)O)(O)=O	1
C(C)(C(CO)(COC(C=O)O)O)=O	1
C(CC(C(CCCC(C=O)=O)=O)=O)=O	1
C1(C(CC(O)OCC1)O)=O	1
C(C)(C(CCO)CC(C=O)=O)=O	1
C(C(CO)(C(C(C=O)(C)O)O)O)=O	1
C(C(CC(C=O)=O)CC(CO)=O)=O	1
C(C(C=O)C(C=CC(CC=O)=O)O)=O	1
C(C(CC(C)O)(C(C=O)O)O)=O	1
C(C1(C(C)OC(CC(C1)=O)O)O)=O	1
C1(CC(CC(CO1)O)(CC=O)O)=O	1
C(C(C)(C(CO)(C(C=O)O)O)O)=O	1
C(C(C)(C(CC(C)O)O)O)(O)=O	1
C(CC(C=O)(C(C=C)(CO)O)O)=O	1
C1(C(CO)(O)OCC(C1)O)=O	1
