Source	Target	R or P	Reaction Name	Mass
9_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Retro Aldol	180.063388104
9_0	C(CO)=O	1	Retro Aldol	60.021129368000004
9_0	C(C(C(CO)O)O)=O	1	Retro Aldol	120.04225873600001
9_1	C(C(C(C(C(CO)O)O)O)O)=O	-1	Knoevenagel H (inv)	180.063388104
9_1	C(CO)=O	1	Knoevenagel H (inv)	60.021129368000004
9_1	C(C(C(CO)O)O)=O	1	Knoevenagel H (inv)	120.04225873600001
11_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Keto-enol migration twice	180.063388104
11_0	C(CO)(C(C(C(CO)O)O)O)=O	1	Keto-enol migration twice	180.063388104
14_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Cannizarro 2, glucose (oxidation)	180.063388104
14_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Cannizarro 2, glucose (oxidation)	180.063388104
14_0	O	-1	Cannizarro 2, glucose (oxidation)	18.010564684
14_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	1	Cannizarro 2, glucose (oxidation)	196.05830272400001
14_0	C(C(C(C(C(CO)O)O)O)O)O	1	Cannizarro 2, glucose (oxidation)	182.079038168
14_1	C(C(C(C(C(CO)O)O)O)O)=O	-1	Cannizarro 2, glucose (reduction)	180.063388104
14_1	C(C(C(C(C(CO)O)O)O)O)=O	-1	Cannizarro 2, glucose (reduction)	180.063388104
14_1	O	-1	Cannizarro 2, glucose (reduction)	18.010564684
14_1	C(C(C(C(C(CO)O)O)O)O)(O)=O	1	Cannizarro 2, glucose (reduction)	196.05830272400001
14_1	C(C(C(C(C(CO)O)O)O)O)O	1	Cannizarro 2, glucose (reduction)	182.079038168
17_0	C(CN)(O)=O	-1	Ketone-Catalyzed Decarboxylation	75.032028405
17_0	CN	1	Ketone-Catalyzed Decarboxylation	31.042199165
17_0	C(=O)=O	1	Ketone-Catalyzed Decarboxylation	43.98982924
19_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
19_0	O	1	Elimination + enol to keto	18.010564684
19_0	C(C(CC(C(CO)O)O)=O)=O	1	Elimination + enol to keto	162.05282342
21_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
21_0	O	1	Elimination + enol to keto	18.010564684
21_0	C(CC(C(C(CO)O)O)=O)=O	1	Elimination + enol to keto	162.05282342
23_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
23_0	O	1	Elimination + enol to keto	18.010564684
23_0	C(C(C(CC(CO)O)=O)O)=O	1	Elimination + enol to keto	162.05282342
25_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
25_0	O	1	Elimination + enol to keto	18.010564684
25_0	C(CC(C=O)O)(C(CO)O)=O	1	Elimination + enol to keto	162.05282342
27_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
27_0	O	1	Elimination + enol to keto	18.010564684
27_0	C(C(C(C=O)O)O)(CCO)=O	1	Elimination + enol to keto	162.05282342
29_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
29_0	O	1	Elimination + enol to keto	18.010564684
29_0	C(C(C(CC(CO)=O)O)O)=O	1	Elimination + enol to keto	162.05282342
31_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
31_0	O	1	Elimination + enol to keto	18.010564684
31_0	C(C(C(C(C(C)=O)O)O)O)=O	1	Elimination + enol to keto	162.05282342
33_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
33_0	O	1	Elimination + enol to keto	18.010564684
33_0	C(CC(C(C(C=O)O)O)O)=O	1	Elimination + enol to keto	162.05282342
35_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Hemiacetal Formation for 5 membered rings	180.063388104
35_0	C(C(C1C(C(C(O)O1)O)O)O)O	1	Hemiacetal Formation for 5 membered rings	180.063388104
37_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Hemiacetal Formation for 6 membered rings	180.063388104
37_0	C(C1C(C(C(C(O)O1)O)O)O)O	1	Hemiacetal Formation for 6 membered rings	180.063388104
39_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Hemiacetal Formation for 7 membered rings	180.063388104
39_0	C1C(C(C(C(C(O)O1)O)O)O)O	1	Hemiacetal Formation for 7 membered rings	180.063388104
42_0	C(CN)(O)=O	-1	Transamination (inverse)	75.032028405
42_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Transamination (inverse)	180.063388104
42_0	C(C(C(C(C(CN)O)O)O)O)O	1	Transamination (inverse)	181.095022585
42_0	C(C(O)=O)=O	1	Transamination (inverse)	74.00039392400001
44_0	C(CN)(O)=O	-1	Strecker Degradation, HC	75.032028405
44_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Strecker Degradation, HC	180.063388104
44_0	C(=O)=O	1	Strecker Degradation, HC	43.98982924
44_0	C(C(C(C(C(CN)O)O)O)O)O	1	Strecker Degradation, HC	181.095022585
44_0	C=O	1	Strecker Degradation, HC	30.010564684
46_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Fe3 Complex Beta elimination from a sugar and Conversion to Acid	180.063388104
46_0	[Fe+3]	-1	Fe3 Complex Beta elimination from a sugar and Conversion to Acid	55.933291759999996
46_0	[Fe+3]	1	Fe3 Complex Beta elimination from a sugar and Conversion to Acid	55.933291759999996
46_0	C(C(CC(C(CO)O)O)O)(O)=O	1	Fe3 Complex Beta elimination from a sugar and Conversion to Acid	180.063388104
48_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	180.063388104
48_0	[Fe+3]	-1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	55.933291759999996
48_0	[Fe+3]	-1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	55.933291759999996
48_0	[H+]	1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	1.007276452
48_0	[H+]	1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	1.007276452
48_0	[Fe+2]	1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	55.933840339999996
48_0	[Fe+2]	1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	55.933840339999996
48_0	C(C(C(C(C(CO)O)O)O)=O)=O	1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	178.04773804
49_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Fe3 ---> Fe2 Aldehyde to acid	180.063388104
49_0	[OH-]	-1	Fe3 ---> Fe2 Aldehyde to acid	17.003288232
49_0	[Fe+3]	-1	Fe3 ---> Fe2 Aldehyde to acid	55.933291759999996
49_0	[Fe+3]	-1	Fe3 ---> Fe2 Aldehyde to acid	55.933291759999996
49_0	[H+]	1	Fe3 ---> Fe2 Aldehyde to acid	1.007276452
49_0	[Fe+2]	1	Fe3 ---> Fe2 Aldehyde to acid	55.933840339999996
49_0	[Fe+2]	1	Fe3 ---> Fe2 Aldehyde to acid	55.933840339999996
49_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	1	Fe3 ---> Fe2 Aldehyde to acid	196.05830272400001
51_0	C(C(C(C=O)O)O)(CCO)=O	-1	Aldol Condensation	162.05282342
51_0	C1(C(C(C(C1CO)O)O)O)=O	1	Aldol Condensation	162.05282342
51_1	C(C(C(C=O)O)O)(CCO)=O	-1	Knoevenagel C	162.05282342
51_1	C1(C(C(C(C1CO)O)O)O)=O	1	Knoevenagel C	162.05282342
53_0	C(C(C(CC(CO)=O)O)O)=O	-1	Aldol Condensation	162.05282342
53_0	C1(C(C(C(C(C1)O)O)O)O)=O	1	Aldol Condensation	162.05282342
53_1	C(C(C(CC(CO)=O)O)O)=O	-1	Knoevenagel H	162.05282342
53_1	C1(C(C(C(C(C1)O)O)O)O)=O	1	Knoevenagel H	162.05282342
54_0	C(C(C(C(C(C)=O)O)O)O)=O	-1	Aldol Condensation	162.05282342
54_0	C1(C(C(C(C(C1)O)O)O)O)=O	1	Aldol Condensation	162.05282342
56_0	C(CC(C(C(C=O)O)O)O)=O	-1	Aldol Condensation	162.05282342
56_0	C(C1C(C(C(C1O)O)O)O)=O	1	Aldol Condensation	162.05282342
56_1	C(CC(C(C(C=O)O)O)O)=O	-1	Knoevenagel C	162.05282342
56_1	C(C1C(C(C(C1O)O)O)O)=O	1	Knoevenagel C	162.05282342
57_0	C(CO)=O	-1	Aldol Condensation	60.021129368000004
57_0	C(CO)=O	-1	Aldol Condensation	60.021129368000004
57_0	C(C(C(CO)O)O)=O	1	Aldol Condensation	120.04225873600001
57_1	C(CO)=O	-1	Knoevenagel H	60.021129368000004
57_1	C(CO)=O	-1	Knoevenagel H	60.021129368000004
57_1	C(C(C(CO)O)O)=O	1	Knoevenagel H	120.04225873600001
58_0	C(CO)=O	-1	Aldol Condensation	60.021129368000004
58_0	C(C(C(CO)O)O)=O	-1	Aldol Condensation	120.04225873600001
58_0	C(C(C(C(C(CO)O)O)O)O)=O	1	Aldol Condensation	180.063388104
58_1	C(CO)=O	-1	Knoevenagel H	60.021129368000004
58_1	C(C(C(CO)O)O)=O	-1	Knoevenagel H	120.04225873600001
58_1	C(C(C(C(C(CO)O)O)O)O)=O	1	Knoevenagel H	180.063388104
60_0	C(CO)=O	-1	Aldol Condensation	60.021129368000004
60_0	C(=O)=O	-1	Aldol Condensation	43.98982924
60_0	C(C(C=O)O)(O)=O	1	Aldol Condensation	104.01095860800001
60_1	C(CO)=O	-1	Knoevenagel H	60.021129368000004
60_1	C(=O)=O	-1	Knoevenagel H	43.98982924
60_1	C(C(C=O)O)(O)=O	1	Knoevenagel H	104.01095860800001
62_0	C(CO)=O	-1	Aldol Condensation	60.021129368000004
62_0	C(C(O)=O)=O	-1	Aldol Condensation	74.00039392400001
62_0	C(C(C(C=O)O)O)(O)=O	1	Aldol Condensation	134.021523292
62_1	C(CO)=O	-1	Knoevenagel H	60.021129368000004
62_1	C(C(O)=O)=O	-1	Knoevenagel H	74.00039392400001
62_1	C(C(C(C=O)O)O)(O)=O	1	Knoevenagel H	134.021523292
64_0	C(CO)=O	-1	Aldol Condensation	60.021129368000004
64_0	C=O	-1	Aldol Condensation	30.010564684
64_0	C(C(CO)O)=O	1	Aldol Condensation	90.031694052
64_1	C(CO)=O	-1	Knoevenagel H	60.021129368000004
64_1	C=O	-1	Knoevenagel H	30.010564684
64_1	C(C(CO)O)=O	1	Knoevenagel H	90.031694052
66_0	C(C(CC(C(CO)O)O)=O)=O	-1	Aldol Condensation	162.05282342
66_0	C=O	-1	Aldol Condensation	30.010564684
66_0	C(C(C(CO)C(C(CO)O)O)=O)=O	1	Aldol Condensation	192.063388104
66_1	C(C(CC(C(CO)O)O)=O)=O	-1	Knoevenagel C	162.05282342
66_1	C=O	-1	Knoevenagel C	30.010564684
66_1	C(C(C(CO)C(C(CO)O)O)=O)=O	1	Knoevenagel C	192.063388104
68_0	C(CC(C(C(CO)O)O)=O)=O	-1	Aldol Condensation	162.05282342
68_0	C=O	-1	Aldol Condensation	30.010564684
68_0	C(C(C(C(C(CO)O)O)=O)CO)=O	1	Aldol Condensation	192.063388104
68_1	C(CC(C(C(CO)O)O)=O)=O	-1	Knoevenagel C	162.05282342
68_1	C=O	-1	Knoevenagel C	30.010564684
68_1	C(C(C(C(C(CO)O)O)=O)CO)=O	1	Knoevenagel C	192.063388104
70_0	C(C(C(CC(CO)O)=O)O)=O	-1	Aldol Condensation	162.05282342
70_0	C=O	-1	Aldol Condensation	30.010564684
70_0	C(C(C(C(CO)C(CO)O)=O)O)=O	1	Aldol Condensation	192.063388104
70_1	C(C(C(CC(CO)O)=O)O)=O	-1	Knoevenagel C	162.05282342
70_1	C=O	-1	Knoevenagel C	30.010564684
70_1	C(C(C(C(CO)C(CO)O)=O)O)=O	1	Knoevenagel C	192.063388104
72_0	C(CC(C=O)O)(C(CO)O)=O	-1	Aldol Condensation	162.05282342
72_0	C=O	-1	Aldol Condensation	30.010564684
72_0	C(C(CO)C(C=O)O)(C(CO)O)=O	1	Aldol Condensation	192.063388104
72_1	C(CC(C=O)O)(C(CO)O)=O	-1	Knoevenagel C	162.05282342
72_1	C=O	-1	Knoevenagel C	30.010564684
72_1	C(C(CO)C(C=O)O)(C(CO)O)=O	1	Knoevenagel C	192.063388104
74_0	C(C(C(C=O)O)O)(CCO)=O	-1	Aldol Condensation	162.05282342
74_0	C=O	-1	Aldol Condensation	30.010564684
74_0	C(C(C(C=O)O)O)(C(CO)CO)=O	1	Aldol Condensation	192.063388104
74_1	C(C(C(C=O)O)O)(CCO)=O	-1	Knoevenagel C	162.05282342
74_1	C=O	-1	Knoevenagel C	30.010564684
74_1	C(C(C(C=O)O)O)(C(CO)CO)=O	1	Knoevenagel C	192.063388104
76_0	C(C(C(CC(CO)=O)O)O)=O	-1	Aldol Condensation	162.05282342
76_0	C=O	-1	Aldol Condensation	30.010564684
76_0	C(C(C(C(C(CO)=O)CO)O)O)=O	1	Aldol Condensation	192.063388104
76_1	C(C(C(CC(CO)=O)O)O)=O	-1	Knoevenagel C	162.05282342
76_1	C=O	-1	Knoevenagel C	30.010564684
