Source	Target	Reaction Name	Mass

C(C(C(C(C(CO)O)O)O)O)=O	9_0	Retro Aldol	180.063388104
9_0	C(CO)=O	Retro Aldol	60.021129368000004
9_0	C(C(C(CO)O)O)=O	Retro Aldol	120.04225873600001
C(C(C(C(C(CO)O)O)O)O)=O	9_1	Knoevenagel H (inv)	180.063388104
9_1	C(CO)=O	Knoevenagel H (inv)	60.021129368000004
9_1	C(C(C(CO)O)O)=O	Knoevenagel H (inv)	120.04225873600001
C(C(C(C(C(CO)O)O)O)O)=O	11_0	Keto-enol migration twice	180.063388104
11_0	C(CO)(C(C(C(CO)O)O)O)=O	Keto-enol migration twice	180.063388104
C(C(C(C(C(CO)O)O)O)O)=O	14_0	Cannizarro 2, glucose (oxidation)	180.063388104
C(C(C(C(C(CO)O)O)O)O)=O	14_0	Cannizarro 2, glucose (oxidation)	180.063388104
O	14_0	Cannizarro 2, glucose (oxidation)	18.010564684
14_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	Cannizarro 2, glucose (oxidation)	196.05830272400001
14_0	C(C(C(C(C(CO)O)O)O)O)O	Cannizarro 2, glucose (oxidation)	182.079038168
C(C(C(C(C(CO)O)O)O)O)=O	14_1	Cannizarro 2, glucose (reduction)	180.063388104
C(C(C(C(C(CO)O)O)O)O)=O	14_1	Cannizarro 2, glucose (reduction)	180.063388104
O	14_1	Cannizarro 2, glucose (reduction)	18.010564684
14_1	C(C(C(C(C(CO)O)O)O)O)(O)=O	Cannizarro 2, glucose (reduction)	196.05830272400001
14_1	C(C(C(C(C(CO)O)O)O)O)O	Cannizarro 2, glucose (reduction)	182.079038168
C(CN)(O)=O	17_0	Ketone-Catalyzed Decarboxylation	75.032028405
17_0	CN	Ketone-Catalyzed Decarboxylation	31.042199165
17_0	C(=O)=O	Ketone-Catalyzed Decarboxylation	43.98982924
C(C(C(C(C(CO)O)O)O)O)=O	19_0	Elimination + enol to keto	180.063388104
19_0	O	Elimination + enol to keto	18.010564684
19_0	C(C(CC(C(CO)O)O)=O)=O	Elimination + enol to keto	162.05282342
C(C(C(C(C(CO)O)O)O)O)=O	21_0	Elimination + enol to keto	180.063388104
21_0	O	Elimination + enol to keto	18.010564684
21_0	C(CC(C(C(CO)O)O)=O)=O	Elimination + enol to keto	162.05282342
C(C(C(C(C(CO)O)O)O)O)=O	23_0	Elimination + enol to keto	180.063388104
23_0	O	Elimination + enol to keto	18.010564684
23_0	C(C(C(CC(CO)O)=O)O)=O	Elimination + enol to keto	162.05282342
C(C(C(C(C(CO)O)O)O)O)=O	25_0	Elimination + enol to keto	180.063388104
25_0	O	Elimination + enol to keto	18.010564684
25_0	C(CC(C=O)O)(C(CO)O)=O	Elimination + enol to keto	162.05282342
C(C(C(C(C(CO)O)O)O)O)=O	27_0	Elimination + enol to keto	180.063388104
27_0	O	Elimination + enol to keto	18.010564684
27_0	C(C(C(C=O)O)O)(CCO)=O	Elimination + enol to keto	162.05282342
C(C(C(C(C(CO)O)O)O)O)=O	29_0	Elimination + enol to keto	180.063388104
29_0	O	Elimination + enol to keto	18.010564684
