ID	Type
C1(C(CO)C(C(C(CO1)O)O)O)=O	1
C(CO)(CC(C(C(O)=O)=O)O)=O	1
C(C(C=O)(C(CO)(CO)O)O)=O	1
C(CC(C(C(NC)=C)O)=O)=O	1
C(CC(CNCCO)=O)=O	1
C(CC(CC(C=O)NCC=O)O)=O	1
C(C(CCC(C=O)=O)O)=O	1
C(C(C(C(C(C)N)=O)NC)O)=O	1
C(C(CNC)N)(O)=O	1
C(C(CO)O)=C(C(C=O)=O)CO	1
C(CC(C(CO)O)CC(C=O)=O)=O	1
O	1
C(C(CN)O)=O	1
C(C(CCO)(C(C(O)=O)O)O)=O	1
C(CC(C(C=CC(CO)O)=O)O)=O	1
C(CC(C(O)=O)N)(C(CO)O)=O	1
C(C(C(C=C(C)N)O)O)=O	1
C(C(C(O)=O)NCC(C=O)O)(O)=O	1
C(CC(CO)O)=O	1
C(CC(C(O)=O)O)(O)=O	1
C1(C(C(CO)OC(C1)O)NC)=O	1
C(C(C(C(O)=O)O)N(C)CC=O)=O	1
C(CC(C(CC(CC=O)O)=O)O)=O	1
C(C(CO)(C1(CC(CO1)O)O)O)=O	1
C(C(C)N)(C(C(CO)=O)O)=O	1
C1(C(O)OC(C(CO)O)C1)=O	1
C(C(C(C)=O)(CC(C=O)=O)O)(O)=O	1
C1C(C(C(CC(O)O1)O)O)O	1
C(C(C(CO)C(C(C=O)O)O)N)=O	1
C(C(C(CO)(C(CO)O)O)N)(O)=O	1
C(C(C1CC(C(O)O1)O)O)=O	1
C(C(C(CC(CO)=O)=O)C(C)O)=O	1
C(C(C)NCC(O)=O)(C(C=O)O)=O	1
C(CN)(O)O	1
C(C(C(CO)O)O)(C(CO)CO)=O	1
C(CCO)(C(CO)(C(CN)O)O)=O	1
C1(CC(C(C(C=O)O)O1)O)=O	1
C(CCC(C(C=O)=O)=O)=O	1
C(C(C(O)=O)O)(CC(C)=O)=O	1
C(C(C=CC(CO)O)NCC=O)=O	1
C(C(C(C=O)=O)CC(CO)=O)(O)=O	1
C12C(C(C(CC1O)(O)O2)O)O	1
C(C(C(CO)NCC)O)=O	1
C(C(C(C)=O)N)(O)=O	1
C(C(C)(CC(CO)=O)O)=O	1
C(C(C(C)O)(C(C=O)O)O)=O	1
C(CN)(C(C(CCO)O)O)=O	1
C(C(C(CO)(CO)O)NC)=O	1
C1(C(CO)OC(C(CO)O)C1O)=O	1
C(C(C(C(C(C)NC)O)=O)O)=O	1
C(C)(C(C(CC=O)NCC=O)O)=O	1
C(CC(CCO)(CC(C=O)=O)O)=O	1
C(CNCC(C(C=CCO)=O)O)=O	1
C(CNC)(C(C(C(C)N)O)O)=O	1
C1C(C2(CC(C(O2)O1)O)O)O	1
C(CC(CC(CO)(CC=O)O)=O)=O	1
C(C(C(O)=O)(C=O)O)(O)=O	1
C1(C(O)OC(CO)CC1O)=O	1
C1(CNC(CO)CC1O)=O	1
C(CC(C(C(CO)(CO)O)=O)O)=O	1
C(C(C(CO)O)(C(C=O)O)O)(O)=O	1
C(C(C(C=O)O)NC)(CCO)=O	1
C(C(C(CN(C)CC=O)=O)O)=O	1
C(C(C(CO)O)NC)(CCN)=O	1
C(C=O)=O	1
C(C(C(C(CO)O)=O)=O)=O	1
C(C(C(C(C(C)=O)O)=O)N)=O	1
C1C(C(CC(CO)(O)O1)O)O	1
C(CC(C(CCO)N)=O)=O	1
C(C(C(C)NC)=O)=O	1
C(C=CC(CN)=O)(CO)=O	1
C(CC(CO)(C(C(CO)=O)O)O)=O	1
C(CC(C(C(CCO)=O)O)=O)=O	1
C(C(CNC)O)(CC(CN)=O)=O	1
C1(C(C(C(C(CO)O)O1)NC)O)=O	1
C(CC(C(C(CO)NC)=O)N)=O	1
C(CC(C(C(CO)O)O)O)(N)=O	1
C1(C(C(O)OCC(C1CO)O)O)=O	1
C(C(C(C(CCO)O)NC)=O)=O	1
C(C(C(CC(CO)O)N)O)=O	1
C(C(CNC)=O)(C(CCO)N)=O	1
C(CCC(C(CNC)=O)=O)=O	1
C1(C(C(CO)OC(C1O)O)O)=O	1
C(C(C(CO)O)(C(C=O)(C)O)O)=O	1
C(C(CNC)=O)(C(CCO)O)=O	1
CNCC1(C(C(C(CO)O1)O)O)O	1
C(C(C(CC(CO)O)N)=O)=O	1
C(CC(CC(CN)=O)=O)=O	1
C(C(C(CC(CO)O)NC)O)(O)=O	1
C1(C(C(C(C)(C1O)O)O)O)=O	1
C(CO)=C(CC(C=O)=O)NC	1
C(C)(C(C(C(C(CO)=O)O)O)O)=O	1
C(C(C1C(CC(O)O1)O)O)O	1
C(C(C(C=O)O)NC)(CCN)=O	1
C(C(CO)(C(C(C(C)N)O)O)O)=O	1
C(C(C(CC(CO)O)NC)=O)=O	1
C(C(C(CC(CO)O)O)O)(O)=O	1
C(CC(C(C(C)N)=O)=O)=O	1
C(C(CO)(C(C=O)O)O)(O)=O	1
C(C(CO)NC(C=O)CCO)(O)=O	1
C(CC1(C(CCO1)=O)O)=O	1
C(CC(C(C(CO)O)O)O)(O)=O	1
C(C(C(CC(CC=O)=O)=O)O)(O)=O	1
C(C(C(CC(C(O)O)O)=O)O)=O	1
C(C(C(C(C(CO)O)O)N)=O)(O)=O	1
C(CO)(CC(CC(CO)=O)O)=O	1
C(C(C(CO)O)O)(C(CO)CN)=O	1
C(C1(C(CC(C1)O)O)O)(O)=O	1
CNCC1(C(C(C(CO1)O)O)O)O	1
C(CN(C)C(C=CC=O)C(C=O)O)=O	1
C(CN)(C1(CC(CO1)O)O)=O	1
C(C(C=O)O)(CC(CCO)=O)=O	1
C(C(C(C)=O)=O)=O	1
C=CC(CC(C=O)=O)=O	1
C(C(CC(N)=CCO)O)=O	1
C(C(CO)NCCO)=O	1
C(C(C(C(C(CO)CN)O)O)O)=O	1
C(C(CO)C(C=O)O)(C(CO)O)=O	1
C(C(C)(C(C(C=O)=O)CO)O)=O	1
C(C(C(C(C(C)=O)NC)O)O)=O	1
C1(C(C(C(C(C)(O)O1)O)O)O)=O	1
C(C)(CC(C(C=O)=O)O)=O	1
C(OC(CO)CC(CO)=O)=O	1
C(CC(CO)(CC(CO)=O)O)=O	1
C(CC(C(C(C=O)O)O)=O)=O	1
C(C(C(CO)NCC(CO)O)O)=O	1
CCO	1
C(CCC(C(C=O)=O)O)=O	1
C(C(C(C(C(CO)O)O)N)=O)=O	1
C(C(C(C(CO)C(CO)N)=O)O)=O	1
C1(C(CO)OCC(C1O)O)=O	1
C(C(C(CO)=O)C(CO)O)=O	1
C(C(C1(C(CCO1)O)O)O)=O	1
C(C(C(C)=O)(C(C=O)O)O)=O	1
CNC1C(CO)(O)OCC(C1O)O	1
C(C(C=CC(C=O)O)NC)=O	1
C(C(C(CO)O)N)(CCO)=O	1
C(C(C)(C(C(O)=O)O)O)=O	1
C(C(C(C(CCO)NC)=O)O)=O	1
C(CCNC)(C(C(CNC)=O)O)=O	1
C(C(C(C(C=O)(CC=O)O)O)O)=O	1
C(C(C(C=O)O)N(C)CC=O)(O)=O	1
C(C)(C(C(CNC)=O)O)=O	1
[C](C(O)=O)(C(CO)(C(CO)O)O)O	1
C(C(CO)O)(CC(CNC)N)=O	1
C(CNCCC(C(CCO)=O)=O)=O	1
C(CO)(C(C(CO)O)C(C=O)O)=O	1
C(C(C(CO)(CCO)O)O)(O)=O	1
C(C(C(C=CC=O)=O)(CO)O)(O)=O	1
C(C(C=O)C(CO)=O)(O)=O	1
C(C(CO)C(C=O)O)=O	1
C(C(C(CO)O)(O)O)=O	1
C(CNC)(C(CC(CO)O)N)=O	1
