Source	Target	R or P	Reaction Name	Mass
5_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Retro Aldol	180.063388104
5_0	C(CO)=O	1	Retro Aldol	60.021129368000004
5_0	C(C(C(CO)O)O)=O	1	Retro Aldol	120.04225873600001
5_1	C(C(C(C(C(CO)O)O)O)O)=O	-1	Knoevenagel H (inv)	180.063388104
5_1	C(CO)=O	1	Knoevenagel H (inv)	60.021129368000004
5_1	C(C(C(CO)O)O)=O	1	Knoevenagel H (inv)	120.04225873600001
7_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Keto-enol migration twice	180.063388104
7_0	C(CO)(C(C(C(CO)O)O)O)=O	1	Keto-enol migration twice	180.063388104
10_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Cannizarro 2, glucose (oxidation)	180.063388104
10_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Cannizarro 2, glucose (oxidation)	180.063388104
10_0	O	-1	Cannizarro 2, glucose (oxidation)	18.010564684
10_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	1	Cannizarro 2, glucose (oxidation)	196.05830272400001
10_0	C(C(C(C(C(CO)O)O)O)O)O	1	Cannizarro 2, glucose (oxidation)	182.079038168
10_1	C(C(C(C(C(CO)O)O)O)O)=O	-1	Cannizarro 2, glucose (reduction)	180.063388104
10_1	C(C(C(C(C(CO)O)O)O)O)=O	-1	Cannizarro 2, glucose (reduction)	180.063388104
10_1	O	-1	Cannizarro 2, glucose (reduction)	18.010564684
10_1	C(C(C(C(C(CO)O)O)O)O)(O)=O	1	Cannizarro 2, glucose (reduction)	196.05830272400001
10_1	C(C(C(C(C(CO)O)O)O)O)O	1	Cannizarro 2, glucose (reduction)	182.079038168
13_0	C(CN)(O)=O	-1	Ketone-Catalyzed Decarboxylation	75.032028405
13_0	CN	1	Ketone-Catalyzed Decarboxylation	31.042199165
13_0	C(=O)=O	1	Ketone-Catalyzed Decarboxylation	43.98982924
15_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
15_0	O	1	Elimination + enol to keto	18.010564684
15_0	C(C(CC(C(CO)O)O)=O)=O	1	Elimination + enol to keto	162.05282342
17_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
17_0	O	1	Elimination + enol to keto	18.010564684
17_0	C(CC(C(C(CO)O)O)=O)=O	1	Elimination + enol to keto	162.05282342
19_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
19_0	O	1	Elimination + enol to keto	18.010564684
19_0	C(C(C(CC(CO)O)=O)O)=O	1	Elimination + enol to keto	162.05282342
21_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
21_0	O	1	Elimination + enol to keto	18.010564684
21_0	C(CC(C=O)O)(C(CO)O)=O	1	Elimination + enol to keto	162.05282342
23_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
23_0	O	1	Elimination + enol to keto	18.010564684
23_0	C(C(C(C=O)O)O)(CCO)=O	1	Elimination + enol to keto	162.05282342
25_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
25_0	O	1	Elimination + enol to keto	18.010564684
25_0	C(C(C(CC(CO)=O)O)O)=O	1	Elimination + enol to keto	162.05282342
27_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
27_0	O	1	Elimination + enol to keto	18.010564684
27_0	C(C(C(C(C(C)=O)O)O)O)=O	1	Elimination + enol to keto	162.05282342
29_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Elimination + enol to keto	180.063388104
29_0	O	1	Elimination + enol to keto	18.010564684
29_0	C(CC(C(C(C=O)O)O)O)=O	1	Elimination + enol to keto	162.05282342
31_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Hemiacetal Formation for 5 membered rings	180.063388104
31_0	C(C(C1C(C(C(O)O1)O)O)O)O	1	Hemiacetal Formation for 5 membered rings	180.063388104
33_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Hemiacetal Formation for 6 membered rings	180.063388104
33_0	C(C1C(C(C(C(O)O1)O)O)O)O	1	Hemiacetal Formation for 6 membered rings	180.063388104
35_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Hemiacetal Formation for 7 membered rings	180.063388104
35_0	C1C(C(C(C(C(O)O1)O)O)O)O	1	Hemiacetal Formation for 7 membered rings	180.063388104
38_0	C(CN)(O)=O	-1	Transamination (inverse)	75.032028405
38_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Transamination (inverse)	180.063388104
38_0	C(C(C(C(C(CN)O)O)O)O)O	1	Transamination (inverse)	181.095022585
38_0	C(C(O)=O)=O	1	Transamination (inverse)	74.00039392400001
40_0	C(CN)(O)=O	-1	Strecker Degradation, HC	75.032028405
40_0	C(C(C(C(C(CO)O)O)O)O)=O	-1	Strecker Degradation, HC	180.063388104
40_0	C(=O)=O	1	Strecker Degradation, HC	43.98982924
40_0	C(C(C(C(C(CN)O)O)O)O)O	1	Strecker Degradation, HC	181.095022585
40_0	C=O	1	Strecker Degradation, HC	30.010564684
42_0	C(C(C(C=O)O)O)(CCO)=O	-1	Aldol Condensation	162.05282342
42_0	C1(C(C(C(C1CO)O)O)O)=O	1	Aldol Condensation	162.05282342
42_1	C(C(C(C=O)O)O)(CCO)=O	-1	Knoevenagel C	162.05282342
42_1	C1(C(C(C(C1CO)O)O)O)=O	1	Knoevenagel C	162.05282342
44_0	C(C(C(CC(CO)=O)O)O)=O	-1	Aldol Condensation	162.05282342
44_0	C1(C(C(C(C(C1)O)O)O)O)=O	1	Aldol Condensation	162.05282342
44_1	C(C(C(CC(CO)=O)O)O)=O	-1	Knoevenagel H	162.05282342
44_1	C1(C(C(C(C(C1)O)O)O)O)=O	1	Knoevenagel H	162.05282342
45_0	C(C(C(C(C(C)=O)O)O)O)=O	-1	Aldol Condensation	162.05282342
45_0	C1(C(C(C(C(C1)O)O)O)O)=O	1	Aldol Condensation	162.05282342
47_0	C(CC(C(C(C=O)O)O)O)=O	-1	Aldol Condensation	162.05282342
47_0	C(C1C(C(C(C1O)O)O)O)=O	1	Aldol Condensation	162.05282342
47_1	C(CC(C(C(C=O)O)O)O)=O	-1	Knoevenagel C	162.05282342
47_1	C(C1C(C(C(C1O)O)O)O)=O	1	Knoevenagel C	162.05282342
48_0	C(CO)=O	-1	Aldol Condensation	60.021129368000004
48_0	C(CO)=O	-1	Aldol Condensation	60.021129368000004
48_0	C(C(C(CO)O)O)=O	1	Aldol Condensation	120.04225873600001
48_1	C(CO)=O	-1	Knoevenagel H	60.021129368000004
48_1	C(CO)=O	-1	Knoevenagel H	60.021129368000004
48_1	C(C(C(CO)O)O)=O	1	Knoevenagel H	120.04225873600001
49_0	C(CO)=O	-1	Aldol Condensation	60.021129368000004
49_0	C(C(C(CO)O)O)=O	-1	Aldol Condensation	120.04225873600001
49_0	C(C(C(C(C(CO)O)O)O)O)=O	1	Aldol Condensation	180.063388104
49_1	C(CO)=O	-1	Knoevenagel H	60.021129368000004
49_1	C(C(C(CO)O)O)=O	-1	Knoevenagel H	120.04225873600001
49_1	C(C(C(C(C(CO)O)O)O)O)=O	1	Knoevenagel H	180.063388104
51_0	C(CO)=O	-1	Aldol Condensation	60.021129368000004
51_0	C(=O)=O	-1	Aldol Condensation	43.98982924
51_0	C(C(C=O)O)(O)=O	1	Aldol Condensation	104.01095860800001
51_1	C(CO)=O	-1	Knoevenagel H	60.021129368000004
51_1	C(=O)=O	-1	Knoevenagel H	43.98982924
51_1	C(C(C=O)O)(O)=O	1	Knoevenagel H	104.01095860800001
53_0	C(CO)=O	-1	Aldol Condensation	60.021129368000004
53_0	C(C(O)=O)=O	-1	Aldol Condensation	74.00039392400001
53_0	C(C(C(C=O)O)O)(O)=O	1	Aldol Condensation	134.021523292
53_1	C(CO)=O	-1	Knoevenagel H	60.021129368000004
53_1	C(C(O)=O)=O	-1	Knoevenagel H	74.00039392400001
53_1	C(C(C(C=O)O)O)(O)=O	1	Knoevenagel H	134.021523292
55_0	C(CO)=O	-1	Aldol Condensation	60.021129368000004
55_0	C=O	-1	Aldol Condensation	30.010564684
55_0	C(C(CO)O)=O	1	Aldol Condensation	90.031694052
55_1	C(CO)=O	-1	Knoevenagel H	60.021129368000004
55_1	C=O	-1	Knoevenagel H	30.010564684
55_1	C(C(CO)O)=O	1	Knoevenagel H	90.031694052
57_0	C(C(CC(C(CO)O)O)=O)=O	-1	Aldol Condensation	162.05282342
57_0	C=O	-1	Aldol Condensation	30.010564684
57_0	C(C(C(CO)C(C(CO)O)O)=O)=O	1	Aldol Condensation	192.063388104
57_1	C(C(CC(C(CO)O)O)=O)=O	-1	Knoevenagel C	162.05282342
57_1	C=O	-1	Knoevenagel C	30.010564684
57_1	C(C(C(CO)C(C(CO)O)O)=O)=O	1	Knoevenagel C	192.063388104
59_0	C(CC(C(C(CO)O)O)=O)=O	-1	Aldol Condensation	162.05282342
59_0	C=O	-1	Aldol Condensation	30.010564684
59_0	C(C(C(C(C(CO)O)O)=O)CO)=O	1	Aldol Condensation	192.063388104
59_1	C(CC(C(C(CO)O)O)=O)=O	-1	Knoevenagel C	162.05282342
59_1	C=O	-1	Knoevenagel C	30.010564684
59_1	C(C(C(C(C(CO)O)O)=O)CO)=O	1	Knoevenagel C	192.063388104
61_0	C(C(C(CC(CO)O)=O)O)=O	-1	Aldol Condensation	162.05282342
61_0	C=O	-1	Aldol Condensation	30.010564684
61_0	C(C(C(C(CO)C(CO)O)=O)O)=O	1	Aldol Condensation	192.063388104
61_1	C(C(C(CC(CO)O)=O)O)=O	-1	Knoevenagel C	162.05282342
61_1	C=O	-1	Knoevenagel C	30.010564684
61_1	C(C(C(C(CO)C(CO)O)=O)O)=O	1	Knoevenagel C	192.063388104
63_0	C(CC(C=O)O)(C(CO)O)=O	-1	Aldol Condensation	162.05282342
63_0	C=O	-1	Aldol Condensation	30.010564684
63_0	C(C(CO)C(C=O)O)(C(CO)O)=O	1	Aldol Condensation	192.063388104
63_1	C(CC(C=O)O)(C(CO)O)=O	-1	Knoevenagel C	162.05282342
63_1	C=O	-1	Knoevenagel C	30.010564684
63_1	C(C(CO)C(C=O)O)(C(CO)O)=O	1	Knoevenagel C	192.063388104
65_0	C(C(C(C=O)O)O)(CCO)=O	-1	Aldol Condensation	162.05282342
65_0	C=O	-1	Aldol Condensation	30.010564684
65_0	C(C(C(C=O)O)O)(C(CO)CO)=O	1	Aldol Condensation	192.063388104
65_1	C(C(C(C=O)O)O)(CCO)=O	-1	Knoevenagel C	162.05282342
65_1	C=O	-1	Knoevenagel C	30.010564684
65_1	C(C(C(C=O)O)O)(C(CO)CO)=O	1	Knoevenagel C	192.063388104
67_0	C(C(C(CC(CO)=O)O)O)=O	-1	Aldol Condensation	162.05282342
67_0	C=O	-1	Aldol Condensation	30.010564684
67_0	C(C(C(C(C(CO)=O)CO)O)O)=O	1	Aldol Condensation	192.063388104
67_1	C(C(C(CC(CO)=O)O)O)=O	-1	Knoevenagel C	162.05282342
67_1	C=O	-1	Knoevenagel C	30.010564684
67_1	C(C(C(C(C(CO)=O)CO)O)O)=O	1	Knoevenagel C	192.063388104
69_0	C(C(C(CC(CO)=O)O)O)=O	-1	Aldol Condensation	162.05282342
69_0	C=O	-1	Aldol Condensation	30.010564684
69_0	C(C(CO)O)(CC(C(C=O)O)O)=O	1	Aldol Condensation	192.063388104
69_1	C(C(C(CC(CO)=O)O)O)=O	-1	Knoevenagel H	162.05282342
69_1	C=O	-1	Knoevenagel H	30.010564684
69_1	C(C(CO)O)(CC(C(C=O)O)O)=O	1	Knoevenagel H	192.063388104
71_0	C(C(C(C(C(C)=O)O)O)O)=O	-1	Aldol Condensation	162.05282342
71_0	C=O	-1	Aldol Condensation	30.010564684
71_0	C(C(C(C(C=O)O)O)O)(CCO)=O	1	Aldol Condensation	192.063388104
73_0	C(CC(C(C(C=O)O)O)O)=O	-1	Aldol Condensation	162.05282342
73_0	C=O	-1	Aldol Condensation	30.010564684
73_0	C(C(CO)C(C(C(C=O)O)O)O)=O	1	Aldol Condensation	192.063388104
73_1	C(CC(C(C(C=O)O)O)O)=O	-1	Knoevenagel C	162.05282342
73_1	C=O	-1	Knoevenagel C	30.010564684
73_1	C(C(CO)C(C(C(C=O)O)O)O)=O	1	Knoevenagel C	192.063388104
