ID	Type
C(CNC(C)CO)=O	1
C(C)(C(C(CNCC(O)=O)O)O)=O	1
C(CNCCO)(C(C=CC=O)O)=O	1
C(C)(C(C(NC)=CC=O)O)=O	1
C(C(C(C(C(C)=O)N)O)O)(O)=O	1
C(CNCC(CC(CO)=O)O)=O	1
C(C(C1CC(C(O)O1)NC)O)=O	1
C(C(CN)O)(CC(CO)N)=O	1
C(C(C(C)NC)=O)=O	1
C(CCO)(CC(CO)=O)=O	1
C(C(CCN)=O)=O	1
C(C)(C1C(C(CO)(C(O1)O)O)O)=O	1
C(C(CNCC=O)O)=O	1
C(CC(CC(C(CO)O)=O)=O)=O	1
C(C)(C1C(C(C(O1)O)O)NC)=O	1
C(C(C(C(O)=O)O)O)(O)=O	1
C(C=CC(C(C)=O)=O)=O	1
C1(C(C(COC(C1)O)NC)O)=O	1
C(CO)(CC(C(CN)O)O)=O	1
C(C(CCC(C=O)=O)N(C)CC=O)=O	1
C(C(C(CC(CO)NC)O)O)=O	1
C(C(C=O)N)(CC(C)=O)=O	1
C1(CCC(OC1CO)=O)=O	1
C(C=CC(C(CO)NCCO)=O)=O	1
C(C(C(C=CCO)=O)(C(C)O)O)=O	1
C(C(C(CO)C(C(CO)O)N)O)=O	1
C(CO)(C(CO)C(C(CO)O)O)=O	1
C(C(CO)NCC(C(C)=O)=O)(O)=O	1
C(C(C(C(C(C)=O)O)N)O)(O)=O	1
C(CC(C(CC(C=O)=O)O)=O)(O)=O	1
C(CC(C(C=O)=O)NC)(C)=O	1
C(C(C(CNC)=O)(CO)O)(O)=O	1
C(C(C(CN)C(C(CO)O)O)=O)=O	1
C(C(C(C(CCO)=O)O)O)(CN)=O	1
C1(CNC(CCO)C1O)=O	1
C(CN)(C(C(CCO)O)O)=O	1
C(C(CO)N)(O)=O	1
C(CNC)(CC(CO)=O)=O	1
C1(C(C(C(C1CO)O)O)N)=O	1
C(C(C(CO)(C(CO)O)O)O)=O	1
C(C(C=O)C(C(CC=O)=O)O)(O)=O	1
C1(C(CO)OC(CO)C1O)=O	1
C1(CC(C(C(CO)O)O1)O)=O	1
C(C(CO)(C(C=O)O)O)(C(C)O)=O	1
C(C(C=O)(C=CC(CO)=O)O)(O)=O	1
C(C)(C(C(C)O)O)=O	1
C(C(C(C)=O)(C(C(O)=O)O)O)=O	1
C(CC(C(C(C)=O)=O)O)=O	1
C(CNCCO)(C(CO)O)=O	1
C(C(C=O)C(C(CCO)=O)O)=O	1
C1(C(C(COC(C1)NC)O)O)=O	1
C(CCN)(CC(C=O)=O)=O	1
C(C(C(C(CO)=O)C(C=O)O)O)=O	1
C(CC(C(C=CC(CO)=O)O)O)=O	1
CNC1C(C(CO)OC1(CO)O)O	1
