Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
8_0,,,,2,2,1,3
C(C(CO)O)=O,,,1,1,319,370,689
8_1,,,,2,2,1,3
10_0,,,,2,2,1,3
C(C(C(CO)O)O)=O,,,1,1,76,70,146
10_1,,,,2,2,1,3
11_0,,,,2,1,1,2
C(CO)=O,,,0,1,972,1903,2875
14_0,,,,2,3,2,5
C(O)=O,,,1,1,4328,0,4328
CO,,,1,1,2622,259,2881
14_1,,,,2,3,2,5
16_0,,,,2,3,2,5
C(CO)O,,,1,1,9,91,100
18_0,,,,2,3,2,5
C(CO)(O)=O,,,1,1,138,277,415
20_0,,,,2,3,5,8
[H+],,,0,1,2046,1825,3871
[Fe+2],,,0,1,2458,2012,4470
C(C=O)=O,,,1,1,647,711,1358
21_0,,,,2,4,4,8
23_0,,,,2,2,1,3
C(C(C(C(CO)O)O)O)=O,,,2,1,22,23,45
23_1,,,,2,2,1,3
25_0,,,,2,2,1,3
C(C(C(C(C(CO)O)O)O)O)=O,,,2,1,16,19,35
25_1,,,,2,2,1,3
27_0,,,,2,2,1,3
C(C(C(C=O)O)O)=O,,,2,1,69,60,129
27_1,,,,2,2,1,3
28_0,,,,2,2,1,3
28_1,,,,2,2,1,3
29_0,,,,2,1,2,3
O,,,0,1,13922,10992,24914
30_0,,,,2,1,2,3
C=O,,,0,1,2050,10048,12098
30_1,,,,2,1,2,3
31_0,,,,2,1,2,3
31_1,,,,2,1,2,3
33_0,,,,2,1,1,2
C(CO)(CO)=O,,,2,1,243,339,582
35_0,,,,2,1,1,2
C(CO)(C(CO)O)=O,,,2,1,96,95,191
37_0,,,,2,3,2,5
C(C(CO)O)O,,,2,1,11,46,57
39_0,,,,2,3,2,5
C(C(C(CO)O)O)O,,,2,1,6,9,15
40_0,,,,2,3,2,5
42_0,,,,2,3,2,5
C(C(CO)O)(O)=O,,,2,1,69,103,172
44_0,,,,2,3,2,5
C(C(C(CO)O)O)(O)=O,,,2,1,19,23,42
46_0,,,,2,3,2,5
C(C(O)=O)=O,,,2,1,280,298,578
48_0,,,,2,2,1,3
C(C(CO)(C(C(CO)O)O)O)=O,,,2,1,14,16,30
48_1,,,,2,2,1,3
50_0,,,,2,2,1,3
C(C(CO)(C(C=O)O)O)=O,,,2,1,23,26,49
50_1,,,,2,2,1,3
52_0,,,,2,2,1,3
C(C(CO)(CO)O)=O,,,2,1,25,25,50
52_1,,,,2,2,1,3
54_0,,,,2,2,1,3
C(C(CO)(C(CO)O)O)=O,,,2,1,13,14,27
54_1,,,,2,2,1,3
56_0,,,,2,2,1,3
C(C(C(CO)O)(C(C=O)O)O)=O,,,2,1,16,22,38
56_1,,,,2,2,1,3
57_0,,,,2,2,1,3
57_1,,,,2,2,1,3
59_0,,,,2,2,1,3
C(C(C(CO)O)(C(CO)O)O)=O,,,2,1,7,9,16
59_1,,,,2,2,1,3
61_0,,,,2,2,1,3
C(C(C(C(CO)O)O)O)(O)=O,,,2,1,15,13,28
63_0,,,,2,2,1,3
C(C(C(C(C(CO)O)O)O)O)(O)=O,,,2,1,15,14,29
65_0,,,,2,2,1,3
C(C(C(C=O)O)O)(O)=O,,,2,1,39,43,82
66_0,,,,2,2,1,3
67_0,,,,2,2,1,3
69_0,,,,2,1,2,3
C(C(C)=O)=O,,,2,1,567,920,1487
71_0,,,,2,1,2,3
C(CC=O)=O,,,2,1,382,875,1257
73_0,,,,2,1,2,3
C(C(CCO)=O)=O,,,2,1,151,193,344
75_0,,,,2,1,2,3
C(CC(C=O)O)=O,,,2,1,188,234,422
77_0,,,,2,1,2,3
C(CC(CO)=O)=O,,,2,1,189,270,459
79_0,,,,2,1,2,3
C(C(C(C)=O)O)=O,,,2,1,190,230,420
81_0,,,,2,1,2,3
C(C)=O,,,2,1,1103,2830,3933
83_0,,,,2,1,1,2
C1C(C(C(O)O1)O)O,,,2,1,7,17,24
84_0,,,,2,3,5,8
86_0,,,,2,2,2,4
[Fe+3],,,0,1,2142,2588,4730
C(C(C)O)(O)=O,,,2,1,77,144,221
88_0,,,,2,2,2,4
C(C(CCO)O)(O)=O,,,2,1,26,30,56
90_0,,,,2,3,5,8
C(C(CO)=O)=O,,,2,1,371,467,838
92_0,,,,2,3,5,8
C(C(C(CO)O)=O)=O,,,2,1,90,82,172
93_0,,,,2,5,3,8
94_0,,,,2,4,4,8
95_0,,,,2,4,4,8
97_0,,,,2,2,1,3
C(CC(C(C(C(CO)O)O)O)O)=O,,,3,1,14,14,28
99_0,,,,2,2,1,3
C(C(C(C(CC(C=O)=O)O)O)O)=O,,,3,1,25,26,51
101_0,,,,2,2,1,3
C(C(C=O)C(C(C(C=O)O)O)O)=O,,,3,1,19,20,39
101_1,,,,2,2,1,3
103_0,,,,2,2,1,3
C(CC(C(C(C=O)O)O)O)=O,,,3,1,24,28,52
105_0,,,,2,2,1,3
C(C(C(C(C(C=O)O)O)O)O)=O,,,3,1,12,15,27
105_1,,,,2,2,1,3
107_0,,,,2,2,1,3
C(CO)(C(C(CO)(CO)O)O)=O,,,3,1,9,7,16
107_1,,,,2,2,1,3
109_0,,,,2,2,1,3
C(C(CC(CO)(CO)O)=O)=O,,,3,1,13,14,27
111_0,,,,2,2,1,3
C(C(C=O)C(CO)(CO)O)=O,,,3,1,9,9,18
111_1,,,,2,2,1,3
113_0,,,,2,2,1,3
C(C(C(CO)C(CO)(CO)O)=O)=O,,,3,1,14,13,27
113_1,,,,2,2,1,3
115_0,,,,2,2,1,3
C(C(C(CO)(CO)O)C(C=O)O)=O,,,3,1,13,14,27
115_1,,,,2,2,1,3
117_0,,,,2,2,1,3
C(C(C(CO)=O)C(CO)(CO)O)=O,,,3,1,10,9,19
117_1,,,,2,2,1,3
119_0,,,,2,2,1,3
C(CC(C(C(CO)(CO)O)O)=O)=O,,,3,1,10,10,20
119_1,,,,2,2,1,3
121_0,,,,2,2,1,3
C(C(C(CC(CO)(CO)O)=O)O)=O,,,3,1,9,9,18
123_0,,,,2,2,1,3
C(CC(CO)(CO)O)=O,,,3,1,21,24,45
125_0,,,,2,2,1,3
C(C(C(C(CO)(CO)O)O)=O)=O,,,3,1,11,14,25
125_1,,,,2,2,1,3
127_0,,,,2,2,1,3
C(C(C(CO)(CO)O)O)=O,,,3,1,17,17,34
127_1,,,,2,2,1,3
129_0,,,,2,2,1,3
C(C(C(C(CO)=O)O)O)(O)=O,,,3,1,21,17,38
129_1,,,,2,2,1,3
131_0,,,,2,2,1,3
C(C(C)(C(C(CO)=O)O)O)=O,,,3,1,16,17,33
131_1,,,,2,2,1,3
133_0,,,,2,2,1,3
C(C)(C(C(C(CO)=O)O)O)=O,,,3,1,24,21,45
133_1,,,,2,2,1,3
135_0,,,,2,2,1,3
C(CC(C(C(CO)=O)O)O)=O,,,3,1,21,21,42
135_1,,,,2,2,1,3
137_0,,,,2,2,1,3
C(C(CCO)(C(C(CO)=O)O)O)=O,,,3,1,15,15,30
137_1,,,,2,2,1,3
139_0,,,,2,2,1,3
C(C(C(C(CCO)=O)O)O)(CO)=O,,,3,1,19,17,36
139_1,,,,2,2,1,3
141_0,,,,2,2,1,3
C(CC(C(C(C(CO)=O)O)O)O)=O,,,3,1,21,20,41
141_1,,,,2,2,1,3
143_0,,,,2,2,1,3
C(C(CC(C(C(CO)=O)O)O)O)=O,,,3,1,21,19,40
143_1,,,,2,2,1,3
145_0,,,,2,2,1,3
C(CO)(CC(C(C(CO)=O)O)O)=O,,,3,1,18,16,34
145_1,,,,2,2,1,3
147_0,,,,2,2,1,3
C(CC(CO)(C(C(CO)=O)O)O)=O,,,3,1,16,15,31
147_1,,,,2,2,1,3
149_0,,,,2,2,1,3
