Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
4_0,,,,2,2,1,3
C(C(CO)O)=O,,,1,1,256,346,602
4_1,,,,2,2,1,3
6_0,,,,2,2,1,3
C(C(C(CO)O)O)=O,,,1,1,54,63,117
6_1,,,,2,2,1,3
7_0,,,,2,1,1,2
C(CO)=O,,,0,1,681,1594,2275
10_0,,,,2,3,2,5
C(O)=O,,,1,1,2733,0,2733
CO,,,1,1,1717,205,1922
10_1,,,,2,3,2,5
12_0,,,,2,3,2,5
C(CO)O,,,1,1,7,79,86
14_0,,,,2,3,2,5
C(CO)(O)=O,,,1,1,97,232,329
16_0,,,,2,2,1,3
C(C(C(C(CO)O)O)O)=O,,,2,1,20,20,40
16_1,,,,2,2,1,3
18_0,,,,2,2,1,3
C(C(C(C(C(CO)O)O)O)O)=O,,,2,1,15,16,31
18_1,,,,2,2,1,3
20_0,,,,2,1,2,3
O,,,0,1,8817,7243,16060
C(C=O)=O,,,2,1,415,601,1016
21_0,,,,2,1,2,3
C=O,,,0,1,1486,6867,8353
21_1,,,,2,1,2,3
22_0,,,,2,1,2,3
22_1,,,,2,1,2,3
24_0,,,,2,1,1,2
C(CO)(CO)=O,,,2,1,196,319,515
26_0,,,,2,1,1,2
C(CO)(C(CO)O)=O,,,2,1,74,89,163
28_0,,,,2,3,2,5
C(C(CO)O)O,,,2,1,7,44,51
30_0,,,,2,3,2,5
C(C(C(CO)O)O)O,,,2,1,4,9,13
32_0,,,,2,3,2,5
C(C(CO)O)(O)=O,,,2,1,51,96,147
34_0,,,,2,3,2,5
C(C(C(CO)O)O)(O)=O,,,2,1,17,22,39
36_0,,,,2,2,1,3
C(C(CO)(C(C(CO)O)O)O)=O,,,2,1,12,16,28
36_1,,,,2,2,1,3
38_0,,,,2,2,1,3
C(C(CO)(CO)O)=O,,,2,1,18,23,41
38_1,,,,2,2,1,3
40_0,,,,2,2,1,3
C(C(CO)(C(CO)O)O)=O,,,2,1,12,14,26
40_1,,,,2,2,1,3
41_0,,,,2,2,1,3
41_1,,,,2,2,1,3
43_0,,,,2,2,1,3
C(C(C(CO)O)(C(CO)O)O)=O,,,2,1,7,9,16
43_1,,,,2,2,1,3
45_0,,,,2,2,1,3
C(C(C(C(CO)O)O)O)(O)=O,,,2,1,12,12,24
47_0,,,,2,2,1,3
C(C(C(C(C(CO)O)O)O)O)(O)=O,,,2,1,13,13,26
48_0,,,,2,2,1,3
49_0,,,,2,2,1,3
51_0,,,,2,1,2,3
C(C(C)=O)=O,,,2,1,393,791,1184
53_0,,,,2,1,2,3
C(CC=O)=O,,,2,1,274,749,1023
