Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
8_0,,,,2,1,2,3
C(CO)=O,,,1,1,399,638,1037
C(C(C(CO)O)O)=O,,,1,1,46,50,96
8_1,,,,2,1,2,3
10_0,,,,2,1,1,2
C(CO)(C(C(C(CO)O)O)O)=O,,,1,1,14,12,26
13_0,,,,2,3,2,5
C(C(C(C(C(CO)O)O)O)O)(O)=O,,,1,1,954,14,968
C(C(C(C(C(CO)O)O)O)O)O,,,1,1,586,5,591
13_1,,,,2,3,2,5
15_0,,,,2,1,2,3
O,,,0,1,3543,2636,6179
C(C(CC(C(CO)O)O)=O)=O,,,1,1,17,19,36
17_0,,,,2,1,2,3
C(CC(C(C(CO)O)O)=O)=O,,,1,1,19,19,38
19_0,,,,2,1,2,3
C(C(C(CC(CO)O)=O)O)=O,,,1,1,16,17,33
21_0,,,,2,1,2,3
C(CC(C=O)O)(C(CO)O)=O,,,1,1,23,22,45
23_0,,,,2,1,2,3
C(C(C(C=O)O)O)(CCO)=O,,,1,1,24,25,49
25_0,,,,2,1,2,3
C(C(C(CC(CO)=O)O)O)=O,,,1,1,22,24,46
27_0,,,,2,1,2,3
C(C(C(C(C(C)=O)O)O)O)=O,,,1,1,22,24,46
29_0,,,,2,1,2,3
C(CC(C(C(C=O)O)O)O)=O,,,1,1,24,28,52
31_0,,,,2,1,1,2
C(C(C1C(C(C(O)O1)O)O)O)O,,,1,1,5,7,12
33_0,,,,2,1,1,2
C(C1C(C(C(C(O)O1)O)O)O)O,,,1,1,5,7,12
35_0,,,,2,1,1,2
C1C(C(C(C(C(O)O1)O)O)O)O,,,1,1,7,9,16
37_0,,,,2,2,2,4
[Fe+3],,,0,1,431,969,1400
C(C(CC(C(CO)O)O)O)(O)=O,,,1,1,13,11,24
39_0,,,,2,3,5,8
[H+],,,0,1,733,345,1078
[Fe+2],,,0,1,902,364,1266
C(C(C(C(C(CO)O)O)O)=O)=O,,,1,1,17,20,37
40_0,,,,2,4,4,8
42_0,,,,2,1,1,2
C1(C(C(C(C1CO)O)O)O)=O,,,2,1,19,17,36
42_1,,,,2,1,1,2
44_0,,,,2,1,1,2
C1(C(C(C(C(C1)O)O)O)O)=O,,,2,1,17,16,33
44_1,,,,2,1,1,2
45_0,,,,2,1,1,2
47_0,,,,2,1,1,2
C(C1C(C(C(C1O)O)O)O)=O,,,2,1,11,12,23
47_1,,,,2,1,1,2
48_0,,,,2,2,1,3
48_1,,,,2,2,1,3
49_0,,,,2,2,1,3
C(C(C(C(C(CO)O)O)O)O)=O,,,0,1,16,1538,1554
49_1,,,,2,2,1,3
50_0,,,,2,2,1,3
50_1,,,,2,2,1,3
51_0,,,,2,2,1,3
51_1,,,,2,2,1,3
52_0,,,,2,1,2,3
53_0,,,,2,1,2,3
54_0,,,,2,1,2,3
54_1,,,,2,1,2,3
57_0,,,,2,1,2,3
C(CO)(CO)=O,,,2,1,109,209,318
C(C(CO)O)=O,,,2,1,157,222,379
57_1,,,,2,1,2,3
59_0,,,,2,1,2,3
C(C(C)=O)=O,,,2,1,169,458,627
61_0,,,,2,1,2,3
C(CC(CO)=O)=O,,,2,1,93,196,289
61_1,,,,2,1,2,3
63_0,,,,2,1,2,3
C(C(C(C)=O)O)=O,,,2,1,90,167,257
66_0,,,,2,1,2,3
C(C=O)=O,,,2,1,224,276,500
C(C)(C(CO)O)=O,,,2,1,79,136,215
69_0,,,,2,1,2,3
C(C(CC(CO)=O)O)=O,,,2,1,42,43,85
C=O,,,2,1,814,1798,2612
69_1,,,,2,1,2,3
71_0,,,,2,1,2,3
C(C(CCO)=O)=O,,,2,1,74,141,215
71_1,,,,2,1,2,3
73_0,,,,2,1,2,3
C(CO)(CCO)=O,,,2,1,80,163,243
73_1,,,,2,1,2,3
75_0,,,,2,1,2,3
C(C(C(C(C)=O)O)O)=O,,,2,1,48,46,94
76_0,,,,2,1,2,3
76_1,,,,2,1,2,3
79_0,,,,2,1,2,3
C(C(C=O)O)=O,,,2,1,108,212,320
C(C)(CO)=O,,,2,1,207,444,651
80_0,,,,2,1,2,3
80_1,,,,2,1,2,3
81_0,,,,2,1,2,3
81_1,,,,2,1,2,3
83_0,,,,2,1,2,3
C(CC(C=O)O)=O,,,2,1,96,171,267
83_1,,,,2,1,2,3
86_0,,,,2,1,2,3
C(C(C(C=O)O)O)=O,,,2,1,37,46,83
C(C)=O,,,2,1,298,1489,1787
87_0,,,,2,1,2,3
89_0,,,,2,1,2,3
C(C(CO)=O)=O,,,2,1,155,303,458
89_1,,,,2,1,2,3
90_0,,,,2,1,1,2
92_0,,,,2,1,1,2
C(CO)(C(CO)O)=O,,,2,1,59,67,126
93_0,,,,2,1,1,2
95_0,,,,2,1,1,2
C(C(C(CO)O)O)(C(CO)O)=O,,,2,1,15,13,28
97_0,,,,2,1,1,2
C(CC(C(C(CO)O)=O)O)=O,,,2,1,22,20,42
99_0,,,,2,1,1,2
C(C(CO)=O)(CC(CO)O)=O,,,2,1,15,15,30
101_0,,,,2,1,1,2
C(C(C(CC(CO)O)O)=O)=O,,,2,1,14,16,30
103_0,,,,2,1,1,2
C(C(CO)O)(CC(CO)=O)=O,,,2,1,20,17,37
105_0,,,,2,1,1,2
C(C(CC(C(CO)=O)O)O)=O,,,2,1,18,18,36
107_0,,,,2,1,1,2
C(CCO)(C(C(CO)=O)O)=O,,,2,1,16,14,30
109_0,,,,2,1,1,2
C(C(C(C(CCO)O)=O)O)=O,,,2,1,14,14,28
111_0,,,,2,1,1,2
C(CO)(C(CC(CO)=O)O)=O,,,2,1,22,19,41
113_0,,,,2,1,1,2
C(C(C(CC(C=O)O)O)O)=O,,,2,1,23,26,49
115_0,,,,2,1,1,2
C(C)(C(C(C(CO)=O)O)O)=O,,,2,1,24,21,45
117_0,,,,2,1,1,2
C(C(C(C=O)O)O)(C(C)O)=O,,,2,1,22,22,44
119_0,,,,2,1,1,2
C(CC(C(C(CO)=O)O)O)=O,,,2,1,21,21,42
121_0,,,,2,1,1,2
C(C(C(C(C(CO)O)O)=O)O)=O,,,2,1,13,16,29
123_0,,,,2,3,2,5
C(CO)O,,,2,1,4,17,21
125_0,,,,2,3,2,5
C(C(C(CO)O)O)O,,,2,1,4,3,7
127_0,,,,2,3,2,5
C(CO)(CC(C(CO)O)O)=O,,,2,1,16,14,30
129_0,,,,2,3,2,5
C(C(C(CO)O)O)(CCO)=O,,,2,1,18,15,33
131_0,,,,2,3,2,5
C(C(CO)O)(CC(CO)O)=O,,,2,1,18,15,33
132_0,,,,2,3,2,5
133_0,,,,2,3,2,5
134_0,,,,2,3,2,5
136_0,,,,2,3,2,5
C(C)(C(C(C(CO)O)O)O)=O,,,2,1,17,15,32
138_0,,,,2,3,2,5
C(CC(C(C(CO)O)O)O)=O,,,2,1,15,16,31
140_0,,,,2,3,2,5
C(C(C(C(CCO)O)O)O)=O,,,2,1,16,18,34
141_0,,,,2,3,2,5
143_0,,,,2,3,2,5
C(CO)(O)=O,,,2,1,43,101,144
145_0,,,,2,3,2,5
C(C(C(CO)O)O)(O)=O,,,2,1,19,18,37
147_0,,,,2,3,2,5
C(C(CC(C(CO)O)O)=O)(O)=O,,,2,1,11,15,26
149_0,,,,2,3,2,5
C(CC(C(C(CO)O)O)=O)(O)=O,,,2,1,11,14,25
151_0,,,,2,3,2,5
C(C(C(CC(CO)O)=O)O)(O)=O,,,2,1,13,12,25
153_0,,,,2,3,2,5
C(CC(C(O)=O)O)(C(CO)O)=O,,,2,1,15,13,28
155_0,,,,2,3,2,5
C(C(C(C(O)=O)O)O)(CCO)=O,,,2,1,15,13,28
157_0,,,,2,3,2,5
C(C(C(CC(CO)=O)O)O)(O)=O,,,2,1,14,12,26
159_0,,,,2,3,2,5
C(C(C(C(C(C)=O)O)O)O)(O)=O,,,2,1,16,14,30
161_0,,,,2,3,2,5
C(CC(C(C(C(O)=O)O)O)O)=O,,,2,1,18,18,36
163_0,,,,2,3,2,5
C(CC(C(C(C=O)O)O)O)(O)=O,,,2,1,13,18,31
165_0,,,,2,3,2,5
