Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
4_0,,,,2,1,2,3
C(CO)=O,,,1,1,362,565,927
C(C(C(CO)O)O)=O,,,1,1,41,47,88
4_1,,,,2,1,2,3
6_0,,,,2,1,1,2
C(CO)(C(C(C(CO)O)O)O)=O,,,1,1,14,12,26
9_0,,,,2,3,2,5
C(C(C(C(C(CO)O)O)O)O)(O)=O,,,1,1,799,13,812
C(C(C(C(C(CO)O)O)O)O)O,,,1,1,500,5,505
9_1,,,,2,3,2,5
11_0,,,,2,1,2,3
O,,,0,1,2983,2208,5191
C(C(CC(C(CO)O)O)=O)=O,,,1,1,16,18,34
13_0,,,,2,1,2,3
C(CC(C(C(CO)O)O)=O)=O,,,1,1,19,19,38
15_0,,,,2,1,2,3
C(C(C(CC(CO)O)=O)O)=O,,,1,1,16,16,32
17_0,,,,2,1,2,3
C(CC(C=O)O)(C(CO)O)=O,,,1,1,22,20,42
19_0,,,,2,1,2,3
C(C(C(C=O)O)O)(CCO)=O,,,1,1,23,22,45
21_0,,,,2,1,2,3
C(C(C(CC(CO)=O)O)O)=O,,,1,1,21,21,42
23_0,,,,2,1,2,3
C(C(C(C(C(C)=O)O)O)O)=O,,,1,1,21,21,42
25_0,,,,2,1,2,3
C(CC(C(C(C=O)O)O)O)=O,,,1,1,23,25,48
27_0,,,,2,1,1,2
C(C(C1C(C(C(O)O1)O)O)O)O,,,1,1,5,7,12
29_0,,,,2,1,1,2
C(C1C(C(C(C(O)O1)O)O)O)O,,,1,1,5,7,12
31_0,,,,2,1,1,2
C1C(C(C(C(C(O)O1)O)O)O)O,,,1,1,7,9,16
33_0,,,,2,1,1,2
C1(C(C(C(C1CO)O)O)O)=O,,,2,1,19,17,36
33_1,,,,2,1,1,2
35_0,,,,2,1,1,2
C1(C(C(C(C(C1)O)O)O)O)=O,,,2,1,17,16,33
35_1,,,,2,1,1,2
36_0,,,,2,1,1,2
38_0,,,,2,1,1,2
C(C1C(C(C(C1O)O)O)O)=O,,,2,1,11,12,23
38_1,,,,2,1,1,2
39_0,,,,2,2,1,3
39_1,,,,2,2,1,3
40_0,,,,2,2,1,3
C(C(C(C(C(CO)O)O)O)O)=O,,,0,1,15,1296,1311
40_1,,,,2,2,1,3
42_0,,,,2,2,1,3
C(C(CC(C(CO)O)O)O)(O)=O,,,2,1,10,10,20
42_1,,,,2,2,1,3
44_0,,,,2,1,2,3
C(C(C(C(C(CO)O)O)O)=O)=O,,,2,1,15,19,34
45_0,,,,2,1,2,3
45_1,,,,2,1,2,3
48_0,,,,2,1,2,3
C(CO)(CO)=O,,,2,1,90,186,276
C(C(CO)O)=O,,,2,1,126,195,321
48_1,,,,2,1,2,3
50_0,,,,2,1,2,3
C(C(C)=O)=O,,,2,1,151,419,570
52_0,,,,2,1,2,3
C(CC(CO)=O)=O,,,2,1,81,178,259
52_1,,,,2,1,2,3
54_0,,,,2,1,2,3
C(C(C(C)=O)O)=O,,,2,1,78,151,229
57_0,,,,2,1,2,3
C(C=O)=O,,,2,1,169,247,416
C(C)(C(CO)O)=O,,,2,1,70,124,194
60_0,,,,2,1,2,3
C(C(CC(CO)=O)O)=O,,,2,1,39,41,80
C=O,,,2,1,666,1551,2217
60_1,,,,2,1,2,3
62_0,,,,2,1,2,3
C(C(CCO)=O)=O,,,2,1,64,128,192
62_1,,,,2,1,2,3
64_0,,,,2,1,2,3
C(CO)(CCO)=O,,,2,1,72,148,220
64_1,,,,2,1,2,3
