Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
9_0,,,,2,1,2,3
C(CO)=O,,,1,1,461,197,658
C(C(C(CO)O)O)=O,,,1,1,35,71,106
9_1,,,,2,1,2,3
11_0,,,,2,1,1,2
C(CO)(C(C(C(CO)O)O)O)=O,,,1,1,18,32,50
14_0,,,,2,3,2,5
C(C(C(C(C(CO)O)O)O)O)(O)=O,,,1,1,175,15,190
C(C(C(C(C(CO)O)O)O)O)O,,,1,1,140,5,145
14_1,,,,2,3,2,5
17_0,,,,2,1,2,3
CN,,,1,1,84,506,590
C(=O)=O,,,1,1,2077,166,2243
19_0,,,,2,1,2,3
O,,,0,1,2223,538,2761
C(C(CC(C(CO)O)O)=O)=O,,,1,1,24,43,67
21_0,,,,2,1,2,3
C(CC(C(C(CO)O)O)=O)=O,,,1,1,29,49,78
23_0,,,,2,1,2,3
C(C(C(CC(CO)O)=O)O)=O,,,1,1,23,49,72
25_0,,,,2,1,2,3
C(CC(C=O)O)(C(CO)O)=O,,,1,1,32,56,88
27_0,,,,2,1,2,3
C(C(C(C=O)O)O)(CCO)=O,,,1,1,33,61,94
29_0,,,,2,1,2,3
C(C(C(CC(CO)=O)O)O)=O,,,1,1,28,54,82
31_0,,,,2,1,2,3
C(C(C(C(C(C)=O)O)O)O)=O,,,1,1,30,56,86
33_0,,,,2,1,2,3
C(CC(C(C(C=O)O)O)O)=O,,,1,1,32,58,90
35_0,,,,2,1,1,2
C(C(C1C(C(C(O)O1)O)O)O)O,,,1,1,5,7,12
37_0,,,,2,1,1,2
C(C1C(C(C(C(O)O1)O)O)O)O,,,1,1,5,7,12
39_0,,,,2,1,1,2
C1C(C(C(C(C(O)O1)O)O)O)O,,,1,1,7,9,16
42_0,,,,2,2,2,4
C(C(C(C(C(CN)O)O)O)O)O,,,1,1,22,14,36
C(C(O)=O)=O,,,1,1,633,102,735
44_0,,,,2,2,3,5
C=O,,,1,1,570,458,1028
46_0,,,,2,2,2,4
[Fe+3],,,0,1,103,305,408
C(C(CC(C(CO)O)O)O)(O)=O,,,1,1,12,11,23
48_0,,,,2,3,5,8
[H+],,,0,1,214,68,282
[Fe+2],,,0,1,274,72,346
C(C(C(C(C(CO)O)O)O)=O)=O,,,1,1,24,48,72
49_0,,,,2,4,4,8
51_0,,,,2,1,1,2
C1(C(C(C(C1CO)O)O)O)=O,,,2,1,2,39,41
51_1,,,,2,1,1,2
53_0,,,,2,1,1,2
C1(C(C(C(C(C1)O)O)O)O)=O,,,2,1,3,36,39
53_1,,,,2,1,1,2
54_0,,,,2,1,1,2
56_0,,,,2,1,1,2
C(C1C(C(C(C1O)O)O)O)=O,,,2,1,2,26,28
56_1,,,,2,1,1,2
57_0,,,,2,2,1,3
57_1,,,,2,2,1,3
58_0,,,,2,2,1,3
