Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
5_0,,,,2,1,2,3
C(CO)=O,,,1,1,413,178,591
C(C(C(CO)O)O)=O,,,1,1,31,64,95
5_1,,,,2,1,2,3
7_0,,,,2,1,1,2
C(CO)(C(C(C(CO)O)O)O)=O,,,1,1,17,32,49
10_0,,,,2,3,2,5
C(C(C(C(C(CO)O)O)O)O)(O)=O,,,1,1,154,14,168
C(C(C(C(C(CO)O)O)O)O)O,,,1,1,124,5,129
10_1,,,,2,3,2,5
13_0,,,,2,1,2,3
CN,,,1,1,78,436,514
C(=O)=O,,,1,1,1841,159,2000
15_0,,,,2,1,2,3
O,,,0,1,1961,467,2428
C(C(CC(C(CO)O)O)=O)=O,,,1,1,21,42,63
17_0,,,,2,1,2,3
C(CC(C(C(CO)O)O)=O)=O,,,1,1,26,49,75
19_0,,,,2,1,2,3
C(C(C(CC(CO)O)=O)O)=O,,,1,1,21,48,69
21_0,,,,2,1,2,3
C(CC(C=O)O)(C(CO)O)=O,,,1,1,29,54,83
23_0,,,,2,1,2,3
C(C(C(C=O)O)O)(CCO)=O,,,1,1,30,58,88
25_0,,,,2,1,2,3
C(C(C(CC(CO)=O)O)O)=O,,,1,1,25,51,76
27_0,,,,2,1,2,3
C(C(C(C(C(C)=O)O)O)O)=O,,,1,1,27,53,80
29_0,,,,2,1,2,3
C(CC(C(C(C=O)O)O)O)=O,,,1,1,29,55,84
31_0,,,,2,1,1,2
C(C(C1C(C(C(O)O1)O)O)O)O,,,1,1,5,7,12
33_0,,,,2,1,1,2
C(C1C(C(C(C(O)O1)O)O)O)O,,,1,1,5,7,12
35_0,,,,2,1,1,2
C1C(C(C(C(C(O)O1)O)O)O)O,,,1,1,7,9,16
38_0,,,,2,2,2,4
C(C(C(C(C(CN)O)O)O)O)O,,,1,1,22,13,35
C(C(O)=O)=O,,,1,1,563,89,652
40_0,,,,2,2,3,5
C=O,,,1,1,511,407,918
42_0,,,,2,1,1,2
C1(C(C(C(C1CO)O)O)O)=O,,,2,1,2,39,41
42_1,,,,2,1,1,2
44_0,,,,2,1,1,2
C1(C(C(C(C(C1)O)O)O)O)=O,,,2,1,3,36,39
44_1,,,,2,1,1,2
45_0,,,,2,1,1,2
47_0,,,,2,1,1,2
C(C1C(C(C(C1O)O)O)O)=O,,,2,1,2,26,28
47_1,,,,2,1,1,2
48_0,,,,2,2,1,3
48_1,,,,2,2,1,3
49_0,,,,2,2,1,3
C(C(C(C(C(CO)O)O)O)O)=O,,,0,1,17,292,309
49_1,,,,2,2,1,3
51_0,,,,2,2,1,3
C(C(C=O)O)(O)=O,,,2,1,301,68,369
51_1,,,,2,2,1,3
53_0,,,,2,2,1,3
C(C(C(C=O)O)O)(O)=O,,,2,1,8,61,69
53_1,,,,2,2,1,3
55_0,,,,2,2,1,3
C(C(CO)O)=O,,,2,1,330,128,458
55_1,,,,2,2,1,3
57_0,,,,2,2,1,3
C(C(C(CO)C(C(CO)O)O)=O)=O,,,2,1,4,41,45
57_1,,,,2,2,1,3
59_0,,,,2,2,1,3
C(C(C(C(C(CO)O)O)=O)CO)=O,,,2,1,2,43,45
59_1,,,,2,2,1,3
61_0,,,,2,2,1,3
C(C(C(C(CO)C(CO)O)=O)O)=O,,,2,1,2,44,46
61_1,,,,2,2,1,3
63_0,,,,2,2,1,3
C(C(CO)C(C=O)O)(C(CO)O)=O,,,2,1,2,48,50
63_1,,,,2,2,1,3
65_0,,,,2,2,1,3
C(C(C(C=O)O)O)(C(CO)CO)=O,,,2,1,2,44,46
65_1,,,,2,2,1,3
67_0,,,,2,2,1,3
C(C(C(C(C(CO)=O)CO)O)O)=O,,,2,1,4,46,50
67_1,,,,2,2,1,3
69_0,,,,2,2,1,3
C(C(CO)O)(CC(C(C=O)O)O)=O,,,2,1,3,46,49
69_1,,,,2,2,1,3
71_0,,,,2,2,1,3
C(C(C(C(C=O)O)O)O)(CCO)=O,,,2,1,3,46,49
73_0,,,,2,2,1,3
C(C(CO)C(C(C(C=O)O)O)O)=O,,,2,1,2,50,52
