Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
7_0,,,,2,2,1,3
C(C(C)(CC(C(O)=O)=O)O)(O)=O,,,1,1,9,11,20
9_0,,,,2,2,1,3
C(C(CO)O)(O)=O,,,1,1,59,91,150
12_0,,,,2,1,2,3
C(C)=O,,,1,1,588,1732,2320
C(=O)=O,,,1,1,869,897,1766
14_0,,,,2,4,3,7
[Fe+3],,,0,1,1478,1142,2620
C([C](C)O)(O)=O,,,1,1,5,20,25
16_0,,,,2,5,3,8
C(C(C)O)(O)=O,,,1,1,58,131,189
18_0,,,,2,2,1,3
C(CC(C)O)=O,,,2,1,122,342,464
20_0,,,,2,2,1,3
C(C(CC(C)O)=O)(O)=O,,,2,1,19,26,45
22_0,,,,2,2,1,3
C(CC(O)=O)=O,,,2,1,116,303,419
24_0,,,,2,2,1,3
C(C(C)(CC=O)O)(O)=O,,,2,1,21,25,46
26_0,,,,2,2,1,3
C(CC(C(O)=O)=O)(O)=O,,,2,1,18,23,41
28_0,,,,2,1,2,3
O,,,0,1,7172,4774,11946
C(C(O)=O)(CC(C(C)=O)=O)=O,,,2,1,12,13,25
30_0,,,,2,1,2,3
C(C(CO)=O)=O,,,2,1,188,404,592
32_0,,,,2,1,2,3
C(C(C)=O)=O,,,2,1,390,747,1137
33_0,,,,2,1,2,3
C(C(C)=O)(O)=O,,,0,1,107,212,319
35_0,,,,2,2,1,3
C(C(CO)(C(C)O)O)(O)=O,,,2,1,10,8,18
35_1,,,,2,2,1,3
37_0,,,,2,2,1,3
C(C(C(O)=O)(CO)O)(O)=O,,,2,1,8,4,12
37_1,,,,2,2,1,3
39_0,,,,2,2,1,3
C(C(CO)(C(C(O)=O)(C)O)O)(O)=O,,,2,1,12,11,23
39_1,,,,2,2,1,3
41_0,,,,2,2,1,3
C(C(C)(C(C)O)O)(O)=O,,,2,1,6,8,14
43_0,,,,2,2,1,3
C(C(C(O)=O)(C)O)(O)=O,,,2,1,4,3,7
45_0,,,,2,2,1,3
C(C(C)(C(C(O)=O)(C)O)O)(O)=O,,,2,1,4,4,8
48_0,,,,2,1,2,3
C=O,,,2,1,934,4511,5445
C(CO)(O)=O,,,2,1,117,239,356
49_0,,,,2,1,2,3
50_0,,,,2,1,2,3
52_0,,,,2,1,2,3
C(C(C)=CC(C(O)=O)=O)(O)=O,,,2,1,7,7,14
54_0,,,,2,1,2,3
C=C(C(O)=O)CC(C(O)=O)=O,,,2,1,9,10,19
56_0,,,,2,1,2,3
[C](C(O)=O)=C,,,2,1,121,443,564
58_0,,,,2,1,2,3
C=CC(O)=O,,,2,1,125,442,567
60_0,,,,2,2,1,3
C(C(C)(C(C(C(O)=O)O)O)O)(O)=O,,,2,1,13,12,25
62_0,,,,2,2,1,3
C(CO)O,,,2,1,11,60,71
64_0,,,,2,1,1,2
C1(C(C)(CC(C(O)=O)(O)O1)O)=O,,,2,1,4,6,10
65_0,,,,2,1,2,3
67_0,,,,2,1,2,3
C(C1(C)CC(C(O1)=O)=O)(O)=O,,,2,1,7,4,11
69_0,,,,2,1,2,3
C1(C(C)(CC(C(O1)=O)=O)O)=O,,,2,1,8,7,15
71_0,,,,2,4,3,7
C(C(C)(C[C](C(O)=O)O)O)(O)=O,,,2,1,6,7,13
73_0,,,,2,3,5,8
[H+],,,0,1,914,1157,2071
[Fe+2],,,0,1,1072,1408,2480
C(C(CO)=O)(O)=O,,,2,1,86,128,214
74_0,,,,2,3,5,8
76_0,,,,2,5,3,8
C(C(C)(CC(C(O)=O)O)O)(O)=O,,,2,1,11,9,20
78_0,,,,2,1,1,2
C(C1(CC(C(C1)=O)=O)O)(O)=O,,,3,1,8,8,16
80_0,,,,2,2,1,3
C(C(C(C)O)C(CC(C)O)O)=O,,,3,1,12,14,26
80_1,,,,2,2,1,3
82_0,,,,2,2,1,3
C(C(C=O)C(CC(C)O)O)(O)=O,,,3,1,10,13,23
82_1,,,,2,2,1,3
84_0,,,,2,2,1,3
C(C(C(C(CC(C)O)O)O)=O)=O,,,3,1,13,17,30
84_1,,,,2,2,1,3
86_0,,,,2,2,1,3
C(C(CC(CC(C)O)O)=O)=O,,,3,1,13,16,29
88_0,,,,2,2,1,3
