Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
3_0,,,,2,2,1,3
C(C(C)(CC(C(O)=O)=O)O)(O)=O,,,1,1,6,9,15
5_0,,,,2,2,1,3
C(C(CO)O)(O)=O,,,1,1,43,70,113
8_0,,,,2,1,2,3
C(C)=O,,,1,1,280,755,1035
C(=O)=O,,,1,1,400,415,815
10_0,,,,2,2,1,3
C(CC(C)O)=O,,,2,1,76,205,281
12_0,,,,2,2,1,3
C(C(CC(C)O)=O)(O)=O,,,2,1,13,24,37
14_0,,,,2,2,1,3
C(CC(O)=O)=O,,,2,1,71,188,259
16_0,,,,2,2,1,3
C(C(C)(CC=O)O)(O)=O,,,2,1,16,25,41
18_0,,,,2,2,1,3
C(CC(C(O)=O)=O)(O)=O,,,2,1,11,21,32
20_0,,,,2,1,2,3
O,,,0,1,2684,2115,4799
C(C(O)=O)(CC(C(C)=O)=O)=O,,,2,1,10,11,21
22_0,,,,2,1,2,3
C(C(CO)=O)=O,,,2,1,121,254,375
23_0,,,,2,1,2,3
C(C(C)=O)(O)=O,,,0,1,69,130,199
25_0,,,,2,2,1,3
C(C(CO)(C(C)O)O)(O)=O,,,2,1,9,8,17
25_1,,,,2,2,1,3
27_0,,,,2,2,1,3
C(C(C(O)=O)(CO)O)(O)=O,,,2,1,8,4,12
27_1,,,,2,2,1,3
29_0,,,,2,2,1,3
C(C(CO)(C(C(O)=O)(C)O)O)(O)=O,,,2,1,11,11,22
29_1,,,,2,2,1,3
32_0,,,,2,1,2,3
C=O,,,2,1,468,1933,2401
C(CO)(O)=O,,,2,1,67,144,211
33_0,,,,2,1,2,3
34_0,,,,2,1,2,3
36_0,,,,2,1,2,3
C(C(C)=CC(C(O)=O)=O)(O)=O,,,2,1,4,5,9
38_0,,,,2,1,2,3
C=C(C(O)=O)CC(C(O)=O)=O,,,2,1,6,8,14
40_0,,,,2,2,1,3
C(C(C)(C(C(C(O)=O)O)O)O)(O)=O,,,2,1,10,11,21
42_0,,,,2,2,1,3
C(CO)O,,,2,1,7,32,39
44_0,,,,2,1,1,2
C1(C(C)(CC(C(O)=O)(O)O1)O)=O,,,2,1,3,6,9
45_0,,,,2,1,2,3
47_0,,,,2,1,2,3
C(C1(C)CC(C(O1)=O)=O)(O)=O,,,2,1,6,4,10
49_0,,,,2,1,2,3
C1(C(C)(CC(C(O1)=O)=O)O)=O,,,2,1,8,7,15
51_0,,,,2,1,1,2
C(C1(CC(C(C1)=O)=O)O)(O)=O,,,3,1,8,8,16
53_0,,,,2,2,1,3
C(C(C(C)O)C(CC(C)O)O)=O,,,3,1,12,14,26
53_1,,,,2,2,1,3
55_0,,,,2,2,1,3
C(C(C=O)C(CC(C)O)O)(O)=O,,,3,1,10,13,23
55_1,,,,2,2,1,3
57_0,,,,2,2,1,3
C(C(C(C(CC(C)O)O)O)=O)=O,,,3,1,12,16,28
57_1,,,,2,2,1,3
59_0,,,,2,2,1,3
C(CC(CC(C)O)O)=O,,,3,1,17,29,46
61_0,,,,2,2,1,3
C(C(CC(CC(C)O)O)=O)(O)=O,,,3,1,7,10,17
63_0,,,,2,2,1,3
C(C(C(CC(O)=O)O)C(C)O)=O,,,3,1,10,13,23
63_1,,,,2,2,1,3
65_0,,,,2,2,1,3
C(C(C(C)O)C(C(CO)=O)O)=O,,,3,1,14,16,30
65_1,,,,2,2,1,3
67_0,,,,2,2,1,3
C(C(C(C)O)C(C=O)(CO)O)=O,,,3,1,12,17,29
67_1,,,,2,2,1,3
69_0,,,,2,2,1,3
C(C(CO)C(C)O)=O,,,3,1,31,48,79
69_1,,,,2,2,1,3
71_0,,,,2,2,1,3
C(C(C(C)O)C(C)O)=O,,,3,1,14,19,33
71_1,,,,2,2,1,3
73_0,,,,2,2,1,3
C(C(C=O)C(C)O)(O)=O,,,3,1,18,21,39
73_1,,,,2,2,1,3
75_0,,,,2,2,1,3
C(C(C(C)O)C(C(O)=O)(C)O)=O,,,3,1,11,14,25
75_1,,,,2,2,1,3
77_0,,,,2,2,1,3
C(C(CC(C)O)(CC=O)O)(O)=O,,,3,1,9,12,21
79_0,,,,2,2,1,3
C(C(C(CO)C(C)O)=O)(O)=O,,,3,1,10,12,22
79_1,,,,2,2,1,3
81_0,,,,2,2,1,3
C(C(C(C(C)O)C(C)O)=O)(O)=O,,,3,1,5,7,12
81_1,,,,2,2,1,3
83_0,,,,2,2,1,3
C(C(C(C(O)=O)=O)C(C)O)(O)=O,,,3,1,7,10,17
83_1,,,,2,2,1,3
85_0,,,,2,2,1,3
C(C(C=O)C(CC(O)=O)O)(O)=O,,,3,1,8,11,19
85_1,,,,2,2,1,3
87_0,,,,2,2,1,3
C(CC(C(C(C=O)=O)O)O)(O)=O,,,3,1,11,16,27
87_1,,,,2,2,1,3
89_0,,,,2,2,1,3
C(CC(CC=O)O)(O)=O,,,3,1,19,31,50
91_0,,,,2,2,1,3
C(CC(CC(C(O)=O)=O)O)(O)=O,,,3,1,5,8,13
93_0,,,,2,2,1,3
C(C(C=O)C(C(CO)=O)O)(O)=O,,,3,1,12,15,27
93_1,,,,2,2,1,3
95_0,,,,2,2,1,3
C(C(C=O)C(C=O)(CO)O)(O)=O,,,3,1,10,16,26
95_1,,,,2,2,1,3
97_0,,,,2,2,1,3
C(C(C=O)CO)(O)=O,,,3,1,29,40,69
97_1,,,,2,2,1,3
98_0,,,,2,2,1,3
98_1,,,,2,2,1,3
100_0,,,,2,2,1,3
C(C(C(O)=O)C(O)=O)=O,,,3,1,14,14,28
100_1,,,,2,2,1,3
102_0,,,,2,2,1,3
C(C(C=O)C(C(O)=O)(C)O)(O)=O,,,3,1,9,12,21
102_1,,,,2,2,1,3
104_0,,,,2,2,1,3
C(C(C)(CC(CC=O)O)O)(O)=O,,,3,1,9,12,21
106_0,,,,2,2,1,3
C(C(CO)C(C(O)=O)(C)O)=O,,,3,1,12,14,26
106_1,,,,2,2,1,3
107_0,,,,2,2,1,3
107_1,,,,2,2,1,3
108_0,,,,2,2,1,3
108_1,,,,2,2,1,3
110_0,,,,2,2,1,3
C(CC(C(O)=O)(CC=O)O)(O)=O,,,3,1,7,10,17
112_0,,,,2,2,1,3
C(C(C(C(O)=O)=O)CO)(O)=O,,,3,1,9,10,19
112_1,,,,2,2,1,3
113_0,,,,2,2,1,3
113_1,,,,2,2,1,3
115_0,,,,2,2,1,3
C(C(C(O)=O)C(C(O)=O)=O)(O)=O,,,3,1,3,5,8
115_1,,,,2,2,1,3
117_0,,,,2,2,1,3
C(C(C(C(C(C)=O)=O)CO)=O)(O)=O,,,3,1,7,9,16
117_1,,,,2,2,1,3
119_0,,,,2,2,1,3
C(C(CC(C(CCO)=O)=O)=O)(O)=O,,,3,1,8,9,17
121_0,,,,2,2,1,3
C(CO)(C(C(C(C=O)=O)O)O)=O,,,3,1,17,21,38
121_1,,,,2,2,1,3
123_0,,,,2,2,1,3
C(CC(C(CO)=O)O)=O,,,3,1,34,49,83
125_0,,,,2,2,1,3
C(CO)(C(CC(C(O)=O)=O)O)=O,,,3,1,9,12,21
127_0,,,,2,2,1,3
C(C(CO)(C(C(C=O)=O)O)O)=O,,,3,1,13,21,34
127_1,,,,2,2,1,3
129_0,,,,2,2,1,3
C(C(CO)(CC=O)O)=O,,,3,1,18,31,49
131_0,,,,2,2,1,3
C(C(CO)(CC(C(O)=O)=O)O)=O,,,3,1,7,13,20
133_0,,,,2,2,1,3
C(C(C(CO)O)=O)=O,,,3,1,42,69,111
133_1,,,,2,2,1,3
135_0,,,,2,2,1,3
C(C(C(C(C)O)O)=O)=O,,,3,1,23,33,56
135_1,,,,2,2,1,3
137_0,,,,2,2,1,3
C(C(C(C=O)=O)O)(O)=O,,,3,1,22,29,51
137_1,,,,2,2,1,3
139_0,,,,2,2,1,3
C(C(C)(C(C(C=O)=O)O)O)(O)=O,,,3,1,11,15,26
139_1,,,,2,2,1,3
141_0,,,,2,2,1,3
C=C(C(O)=O)C(C(C(O)=O)=O)CO,,,3,1,3,7,10
143_0,,,,2,2,1,3
C(C1(C)C(C(C(O1)=O)=O)CO)(O)=O,,,3,1,6,6,12
143_1,,,,2,2,1,3
145_0,,,,2,2,1,3
C1(C(C)(C(C(C(O1)=O)=O)CO)O)=O,,,3,1,9,10,19
145_1,,,,2,2,1,3
147_0,,,,2,2,1,3
C(CCO)=O,,,3,1,130,424,554
149_0,,,,2,2,1,3
C(C(CCO)=O)(O)=O,,,3,1,24,51,75
150_0,,,,2,2,1,3
151_0,,,,2,2,1,3
151_1,,,,2,2,1,3
153_0,,,,2,1,2,3
C(CC(C(C)=O)=O)=O,,,3,1,45,91,136
155_0,,,,2,1,2,3
C(C(CO)=O)(C(C)O)=O,,,3,1,21,33,54
157_0,,,,2,1,2,3
C(C(C(CO)=O)=O)(O)=O,,,3,1,12,25,37
159_0,,,,2,1,2,3
C(C(C(C(C)=O)=O)(CO)O)(O)=O,,,3,1,10,11,21
161_0,,,,2,1,2,3
C(C(C(C(CO)=O)=O)(C)O)(O)=O,,,3,1,6,9,15
163_0,,,,2,1,2,3
C(C=O)=O,,,3,1,141,279,420
164_0,,,,2,1,2,3
166_0,,,,2,1,2,3
C(C(C(C(C(C)=O)=O)O)O)(O)=O,,,3,1,13,13,26
167_0,,,,2,1,2,3
168_0,,,,2,1,2,3
169_0,,,,2,1,2,3
170_0,,,,2,1,2,3
170_1,,,,2,1,2,3
171_0,,,,2,1,2,3
172_0,,,,2,1,2,3
172_1,,,,2,1,2,3
173_0,,,,2,1,2,3
175_0,,,,2,1,1,2
C(C(C)=O)(OC(C(C)=O)=O)=O,,,3,1,4,3,7
177_0,,,,2,1,1,2
C(C(C=O)O)=O,,,3,1,80,186,266
180_0,,,,2,3,2,5
C(O)=O,,,3,1,663,0,663
CC(CCO)O,,,3,1,8,35,43
182_0,,,,2,3,2,5
