Gen	ID
0	C(C(C)=O)(O)=O
0	O
0	[OH-]
0	[H+]
0	[Fe+3]
0	[Fe+2]
1	C(C(C)(CC(C(O)=O)=O)O)(O)=O
1	C(C(CO)O)(O)=O
1	C(C)=O
1	C(=O)=O
1	C([C](C)O)(O)=O
1	C(C(C)O)(O)=O
2	C(CC(C)O)=O
2	C(C(CC(C)O)=O)(O)=O
2	C(CC(O)=O)=O
2	C(C(C)(CC=O)O)(O)=O
2	C(CC(C(O)=O)=O)(O)=O
2	C(C(O)=O)(CC(C(C)=O)=O)=O
2	C(C(CO)=O)=O
2	C(C(C)=O)=O
2	C(C(CO)(C(C)O)O)(O)=O
2	C(C(C(O)=O)(CO)O)(O)=O
2	C(C(CO)(C(C(O)=O)(C)O)O)(O)=O
2	C(C(C)(C(C)O)O)(O)=O
2	C(C(C(O)=O)(C)O)(O)=O
2	C(C(C)(C(C(O)=O)(C)O)O)(O)=O
2	C=O
2	C(CO)(O)=O
2	C(C(C)=CC(C(O)=O)=O)(O)=O
2	C=C(C(O)=O)CC(C(O)=O)=O
2	[C](C(O)=O)=C
2	C=CC(O)=O
2	C(C(C)(C(C(C(O)=O)O)O)O)(O)=O
2	C(CO)O
2	C1(C(C)(CC(C(O)=O)(O)O1)O)=O
2	C(C1(C)CC(C(O1)=O)=O)(O)=O
2	C1(C(C)(CC(C(O1)=O)=O)O)=O
2	C(C(C)(C[C](C(O)=O)O)O)(O)=O
2	C(C(CO)=O)(O)=O
2	C(C(C)(CC(C(O)=O)O)O)(O)=O
3	C(C1(CC(C(C1)=O)=O)O)(O)=O
3	C(C(C(C)O)C(CC(C)O)O)=O
3	C(C(C=O)C(CC(C)O)O)(O)=O
3	C(C(C(C(CC(C)O)O)O)=O)=O
3	C(C(CC(CC(C)O)O)=O)=O
3	C(C(C(C(CC(C)O)O)O)=O)(O)=O
3	C(CC(CC(C)O)O)=O
3	C(C(CC(CC(C)O)O)=O)(O)=O
3	C(C(C(CC(O)=O)O)C(C)O)=O
3	C(C(C(C)O)C(C(CO)=O)O)=O
3	C(C(C(C)O)C(C=O)(CO)O)=O
3	C(C(C(C)O)C(C=O)(C)O)=O
3	C(C(C(C)O)C(C(C)=O)O)=O
3	C(C(CO)C(C)O)=O
3	C(C(C(C)O)C(C(O)=O)(CO)O)=O
3	C(C(C(C)O)C(C)O)=O
3	C(C(C=O)C(C)O)(O)=O
3	C(C(C(C)O)C(C(O)=O)(C)O)=O
3	C(C(CC(C)O)(CC=O)O)(O)=O
3	C(C(C(CO)C(C)O)=O)(O)=O
3	C(C(C(C(C)O)C(C)O)=O)(O)=O
3	C(C(C(C(O)=O)=O)C(C)O)(O)=O
3	C(C(C=O)C(CC(O)=O)O)(O)=O
3	C(CC(C(C(C=O)=O)O)O)(O)=O
3	C(CC(CC(C=O)=O)O)(O)=O
3	C(CC(C(C(C(O)=O)=O)O)O)(O)=O
3	C(CC(CC=O)O)(O)=O
3	C(CC(CC(C(O)=O)=O)O)(O)=O
3	C(C(C=O)C(C(CO)=O)O)(O)=O
3	C(C(C=O)C(C=O)(CO)O)(O)=O
3	C(C(C=O)C(C=O)(C)O)(O)=O
3	C(C(C=O)C(C(C)=O)O)(O)=O
3	C(C(C=O)CO)(O)=O
3	C(C(C=O)C(C(O)=O)(CO)O)(O)=O
3	C(C(C(O)=O)C(O)=O)=O
3	C(C(C=O)C(C(O)=O)(C)O)(O)=O
3	C(C(C)(CC(CC=O)O)O)(O)=O
3	C(C(CO)C(C(O)=O)(C)O)=O
3	C(CC(C(O)=O)(CC=O)O)(O)=O
3	C(C(C(C(O)=O)=O)CO)(O)=O
3	C(C(C(O)=O)C(C(O)=O)=O)(O)=O
