ID	Type
C(CO)(C1C(CC(C1(C)O)O)O)=O	1
C=CCC(C(C(C(O)=O)=O)C)O	1
C(C(C=O)(C)C(C)(CC)O)(O)=O	1
C(C(CC(C=C)(C)O)C(C)O)(O)=O	1
C(C(C(C(C=C)=O)(C)O)O)=O	1
C(C(C)(C(C=C)(C(C=O)=O)O)O)=O	1
C(C(C)=O)(C(C)(C(C(C)O)O)O)=O	1
C=CC(CC(C=CC=O)=O)O	1
C(CC(C=CCC(O)=O)O)(CC)=O	1
C1(C(C=O)C(C(O)=O)(CO1)O)=O	1
C(C(C=CCO)(C)O)(O)=O	1
C(C)(C1(CC(O)OC(C)C1O)O)=O	1
C1(C([C](C(O1)=O)O)C(C(O)O)O)=O	1
[C](C(O)=O)(C(C(C(CC)=O)=O)O)O	1
C(C(CCCC=O)C(CO)O)(O)=O	1
C(C)(C1(C(C)(C(CO1)O)O)O)=O	1
C(C(C(O)=O)C(C(C=C)=O)O)(O)=O	1
C(C(C(CO)(C(C=CC)O)O)O)=O	1
C1(C(CC(C(CO)O1)O)=O)=O	1
C(C(C(C)O)(C(C=O)(O)O)O)=O	1
C=CC(C(CC(CCO)O)=O)=O	1
C(C(C1C(C(OC1)=O)=O)O)(C)=O	1
C(C(C(O)=O)C=CCC(O)=O)=O	1
C(C(C)(C(C(C(O)=O)=O)O)O)=O	1
C(CO)(C([C](C(O)=O)O)C(C)O)=O	1
C(C(C)C(CCC=O)(CO)O)(O)=O	1
C(C(C=C)(CC(CC(C=O)=O)=O)O)=O	1
C(CO)(CC(C=C)O)=O	1
C(C(C(CO)=O)C(C(O)=O)=O)(O)=O	1
C(C(C)O)(C(C(C=O)=O)C(C)O)=O	1
C(C(C)C(CO)(CC=O)O)(O)=O	1
C1(CC(C(C1)=O)O)=O	1
CC1C2C(O)OC(CO)(C2O)O1	1
C(CC=C(C)CCO)(O)=O	1
C(C(C(C(C)=O)=O)=O)=O	1
C(CC(C=O)=CC(O)=O)(O)=O	1
C(C(C=O)C(C(C(O)=O)C)O)(O)=O	1
C=CC(C(C(C(O)=O)=O)C)O	1
C(C(C)=C[CH]C(O)=O)=O	1
C1(CCC(CO1)(C(C)CC=O)O)=O	1
C(C)(C(C(CO)C[CH]C(O)=O)O)=O	1
C(C(C)C(C(C=O)=O)C(CO)O)=O	1
C(C(C(CO)(CO)O)(CC=O)O)=O	1
C1(C([C](C(O1)=O)O)C(CO)O)=O	1
C(C(C)O)=C(C=O)C=C	1
C(CCC(C(O)=O)C=CCO)=O	1
C(C(CC(C)CC(C(O)=O)=O)=O)=O	1
C(C(CO)CC(C=O)(CC)O)(O)=O	1
C1(C(C(C(C(O1)=O)O)O)O)=O	1
C(CCC(C(O)=O)(C=CC)O)=O	1
C(C)(C[CH]C(O)=O)=C(C=O)CO	1
C1(CCC(C(CCC(O)=O)O1)O)=O	1
C(C(C)(CC(C=CC=O)=O)O)(O)=O	1
C=C(C=O)C(CCCC(C(C)=O)=O)O	1
C(CC(C(O)=O)=CC(O)=O)=O	1
C(C(C=C)(CCC(O)=O)CO)=O	1
C(C(CO)CCC=CCO)(O)=O	1
C(C(C(CC(C(CC)O)O)=O)O)=O	1
C1(C(CO)C(C(C(O)=O)O1)O)=O	1
C(CC=CC(C(C=O)O)O)(O)=O	1
C1(C(C(CC=O)O)C(C(O)O1)O)=O	1
C(C(C(C(C(CCO)=O)O)=O)O)=O	1
C(CO)=O	1
C(C(CO)=O)(CCC(CO)(C)O)=O	1
[CH](C(O)=O)C[C](C(O)=O)CC(C)O	1
C(C(C)(C(C(CO)O)O)O)=O	1
C([C](CC([C](C(O)=O)O)=O)O)(O)=O	1
C(CC(CC(C=O)O)O)(O)=O	1
C(C(C(C(CO)(C)O)=O)(C)O)(O)=O	1
CC(CC(C(C)CCO)O)O	1
C(CC(C)C(C)(CO)CC=O)(O)=O	1
C(C(CC(C=CC)O)C(C)O)=O	1
C1(C(CC(C)C(C(C)(O)O1)O)=O)=O	1
C(C1C(C(C(C1)O)=O)=O)(O)=O	1
C(C)(C(C=C)(CC(C(C=C)=O)=O)O)=O	1
C1(C(CC[CH]C(O1)=O)(CCC=O)O)=O	1
C=CC(C=O)=C(C(O)=O)C	1
C1(C(C(O)=O)CC(CC=O)O1)=O	1
C=CC1C(O)OCC1(C)O	1
C(C(C(C(C(C)=O)=O)O)O)(CC)=O	1
C(CC(C)CC(C(O)=O)O)(O)=O	1
C1(C(C(CO)O)(O)OCC1O)=O	1
C(C(CO)C(C(O)=O)(C)O)=O	1
C1(C(C=O)(C(C)CC(O)O1)O)=O	1
C(C(C(O)=O)C(C=O)C(C)O)(O)=O	1
C(C)(C(C1(C)C(CC(O)O1)O)O)=O	1
C(C(C=O)(CCCC(O)=O)O)(O)=O	1
C1(C(CO)(C(C(C=O)(O)O1)O)O)=O	1
C1(C(C(CC(CO)O1)=O)=O)=O	1
C1(C(C(C)C(O)O1)=O)=O	1
C(C(C(C)O)C(C)(C(CO)O)O)=O	1
C(C(C(C(CC(C=O)=C)=O)O)O)=O	1
C(C(C(C(C)O)=O)C(C)(CC)O)=O	1
C(C(CC(C)O)(CC(O)=O)O)(O)=O	1
C(C1CC(C(CC(O1)O)=O)=O)(C)=O	1
C(CO)(CO)=C(C=O)CO	1
C(CC(C=O)O)(C(C(C)O)O)=O	1
C1(C(CC(O)O1)(CC(O)=O)O)=O	1
C(C(C(C(C(C)=O)=O)CO)O)(C)=O	1
C(CC(C(CC(C(C=C)=O)O)=O)=O)=O	1
C(C(C(C(C(C(C)=O)O)O)O)O)=O	1
C(C(C(O)=O)C(C=O)C(O)=O)=O	1
C(C(C=O)(CC(C(CO)=O)=O)O)=O	1
C1(CC(C(CO)O1)C(C)CC=O)=O	1
C(CCC1(C=O)C(OC([CH]C1)=O)=O)=O	1
C1(CC(C)OC1([C](C(O)=O)O)O)=O	1
C(CCC(C(C(O)=O)C)=O)(C)=O	1
C(C(C=O)C(C(C(CO)=O)O)O)=O	1
C1C(CC(O)OC(C=1C)=O)O	1
C(C1(CCC=O)C(C)OC([CH]C1)=O)=O	1
C(C(C(C)=C[CH]C(O)=O)CO)=O	1
C1(CCC(CO)C(C(O)=O)(O)O1)=O	1
C(C1(C)CC(C(C(C1)=O)O)O)(O)=O	1
C1CC(CC(CO)(O)O1)O	1
C(C(C=C)C(C(C=O)(CO)O)O)=O	1
C(C(C=CC(O)=O)=O)=O	1
C1(C(C)C([CH]C(O)=O)C(O)O1)=O	1
C(C(C)=O)(C(C(CO)(CO)O)O)=O	1
C(CC(C)CC1C(OC(C=1)O)=O)=O	1
C1(C(CO)(C(C(O1)=O)O)O)=O	1
C(C(C=O)C(C=O)C(C)(CC)O)=O	1
C(C(C=O)(CC(C(C=O)=O)=O)O)=O	1
C(CCC1(C=C(C(O1)=O)C)O)(O)=O	1
C(CC(C)C(C)(C(C)CC=O)O)=O	1
[CH](C(O)=O)CCCC(C(C=O)=O)=O	1
C(CCC(C)=CC(CC=O)O)(O)=O	1
C(C(C(C=O)(CC=C)O)O)(CC)=O	1
CC(C1C(O)OCCC1O)O	1
C(C(CCC(C=CC=O)=O)CC=O)=O	1
C(C1C(OC(C=C1)=O)=O)=O	1
C(CCC(C=CC(C=O)=O)C(C)O)=O	1
CC1(C(C(C(CO1)O)O)O)O	1
C(C(C(C)O)(C(CO)(C)O)O)(O)=O	1
C(C(CO)(C(CC=O)O)CC=O)=O	1
C(C(C=O)C(CC=O)CC(O)=O)=O	1
C(C(CCC(O)=O)CO)=O	1
C(C)(CCCC(C(O)=O)CC=O)=O	1
C(CCC=O)(OC(C=O)O)=O	1
C(CO)(CC(C(O)=O)=CC=O)=O	1
C1(C(C)C(C(O1)=O)(C)O)=O	1
C(C(C)(CC(C=C)O)CC=O)=O	1
C(C(CC(C=O)CC=O)O)(O)=O	1
C=CC(C(CO)=O)=O	1
C(CC1(C(C)(O)OCC1(C)O)O)=O	1
C(CC(C(C)(CC=O)O)O)(O)=O	1
C(C)(C(C)(C(C=O)C(C=O)O)O)=O	1
C(C(C(C(C)=O)(C(C=C)O)O)O)=O	1
C(C(C)(C(CC=C)O)CC=O)=O	1
C(C(C=O)C(C(C)(CC=O)O)O)=O	1
C(C(CC(C=O)=O)O)(C(C=C)O)=O	1
C(C1COC(C1(CC=O)O)=O)(O)=O	1
C(CCC1(CC[CH]C(O1)=O)CC=O)=O	1
C(C(C(O)=O)C(C)C(CO)O)(O)=O	1
C1(C(CC(C(OC1CO)=O)=O)O)=O	1
C(CCC(C(C(CO)=O)=O)O)=O	1
C1(C2(C(C(CO2)O)C(C)O1)O)=O	1
C(C(C(C=O)O)O)(O)=O	1
C(CC([CH]C(O)=O)CO)(O)=O	1
C=CC(O[C](C(O)=O)C)=O	1
C(C(C=O)(C(C(C)CC=O)O)O)=O	1
C(C(C(C)(C(CCO)O)O)=O)=O	1
C(CCC(C=O)C(C(O)=O)O)=O	1
C(C(CCCO)CC(C=O)=O)(O)=O	1
C(C(CO)C(C)CC=CCO)=O	1
C(C(C=CC)C(C)O)(O)=O	1
C(C1(CCOC(C)(C1O)O)O)=O	1
C(C(C)(C1C(C)(CC(O)O1)O)O)=O	1
C(C(C=O)(C(C(CO)=O)C)O)=O	1
C(C(C(C=O)=C)C(C)O)=O	1
C(C1(C(CC(C1(CO)O)O)O)O)=O	1
C1(CC2(C(O1)=O)CC(C(O)O2)=O)=O	1
C(C(C(C(C)O)=O)C(C)O)(O)=O	1
C(C)(C(CCC=O)(CC(O)=O)O)=O	1
C(C(CO)C(C)C(C=C)C(C=O)=O)=O	1
C(C(C(C)O)C(C=CC=O)(C)O)=O	1
C(C(C)O)(CC(C(O)O)O)=O	1
C1(C(C)C(C)(CC(CO1)=O)O)=O	1
C(C(C(C(O)=O)=C)C(CO)O)(O)=O	1
C(C1(C(CC(O1)=O)=O)C)(O)=O	1
C(C(C(C(O)=O)=O)C(C=C)O)(O)=O	1
C(C1(C(C(C(O1)=O)O)=O)C)=O	1
C1(C(C(C(C(O)=O)=O)C(C)C1)O)=O	1
C(C(C(C=O)=O)C(C)O)=CC=O	1
C1(C(CC(CO)(C1CO)O)O)=O	1
C(C(C(C=O)=C)C(C(CC=O)=O)O)=O	1
C1(C(C(O)=O)C(CCO1)O)=O	1
C1(C2CC(C(C)(O2)O)(O)O1)=O	1
C(C(CO)(C(CO)O)C(C)O)(O)=O	1
C1(C(C(O)=O)C(C(O)=O)(CO1)O)=O	1
C(CC(C)C(C)C(C=O)O)(O)=O	1
C(C(C(C=O)CC(C)=O)O)=O	1
C(C(C(C(C=O)=O)=O)CO)=O	1
C(C1C(C(OC(C1=C)=O)=O)=O)(O)=O	1
C(C(C(C(C=C)C(C)O)O)O)(O)=O	1
C(CC(C=O)(C)C(C(O)=O)O)=O	1
C(C(CO)(CC[CH]C(O)=O)O)=O	1
[C](C(O)=O)=O	1
C1(C(CO)C(C(C=O)(C)O1)O)=O	1
C(C)(C(C(CC=C)O)CC=O)=O	1
CC(CO)(C(C)O)O	1
C(CC(C=O)=O)=CC(C(C)=O)=O	1
C1(C(C(C)=O)(CO)C(C(O)O1)O)=O	1
C(C1(C)CC(CC(O1)O)O)=O	1
C(C(CO)(C(C(CC)O)O)O)=O	1
C(C([CH]C(O)=O)C(C(C)=O)(C)O)=O	1
C(C(C=C)(C(C(C=O)=O)O)O)(O)=O	1
C(C1(CC(C(C1O)=O)O)O)(O)=O	1
C(C(C(CO)O)C(CCO)O)(O)=O	1
C1(C(CC(CO)(O)O1)O)=O	1
C(C(CO)(O)OC(C=C)=O)=O	1
C1(CC(C(O)=O)(C(C=O)CO1)O)=O	1
C1CC(C(C(CO)(O)O1)O)O	1
C(C)(C(C(C(C(O)=O)=O)=O)O)=O	1
C(CO)(OC(C=O)=O)=O	1
C(C)(C(C)CC(C(O)=O)CC=O)=O	1
C(CC(C=CCC(C)CC=O)O)=O	1
C(C1(COC(CC1)=O)O)(O)=O	1
C1(CC(CC(C(O)O1)=O)=O)=O	1
C(C=O)(C(C)(CC(C=O)=O)O)=O	1
C(C1C(C(OCCC1O)=O)=O)(O)=O	1
C(C(C=C)C(CCC=O)(CO)O)=O	1
C=C(C(O)=O)C(CC(C)O)O	1
C1(C(CC(C)O1)=CC(CO)=O)=O	1
C(C(CC([CH]C(O)=O)O)CC=O)=O	1
C1(C(C(C)O)C(C(CO)(O)O1)O)=O	1
C1(C(C(C=O)C(C=O)(C)O1)O)=O	1
C(C(C(C)O)CC(C(C=O)O)O)=O	1
C1(C(C(C(C)(CC(C1)O)O)O)O)=O	1
C1(C(C(O)=O)C(C(O)O1)O)=O	1
C(CC(CO)CC=O)(O)=O	1
C(C(CO)C(C(O)=O)(C(C)O)O)=O	1
C(CC(C(C)O)C(C=CC)O)(O)=O	1
C=C(C(O)=O)C([C](C(O)=O)O)CO	1
C1(CC(C(O)=O)(O)OCC1O)=O	1
C(CC(C=O)(CC(C(O)=O)=C)O)=O	1
C(CC(C=O)(CC=O)O)=O	1
C(C(C)O)(OC(C(CO)=O)=O)=O	1
C(CC(C)C(C)(CO)O)(O)=O	1
C(CCCC(C(C(C=O)C=C)O)=O)=O	1
C(C(C=O)C(CC(C=O)O)O)=O	1
C=CC(C(C(O)=O)=O)=CC=O	1
C(C1C(C(CC(C1O)=O)O)C)=O	1
C(CC(CC(C(C)O)O)=O)(O)=O	1
C(CCC1C(C(OC1)=O)=O)(O)=O	1
C(C(C=C)C(C(C=C)CO)O)=O	1
C(C(C(C)O)(CC(CO)O)O)(O)=O	1
C(CC(C(C)C(C=O)CO)=O)=O	1
[CH](C(O)=O)C(C(C)O)C(CCO)O	1
C(C(CO)CC(C)(CCO)O)(O)=O	1
C(C1(CC(C=O)(O)OC(C)C1)O)=O	1
C(C(C)(C1(C(OCC1=O)=O)O)O)=O	1
C(C(C(O)=O)C(CO)=C)(O)=O	1
C(C)(C(C(C)O)(C(C(C)O)O)O)=O	1
C(C1CC(C(O)=O)(O)OCC1)(O)=O	1
C(C(C(C(C)O)O)O)=CC=O	1
C(C(CCO)(C(C=O)O)O)(O)=O	1
C(C(C(C(O)=O)=C)C(C=CC)O)=O	1
C1(CCC(C(C[CH]C(O)=O)O)O1)=O	1
C(CCC(C(O)=O)C(C=O)O)(O)=O	1
C(CCC1CC(C(O1)=O)=O)=O	1
C(C(C=O)C(CC(C(C)=O)O)O)=O	1
C(CCC(C(C)=O)C(C(O)=O)=O)=O	1
C(C(C)(C1CCC(O1)=O)O)(O)=O	1
C=C(C(O)=O)C(C)(C[CH]C(O)=O)O	1
C(C(CO)C(C)(CC=O)O)(O)=O	1
C(C(C=CC=O)C(C(O)=O)=C)=O	1
C(C(C(CO)CO)O)=O	1
C(CC[C]1C(OC(CC1C)O)=O)=O	1
C(C(C)(CC(CC=O)O)O)=O	1
C(C(C)(C(C=C)O)O)(C(CO)O)=O	1
C(CCCO)=O	1
C(CC(C)C(C(C(O)=O)=O)CO)=O	1
C(C(C(C(CC(C)=O)=O)O)(O)O)=O	1
C(C(CO)CC(CCO)O)(O)=O	1
C(C(C(C=O)(CC=O)O)O)(CC)=O	1
C(C(CO)(CO)C(CO)(CO)O)=O	1
