Source	Target	R or P	Reaction Name	Mass
3_0	C(C(C)=O)(O)=O	-1	Aldol Condensation	88.016043988
3_0	C(C(C)=O)(O)=O	-1	Aldol Condensation	88.016043988
3_0	C(C(C)(CC(C(O)=O)=O)O)(O)=O	1	Aldol Condensation	176.032087976
5_0	C(C(C)=O)(O)=O	-1	Hydration of C(=O)C	88.016043988
5_0	O	-1	Hydration of C(=O)C	18.010564684
5_0	C(C(CO)O)(O)=O	1	Hydration of C(=O)C	106.02660867200001
8_0	C(C(C)=O)(O)=O	-1	Alpha-Keto Acid Decarboxylation	88.016043988
8_0	C(C)=O	1	Alpha-Keto Acid Decarboxylation	44.026214748
8_0	C(=O)=O	1	Alpha-Keto Acid Decarboxylation	43.98982924
10_0	C(C)=O	-1	Aldol Condensation	44.026214748
10_0	C(C)=O	-1	Aldol Condensation	44.026214748
10_0	C(CC(C)O)=O	1	Aldol Condensation	88.052429496
12_0	C(C(C)=O)(O)=O	-1	Aldol Condensation	88.016043988
12_0	C(C)=O	-1	Aldol Condensation	44.026214748
12_0	C(C(CC(C)O)=O)(O)=O	1	Aldol Condensation	132.042258736
14_0	C(C)=O	-1	Aldol Condensation	44.026214748
14_0	C(=O)=O	-1	Aldol Condensation	43.98982924
14_0	C(CC(O)=O)=O	1	Aldol Condensation	88.016043988
16_0	C(C(C)=O)(O)=O	-1	Aldol Condensation	88.016043988
16_0	C(C)=O	-1	Aldol Condensation	44.026214748
16_0	C(C(C)(CC=O)O)(O)=O	1	Aldol Condensation	132.042258736
18_0	C(C(C)=O)(O)=O	-1	Aldol Condensation	88.016043988
18_0	C(=O)=O	-1	Aldol Condensation	43.98982924
18_0	C(CC(C(O)=O)=O)(O)=O	1	Aldol Condensation	132.005873228
20_0	C(C(C)(CC(C(O)=O)=O)O)(O)=O	-1	Benzilic Acid Rearrangement (inverse)	176.032087976
20_0	O	1	Benzilic Acid Rearrangement (inverse)	18.010564684
20_0	C(C(O)=O)(CC(C(C)=O)=O)=O	1	Benzilic Acid Rearrangement (inverse)	158.021523292
22_0	C(C(CO)O)(O)=O	-1	Benzilic Acid Rearrangement (inverse)	106.02660867200001
22_0	O	1	Benzilic Acid Rearrangement (inverse)	18.010564684
22_0	C(C(CO)=O)=O	1	Benzilic Acid Rearrangement (inverse)	88.016043988
23_0	C(C(C)(CC(C(O)=O)=O)O)(O)=O	-1	Retro Aldol	176.032087976
23_0	C(C(C)=O)(O)=O	1	Retro Aldol	88.016043988
23_0	C(C(C)=O)(O)=O	1	Retro Aldol	88.016043988
25_0	C(C(CO)O)(O)=O	-1	Knoevenagel C	106.02660867200001
25_0	C(C)=O	-1	Knoevenagel C	44.026214748
25_0	C(C(CO)(C(C)O)O)(O)=O	1	Knoevenagel C	150.05282342
25_1	C(C(CO)O)(O)=O	-1	Knoevenagel H	106.02660867200001
25_1	C(C)=O	-1	Knoevenagel H	44.026214748
25_1	C(C(CO)(C(C)O)O)(O)=O	1	Knoevenagel H	150.05282342
27_0	C(C(CO)O)(O)=O	-1	Knoevenagel C	106.02660867200001
27_0	C(=O)=O	-1	Knoevenagel C	43.98982924
27_0	C(C(C(O)=O)(CO)O)(O)=O	1	Knoevenagel C	150.016437912
27_1	C(C(CO)O)(O)=O	-1	Knoevenagel H	106.02660867200001
27_1	C(=O)=O	-1	Knoevenagel H	43.98982924
27_1	C(C(C(O)=O)(CO)O)(O)=O	1	Knoevenagel H	150.016437912
29_0	C(C(C)=O)(O)=O	-1	Knoevenagel C	88.016043988
29_0	C(C(CO)O)(O)=O	-1	Knoevenagel C	106.02660867200001
29_0	C(C(CO)(C(C(O)=O)(C)O)O)(O)=O	1	Knoevenagel C	194.04265266000002
29_1	C(C(C)=O)(O)=O	-1	Knoevenagel H	88.016043988
29_1	C(C(CO)O)(O)=O	-1	Knoevenagel H	106.02660867200001
29_1	C(C(CO)(C(C(O)=O)(C)O)O)(O)=O	1	Knoevenagel H	194.04265266000002
32_0	C(C(CO)O)(O)=O	-1	Knoevenagel H (inv)	106.02660867200001
32_0	C=O	1	Knoevenagel H (inv)	30.010564684
32_0	C(CO)(O)=O	1	Knoevenagel H (inv)	76.016043988
33_0	C(C(CO)O)(O)=O	-1	Elimination + enol to keto	106.02660867200001
33_0	O	1	Elimination + enol to keto	18.010564684
33_0	C(CC(O)=O)=O	1	Elimination + enol to keto	88.016043988
34_0	C(C(CO)O)(O)=O	-1	Elimination + enol to keto	106.02660867200001
34_0	C(C(C)=O)(O)=O	1	Elimination + enol to keto	88.016043988
34_0	O	1	Elimination + enol to keto	18.010564684
36_0	C(C(C)(CC(C(O)=O)=O)O)(O)=O	-1	Elimination2	176.032087976
36_0	O	1	Elimination2	18.010564684
36_0	C(C(C)=CC(C(O)=O)=O)(O)=O	1	Elimination2	158.021523292
38_0	C(C(C)(CC(C(O)=O)=O)O)(O)=O	-1	Elimination2	176.032087976
38_0	O	1	Elimination2	18.010564684
38_0	C=C(C(O)=O)CC(C(O)=O)=O	1	Elimination2	158.021523292
40_0	O	-1	Hydration of C(=O)C	18.010564684
40_0	C(C(C)(CC(C(O)=O)=O)O)(O)=O	-1	Hydration of C(=O)C	176.032087976
40_0	C(C(C)(C(C(C(O)=O)O)O)O)(O)=O	1	Hydration of C(=O)C	194.04265266000002
42_0	O	-1	Hydration of C(=O)C	18.010564684
42_0	C(C)=O	-1	Hydration of C(=O)C	44.026214748
42_0	C(CO)O	1	Hydration of C(=O)C	62.036779432
44_0	C(C(C)(CC(C(O)=O)=O)O)(O)=O	-1	Hemiacetal Formation for 5 membered rings	176.032087976
44_0	C1(C(C)(CC(C(O)=O)(O)O1)O)=O	1	Hemiacetal Formation for 5 membered rings	176.032087976
45_0	C(C(C)(CC(C(O)=O)=O)O)(O)=O	-1	Alpha-Keto Acid Decarboxylation	176.032087976
45_0	C(=O)=O	1	Alpha-Keto Acid Decarboxylation	43.98982924
45_0	C(C(C)(CC=O)O)(O)=O	1	Alpha-Keto Acid Decarboxylation	132.042258736
47_0	C(C(C)(CC(C(O)=O)=O)O)(O)=O	-1	Ring Closure 5 membered O, O	176.032087976
47_0	O	1	Ring Closure 5 membered O, O	18.010564684
47_0	C(C1(C)CC(C(O1)=O)=O)(O)=O	1	Ring Closure 5 membered O, O	158.021523292
49_0	C(C(C)(CC(C(O)=O)=O)O)(O)=O	-1	Ring Closure 6 membered O, O	176.032087976
49_0	O	1	Ring Closure 6 membered O, O	18.010564684
49_0	C1(C(C)(CC(C(O1)=O)=O)O)=O	1	Ring Closure 6 membered O, O	158.021523292
51_0	C(C(O)=O)(CC(C(C)=O)=O)=O	-1	Aldol Condensation	158.021523292
51_0	C(C1(CC(C(C1)=O)=O)O)(O)=O	1	Aldol Condensation	158.021523292
53_0	C(CC(C)O)=O	-1	Aldol Condensation	88.052429496
53_0	C(CC(C)O)=O	-1	Aldol Condensation	88.052429496
53_0	C(C(C(C)O)C(CC(C)O)O)=O	1	Aldol Condensation	176.104858992
53_1	C(CC(C)O)=O	-1	Knoevenagel C	88.052429496
53_1	C(CC(C)O)=O	-1	Knoevenagel C	88.052429496
53_1	C(C(C(C)O)C(CC(C)O)O)=O	1	Knoevenagel C	176.104858992
55_0	C(CC(C)O)=O	-1	Aldol Condensation	88.052429496
55_0	C(CC(O)=O)=O	-1	Aldol Condensation	88.016043988
55_0	C(C(C=O)C(CC(C)O)O)(O)=O	1	Aldol Condensation	176.068473484
55_1	C(CC(C)O)=O	-1	Knoevenagel C	88.052429496
55_1	C(CC(O)=O)=O	-1	Knoevenagel C	88.016043988
55_1	C(C(C=O)C(CC(C)O)O)(O)=O	1	Knoevenagel C	176.068473484
57_0	C(CC(C)O)=O	-1	Aldol Condensation	88.052429496
57_0	C(C(CO)=O)=O	-1	Aldol Condensation	88.016043988
57_0	C(C(C(C(CC(C)O)O)O)=O)=O	1	Aldol Condensation	176.068473484
57_1	C(CC(C)O)=O	-1	Knoevenagel H	88.052429496
57_1	C(C(CO)=O)=O	-1	Knoevenagel H	88.016043988
57_1	C(C(C(C(CC(C)O)O)O)=O)=O	1	Knoevenagel H	176.068473484
59_0	C(C)=O	-1	Aldol Condensation	44.026214748
59_0	C(CC(C)O)=O	-1	Aldol Condensation	88.052429496
59_0	C(CC(CC(C)O)O)=O	1	Aldol Condensation	132.078644244
61_0	C(C(C)=O)(O)=O	-1	Aldol Condensation	88.016043988
61_0	C(CC(C)O)=O	-1	Aldol Condensation	88.052429496
61_0	C(C(CC(CC(C)O)O)=O)(O)=O	1	Aldol Condensation	176.068473484
63_0	C(CC(C)O)=O	-1	Aldol Condensation	88.052429496
63_0	C(CC(O)=O)=O	-1	Aldol Condensation	88.016043988
63_0	C(C(C(CC(O)=O)O)C(C)O)=O	1	Aldol Condensation	176.068473484
63_1	C(CC(C)O)=O	-1	Knoevenagel C	88.052429496
63_1	C(CC(O)=O)=O	-1	Knoevenagel C	88.016043988
63_1	C(C(C(CC(O)=O)O)C(C)O)=O	1	Knoevenagel C	176.068473484
65_0	C(CC(C)O)=O	-1	Aldol Condensation	88.052429496
65_0	C(C(CO)=O)=O	-1	Aldol Condensation	88.016043988
