ID	Type
C(C(CC(CO)=O)CC=CCO)=O	1
C(C(C1C(C(CC(O1)O)O)=O)O)=O	1
C(CC(CC=O)=O)=O	1
C(C(C=O)C(C(C)=O)O)(O)=O	1
C(C(C(C(CO)C(C)O)O)=O)=O	1
C(C(C(CO)C(C)C(C)O)=O)(O)=O	1
C(C(CO)=C(C=O)CO)=O	1
C(CO)(C(C)C(CC=C)O)=O	1
C1(C(C(C(C)CC(O)O1)O)=O)=O	1
C1(C(C)(CC(CC=O)O1)O)=O	1
C(C(C(CO)C(C)CCO)=O)(O)=O	1
C1(C(C=O)C(C(CO1)O)=O)=O	1
C(C(CO)(CC=O)CC=O)=O	1
C=CC(OC(C(CO)=O)=O)=O	1
C=CCC(C(CO)(CO)O)O	1
CC(C(C)O)O	1
C(C(C(C(C)O)O)C(C=O)O)=O	1
C1(C(O)OCCC(C1O)O)=O	1
C(C)(C(C)(C(C(C(O)=O)=C)O)O)=O	1
C(C)(C(C(C=CC)O)O)=O	1
C1(CC(C(OC1(C=C)O)=O)=O)=O	1
C(C(C)C(CO)CC(C=O)=O)(O)=O	1
C(C(C=CC=C)CO)(O)=O	1
C	1
C(C(C=C)C(C(O)=O)(CC=C)O)=O	1
C(C(CCO)(C(CO)CO)O)(O)=O	1
C(C(C)(CO)CC=O)(O)=O	1
C(C(C(C1C(C(C(O1)=O)=O)=O)O)=O)=O	1
C(C(C(C(C)O)=O)(C(CO)O)O)=O	1
C1(C(C=O)C(C(O)=O)(CO1)O)=O	1
C(CC(C(CC(C(O)=O)=O)O)=O)=O	1
C(CC(C(C(CO)=O)O)O)=O	1
C(CCC(CCC=O)O)=O	1
C(C(CO)(CO)CC(C(O)=O)=O)=O	1
C(CC(C(O)=O)=O)=C(C(O)=O)C	1
C(CC(C)O)(CC(C=O)=O)=O	1
C(C(CC(C(CO)CO)O)=O)(O)=O	1
C(C)=CC=C(C=O)CO	1
C(C(C=CC(O)=O)(C)O)(O)=O	1
C(C(C(O)=O)=CC=O)=O	1
C(CO)(C(CO)(C(C)O)O)=O	1
C1(C(C(C(C(C)=O)=O)(CO1)O)O)=O	1
C(CCC(C(O)=O)O)=O	1
C(C(C(C)CCO)C(C=C)O)=O	1
C(C(C=O)C(C)CC(CO)=O)(O)=O	1
C(C(C(C(CO)=O)=O)CCO)(O)=O	1
C(CCC(C(O)=O)C=CC=O)=O	1
C(C(C=O)(CO)C(C=O)CO)(O)=O	1
C(C(C=O)(C(C(O)=O)O)O)(O)=O	1
C(C(C=O)(C(C=O)(CO)CO)O)=O	1
C(CCCC(CC=CC=O)O)(O)=O	1
C(C(C(CC(CO)=O)O)O)=O	1
C(C1(C)C(C=O)C(C=CC1)O)(O)=O	1
C(CC1(C(C)(C(C(O1)=O)O)O)O)=O	1
C=CCC(CC(C=O)=O)O	1
C(C(C)(C(CCC(O)=O)O)O)(O)=O	1
C(C(CO)CC(C(C=O)O)O)(O)=O	1
C(CC)(C(C(O)=O)(C(C=C)O)O)=O	1
C(C(C=C)C=C)=O	1
C(C)(C(C(C(CO)O)O)O)=O	1
C1(C(CO)(C(CO)(CO1)O)O)=O	1
C(CC)(OC(C(C=CC=O)=O)=O)=O	1
C1(C(C(O)=O)(C(C(O)O1)=O)O)=O	1
C(C1C(C(OCCC1O)=O)=O)(O)=O	1
C(C1C(C(C(O1)=O)=O)C(C(O)=O)=C)=O	1
C(C1(CCOC(C1O)=O)O)(O)=O	1
C(CC(C)O)=C(C(O)=O)C(O)=O	1
C(C(C(CC(C=O)=O)=O)O)(O)=O	1
C(C(CO)C(C(C)O)O)(O)=O	1
C(CCC(C)(CC(C=O)O)O)(O)=O	1
C1(C(CC(CO)(C(O)O1)O)=O)=O	1
C(C(CO)CCC(C(CO)=O)=O)=C	1
C(C(C=C)(C(C=C)O)C(C=O)O)=O	1
C(C(C(C=O)=O)C(C)CC=O)=O	1
C(C1(COC(C(C1)=O)=O)C)(O)=O	1
C(CO)(C(C)C(C)O)=O	1
C(C(C(C(C)O)O)(C(C=O)O)O)=O	1
C(C(C=O)(C(C(C(O)=O)=O)O)O)=O	1
C(C1(C(O)OCCC1O)CO)(O)=O	1
C(C(C=C)C(CO)O)=O	1
C(C1C(C(OCC(C1O)=O)O)O)=O	1
C1(C(CC(O)OCC1O)O)=O	1
C1(C(O)OC(CC=C)C1(CO)O)=O	1
C(O)=O	1
C(C(C(C=CC(O)=O)O)O)(O)=O	1
C(C=C(C=O)CO)(C(CO)O)=O	1
C(C(C=C(CO)C(C)O)O)(O)=O	1
C(CC(C)C(C)(CCO)CC=O)=O	1
C=C(C=O)C(C(CO)C(C)O)O	1
C(C(C=O)=O)=O	1
C(CCC(CC(C(O)=O)=C)O)=O	1
C(C(C(C)(C(C)O)O)=O)=O	1
C(C(C)(CC=O)O)=O	1
C(C1CC(C(C=1)=O)=O)(O)=O	1
C(C(C(C)O)=C(C(O)=O)C)(O)=O	1
C(CCCC(C(C=O)=O)=O)(O)=O	1
C(C(CO)C(C)C(C=C)(CO)O)=O	1
C(C(C(CCCC=O)=O)CO)(O)=O	1
C(C(C(C=C)O)O)(CC)=O	1
C(C(C)(C(C(C(C=O)=O)=O)O)O)=O	1
C(C(C(C)O)C(C(CO)=O)O)(O)=O	1
C(C(C(C=O)=O)C(C(CC)O)O)=O	1
C(C(C(C(C(C)=O)=O)O)O)(O)=O	1
C(CC(C(CC(CO)O)=O)=O)=O	1
C1(C(C(C)O)C(CC(O)O1)O)=O	1
C(C(C(C(C=O)=O)C(C)O)=O)=O	1
C(C(C(CO)=O)(C)O)(O)=O	1
C(CO)(CO)=C(C=O)CO	1
C(C(C(CCO)O)C(C=O)O)=O	1
C(C(C=C)C(C(C(CC)=O)=O)O)=O	1
C(C(C=O)(C(CC(C)O)O)O)(O)=O	1
C(C(C1CC(C(O1)=O)=O)O)=O	1
C(C1COC(CO)(C1O)O)=O	1
C(C(C(O)=O)(C=C)CCC=O)=O	1
C1(C(CCO1)(CC(CCO)=O)O)=O	1
C(C(C=C)(CO)C(C)(C(C)O)O)=O	1
C(CCC(O)=O)=O	1
C(C(CO)(C(CO)(CC)O)O)(O)=O	1
C(C(CO)(C(C(CO)O)O)O)=O	1
C1(C(C(O)=O)C(C=O)(CO1)O)=O	1
C(CC(C(C(C(CC)=O)O)O)O)=O	1
C(C(C=O)(C=CC=C)CO)(O)=O	1
C(C(C(CCC(C(O)=O)=O)O)O)=O	1
C1(C(CO)C(C(C(O1)=O)=O)CO)=O	1
C(C(C=O)CC(C=O)CO)(O)=O	1
C(C(C(C)=O)C(CO)O)(O)=O	1
C(C(C(CC(C(C)=O)=O)O)O)=O	1
C(CC1(C(OC(C1)=O)=O)C)=O	1
C(C1(C(C(OC1)=O)=O)C(C)O)(O)=O	1
C(C(C(C(C(C)=O)=O)O)=O)=O	1
C(C(C1C(O)OC(C)CC1O)O)=O	1
C(C)(C(C)O)=O	1
C(CC(CO)C(C(O)=O)O)(O)=O	1
C(C(CO)C(C(CO)=CC=O)O)=O	1
C(C(C=C)(C(CO)O)C(C)O)=O	1
C(C(CCC=O)C(CC(C)O)O)=O	1
C(CC(C)C(CC(C(O)=O)=C)O)=O	1
C(C(C(C(C)=O)=O)(C)O)(O)=O	1
C=CC(C(C=O)=O)(CO)O	1
C(C(C=C)C(C(O)=O)=CC=O)=O	1
C1(C(C(C(C(CO)O)O1)=O)=O)=O	1
C=CCC(CCC(C(O)=O)=O)O	1
C(C(C(C(C=O)=O)(CC)O)O)=O	1
C(CC(C(C(C(C=C)O)O)=O)O)=O	1
C(CC(CC(C(C=O)=O)=O)O)(O)=O	1
C1(C2(CO)C(C(C(O2)=O)(C)O1)O)=O	1
C(C(CC)(C(C(C(O)=O)=O)O)O)=O	1
C(CCC(C=O)(C(C(C)O)=O)O)=O	1
C(C(C=C)C(C=O)CC(CO)=O)=O	1
C(C(C)(CC(CCO)O)O)(O)=O	1
C(C(CO)C(C(C)CC(O)=O)O)=O	1
C(C(C)OC(CO)=O)=O	1
C(C(C(C(CC(C)O)=O)=O)O)(O)=O	1
C(C(C(C(CC=C)O)=O)O)(O)=O	1
C(C1(COC(C1O)=O)O)=O	1
C(CCC(C(C=O)=O)(C)O)(O)=O	1
C(C(C(CC=C)O)C(C=C)O)=O	1
C(C(C(C(CO)=O)=O)O)(O)=O	1
C(CC(C(O)=O)CC(C=O)=O)=O	1
C(C(C=O)(C(CO)(CC)O)O)=O	1
C(C(CO)C(C=O)CO)(O)=O	1
C(C(C1CC(C)CC(O)O1)O)(O)=O	1
C(CO)(C(C)C(C(C(O)=O)=O)O)=O	1
CC(C(C(CCO)O)C(C)O)O	1
C(C(C=O)(C=CCO)CO)(O)=O	1
C(C(C1COC(C1O)O)=O)(O)=O	1
C(CC(C(O)=O)(C)CC(C=O)=O)=O	1
CC(CCO)O	1
C(C(CO)C(C=O)(C)O)=O	1
C1(C(CC(C)C(CO)C(O)O1)=O)=O	1
C1(C(C)C(C(O)O1)C(C(O)=O)O)=O	1
C(CCCC(C(C=O)=O)O)(O)=O	1
C(C(C(C)=O)C(CO)(CO)O)(O)=O	1
C(C(C=O)C(C)C(CCO)O)(O)=O	1
C(C(C(CC(CCO)O)=O)=O)=O	1
C1(C(C)(C(C=O)(C(O)O1)O)O)=O	1
C(CCCC1CC(CC(O)O1)O)=O	1
C(C(C(CC(C(O)=O)=O)=O)CO)=O	1
C1(C(C(CC1O)O)(C(C=O)O)O)=O	1
C(C(C(C(O)=O)=O)=O)=O	1
C(C(C(C(CO)(C)O)=O)O)=O	1
C(C1C(C)OC(C(C1O)O)O)=O	1
C(C(CO)O)(OC(C(O)=O)C)=O	1
C(CC(C)(C(C(CC)=O)O)O)(O)=O	1
C(CC1(C(O)OC(C)C1O)O)=O	1
C(C1C(CC(OC1C)=O)O)(O)=O	1
C(CC(C)CC(CO)=O)(O)=O	1
C(C1C(CC(C1O)=O)=O)(O)=O	1
C(C(CO)C(C)(CC(O)=O)O)(O)=O	1
C(C(CC(C)(CC=O)O)C(C)O)=O	1
C(C(C)C(C(C(C=O)O)O)O)(O)=O	1
CC(CC(CCO)O)O	1
C(CO)(C(C(C(O)=O)=O)O)=O	1
C(CC(C)C(C)C(C=O)O)=O	1
C(C1(C(CCC(C)O1)=O)O)=O	1
C(C(CO)C(C)CC(C(C)O)=O)=O	1
C(C(C(C(C(CO)O)O)O)=O)(O)=O	1
C(C(CO)C(CO)O)=O	1
C(C(C(CCC(O)=O)=O)O)(O)=O	1
C(C(CCO)(C(C=O)O)O)(O)=O	1
C(C(C(C=O)=CC=O)(CO)O)=O	1
C(C(C(CC(C)O)C(C)O)=O)(O)=O	1
C1(C2(C(C(C)(OC2)O1)=O)O)=O	1
C(CCCCO)=O	1
C(C(C)(CC(C=O)=O)O)=O	1
C(C(CC(C(C(C)O)=O)=O)=O)(O)=O	1
C(C(C=O)(C(CC(O)=O)=O)O)=O	1
C(C(C(C(C=O)=O)O)O)(C(C)O)=O	1
C(CC(CCCO)O)(CCO)=O	1
C1(C(CO)C(CO1)O)=O	1
C(C1(C=O)C(C(C(O1)O)O)O)(O)=O	1
C(C(CC=C)(C(C=O)O)O)(O)=O	1
C(CO)(C(C)CC=O)=O	1
C(C(C=CC)(C(C=O)O)O)(O)=O	1
C1(C(C)(C(CO)CO1)O)=O	1
C(C(C(C(C(C=O)=O)O)O)O)=O	1
C=CC(C1(CC(C(O1)=O)=O)O)=O	1
C(CC(C=O)C(C=O)CO)=O	1
C(CC(C)O)=C(C=O)C(C)O	1
C(C)(C(C(C(CC(C)O)O)O)O)=O	1
C(C(C(C(C(C=CC)O)O)=O)O)=O	1
C(CC(C)OC(C=O)(CO)O)=O	1
C(C1(C(O)=O)C(C)CC(O1)O)(O)=O	1
C(C(C(CO)O)(C(C(O)=O)O)O)=O	1
C(C(C(O)=O)O)(OC(C(C)O)=O)=O	1
C(C(C(O)=O)CCC(O)=O)=O	1
C(C(C)(CC(C(C(O)=O)=C)=O)O)=O	1
C(C)=C1C(C(OC1C)=O)=O	1
C(C(C=O)(C(C(O)=O)=C)CO)(O)=O	1
C(C(CO)C(C(CC=O)O)O)(O)=O	1
C(CO)(C(C)O)=CC(CO)=O	1
C(CC(C(C(O)=O)=O)(CO)O)(O)=O	1
C(CCC(CO)CO)(O)=O	1
C(CCC(CC=O)O)=O	1
C1(C(CO)C(CO1)(CO)O)=O	1
C(C(C(C=O)O)O)(O)=O	1
