Source	Target	Reaction Name	Mass

C(C(C)=O)(O)=O	3_0	Aldol Condensation	88.016043988
C(C(C)=O)(O)=O	3_0	Aldol Condensation	88.016043988
3_0	C(C(C)(CC(C(O)=O)=O)O)(O)=O	Aldol Condensation	176.032087976
C(C(C)=O)(O)=O	5_0	Hydration of C(=O)C	88.016043988
O	5_0	Hydration of C(=O)C	18.010564684
5_0	C(C(CO)O)(O)=O	Hydration of C(=O)C	106.02660867200001
C(C(C)=O)(O)=O	8_0	Alpha-Keto Acid Decarboxylation	88.016043988
8_0	C(C)=O	Alpha-Keto Acid Decarboxylation	44.026214748
8_0	C(=O)=O	Alpha-Keto Acid Decarboxylation	43.98982924
C(C)=O	10_0	Aldol Condensation	44.026214748
C(C)=O	10_0	Aldol Condensation	44.026214748
10_0	C(CC(C)O)=O	Aldol Condensation	88.052429496
C(C(C)=O)(O)=O	12_0	Aldol Condensation	88.016043988
C(C)=O	12_0	Aldol Condensation	44.026214748
12_0	C(C(CC(C)O)=O)(O)=O	Aldol Condensation	132.042258736
C(C)=O	14_0	Aldol Condensation	44.026214748
C(=O)=O	14_0	Aldol Condensation	43.98982924
14_0	C(CC(O)=O)=O	Aldol Condensation	88.016043988
C(C(C)=O)(O)=O	16_0	Aldol Condensation	88.016043988
C(C)=O	16_0	Aldol Condensation	44.026214748
16_0	C(C(C)(CC=O)O)(O)=O	Aldol Condensation	132.042258736
C(C(C)=O)(O)=O	18_0	Aldol Condensation	88.016043988
C(=O)=O	18_0	Aldol Condensation	43.98982924
18_0	C(CC(C(O)=O)=O)(O)=O	Aldol Condensation	132.005873228
C(C(C)(CC(C(O)=O)=O)O)(O)=O	20_0	Benzilic Acid Rearrangement (inverse)	176.032087976
20_0	O	Benzilic Acid Rearrangement (inverse)	18.010564684
20_0	C(C(O)=O)(CC(C(C)=O)=O)=O	Benzilic Acid Rearrangement (inverse)	158.021523292
C(C(CO)O)(O)=O	22_0	Benzilic Acid Rearrangement (inverse)	106.02660867200001
22_0	O	Benzilic Acid Rearrangement (inverse)	18.010564684
22_0	C(C(CO)=O)=O	Benzilic Acid Rearrangement (inverse)	88.016043988
C(C(C)(CC(C(O)=O)=O)O)(O)=O	23_0	Retro Aldol	176.032087976
23_0	C(C(C)=O)(O)=O	Retro Aldol	88.016043988
23_0	C(C(C)=O)(O)=O	Retro Aldol	88.016043988
C(C(CO)O)(O)=O	25_0	Knoevenagel C	106.02660867200001
C(C)=O	25_0	Knoevenagel C	44.026214748
25_0	C(C(CO)(C(C)O)O)(O)=O	Knoevenagel C	150.05282342
C(C(CO)O)(O)=O	25_1	Knoevenagel H	106.02660867200001
C(C)=O	25_1	Knoevenagel H	44.026214748
25_1	C(C(CO)(C(C)O)O)(O)=O	Knoevenagel H	150.05282342
C(C(CO)O)(O)=O	27_0	Knoevenagel C	106.02660867200001
C(=O)=O	27_0	Knoevenagel C	43.98982924
27_0	C(C(C(O)=O)(CO)O)(O)=O	Knoevenagel C	150.016437912
C(C(CO)O)(O)=O	27_1	Knoevenagel H	106.02660867200001
C(=O)=O	27_1	Knoevenagel H	43.98982924
27_1	C(C(C(O)=O)(CO)O)(O)=O	Knoevenagel H	150.016437912
C(C(C)=O)(O)=O	29_0	Knoevenagel C	88.016043988
C(C(CO)O)(O)=O	29_0	Knoevenagel C	106.02660867200001
29_0	C(C(CO)(C(C(O)=O)(C)O)O)(O)=O	Knoevenagel C	194.04265266000002
C(C(C)=O)(O)=O	29_1	Knoevenagel H	88.016043988
C(C(CO)O)(O)=O	29_1	Knoevenagel H	106.02660867200001
29_1	C(C(CO)(C(C(O)=O)(C)O)O)(O)=O	Knoevenagel H	194.04265266000002
