ID	Species	R or P	Reaction Name	Mass
8_0	C=O	-1	Aldol Condensation	30.010564684
8_0	C(CO)=O	-1	Aldol Condensation	60.021129368000004
8_0	C(C(CO)O)=O	1	Aldol Condensation	90.031694052
8_1	C=O	-1	Knoevenagel H	30.010564684
8_1	C(CO)=O	-1	Knoevenagel H	60.021129368000004
8_1	C(C(CO)O)=O	1	Knoevenagel H	90.031694052
9_0	C(CO)=O	-1	Keto-enol migration twice	60.021129368000004
9_0	C(CO)=O	1	Keto-enol migration twice	60.021129368000004
12_0	C=O	-1	Cannizarro 2, HCHO (oxidation)	30.010564684
12_0	C=O	-1	Cannizarro 2, HCHO (oxidation)	30.010564684
12_0	O	-1	Cannizarro 2, HCHO (oxidation)	18.010564684
12_0	C(O)=O	1	Cannizarro 2, HCHO (oxidation)	46.005479304
12_0	CO	1	Cannizarro 2, HCHO (oxidation)	32.026214748
12_1	C=O	-1	Cannizarro 2, HCHO (reduction)	30.010564684
12_1	C=O	-1	Cannizarro 2, HCHO (reduction)	30.010564684
12_1	O	-1	Cannizarro 2, HCHO (reduction)	18.010564684
12_1	C(O)=O	1	Cannizarro 2, HCHO (reduction)	46.005479304
12_1	CO	1	Cannizarro 2, HCHO (reduction)	32.026214748
14_0	C=O	-1	Cannizarro 2, HCHO (oxidation)	30.010564684
14_0	C(CO)=O	-1	Cannizarro 2, HCHO (oxidation)	60.021129368000004
14_0	O	-1	Cannizarro 2, HCHO (oxidation)	18.010564684
14_0	C(O)=O	1	Cannizarro 2, HCHO (oxidation)	46.005479304
14_0	C(CO)O	1	Cannizarro 2, HCHO (oxidation)	62.036779432
16_0	C=O	-1	Cannizarro 2, HCHO (reduction)	30.010564684
16_0	C(CO)=O	-1	Cannizarro 2, HCHO (reduction)	60.021129368000004
16_0	O	-1	Cannizarro 2, HCHO (reduction)	18.010564684
16_0	CO	1	Cannizarro 2, HCHO (reduction)	32.026214748
16_0	C(CO)(O)=O	1	Cannizarro 2, HCHO (reduction)	76.01604398799999
17_0	C(CO)=O	-1	Fe3 ---> Fe2 Aldehyde to acid	60.021129368000004
17_0	[OH-]	-1	Fe3 ---> Fe2 Aldehyde to acid	17.003288232
17_0	[Fe+3]	-1	Fe3 ---> Fe2 Aldehyde to acid	55.933291759999996
17_0	[Fe+3]	-1	Fe3 ---> Fe2 Aldehyde to acid	55.933291759999996
17_0	[H+]	1	Fe3 ---> Fe2 Aldehyde to acid	1.007276452
17_0	[Fe+2]	1	Fe3 ---> Fe2 Aldehyde to acid	55.933840339999996
17_0	[Fe+2]	1	Fe3 ---> Fe2 Aldehyde to acid	55.933840339999996
17_0	C(CO)(O)=O	1	Fe3 ---> Fe2 Aldehyde to acid	76.01604398799999
19_0	C(CO)=O	-1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	60.021129368000004
19_0	[Fe+3]	-1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	55.933291759999996
19_0	[Fe+3]	-1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	55.933291759999996
19_0	[H+]	1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	1.007276452
19_0	[H+]	1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	1.007276452
19_0	[Fe+2]	1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	55.933840339999996
19_0	[Fe+2]	1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	55.933840339999996
19_0	C(C=O)=O	1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	58.005479304000005
20_0	O	-1	Benzilic Acid Rearrangement	18.010564684
20_0	C(C=O)=O	-1	Benzilic Acid Rearrangement	58.005479304000005
20_0	C(CO)(O)=O	1	Benzilic Acid Rearrangement	76.01604398799999
20_1	O	-1	Cannizarro 1	18.010564684
20_1	C(C=O)=O	-1	Cannizarro 1	58.005479304000005
20_1	C(CO)(O)=O	1	Cannizarro 1	76.01604398799999
21_0	C(CO)(O)=O	-1	Benzilic Acid Rearrangement (inverse)	76.01604398799999
21_0	O	1	Benzilic Acid Rearrangement (inverse)	18.010564684
21_0	C(C=O)=O	1	Benzilic Acid Rearrangement (inverse)	58.005479304000005
22_0	C(C(CO)O)=O	-1	Retro Aldol	90.031694052
22_0	C=O	1	Retro Aldol	30.010564684
22_0	C(CO)=O	1	Retro Aldol	60.021129368000004
22_1	C(C(CO)O)=O	-1	Knoevenagel H (inv)	90.031694052
22_1	C=O	1	Knoevenagel H (inv)	30.010564684
22_1	C(CO)=O	1	Knoevenagel H (inv)	60.021129368000004
24_0	C(C(CO)O)=O	-1	Keto-enol migration twice	90.031694052
24_0	C(CO)(CO)=O	1	Keto-enol migration twice	90.031694052
26_0	C=O	-1	Cannizarro 2, HCHO (oxidation)	30.010564684
26_0	O	-1	Cannizarro 2, HCHO (oxidation)	18.010564684
26_0	C(C(CO)O)=O	-1	Cannizarro 2, HCHO (oxidation)	90.031694052
26_0	C(O)=O	1	Cannizarro 2, HCHO (oxidation)	46.005479304
26_0	C(C(CO)O)O	1	Cannizarro 2, HCHO (oxidation)	92.047344116
27_0	C=O	-1	Cannizarro 2, HCHO (oxidation)	30.010564684
27_0	O	-1	Cannizarro 2, HCHO (oxidation)	18.010564684
27_0	C(C=O)=O	-1	Cannizarro 2, HCHO (oxidation)	58.005479304000005
27_0	C(CO)=O	1	Cannizarro 2, HCHO (oxidation)	60.021129368000004
27_0	C(O)=O	1	Cannizarro 2, HCHO (oxidation)	46.005479304
29_0	C=O	-1	Cannizarro 2, HCHO (reduction)	30.010564684
29_0	O	-1	Cannizarro 2, HCHO (reduction)	18.010564684
29_0	C(C=O)=O	-1	Cannizarro 2, HCHO (reduction)	58.005479304000005
29_0	CO	1	Cannizarro 2, HCHO (reduction)	32.026214748
29_0	C(C(O)=O)=O	1	Cannizarro 2, HCHO (reduction)	74.000393924
31_0	C(C(CO)O)=O	-1	Elimination + enol to keto	90.031694052
31_0	O	1	Elimination + enol to keto	18.010564684
31_0	C(C(C)=O)=O	1	Elimination + enol to keto	72.021129368
33_0	C(C(CO)O)=O	-1	Elimination + enol to keto	90.031694052
