Source	Target	Reaction Name	Mass

C=O	8_0	Aldol Condensation	30.010564684
C(CO)=O	8_0	Aldol Condensation	60.021129368000004
8_0	C(C(CO)O)=O	Aldol Condensation	90.031694052
C=O	8_1	Knoevenagel H	30.010564684
C(CO)=O	8_1	Knoevenagel H	60.021129368000004
8_1	C(C(CO)O)=O	Knoevenagel H	90.031694052
C(CO)=O	9_0	Keto-enol migration twice	60.021129368000004
9_0	C(CO)=O	Keto-enol migration twice	60.021129368000004
C=O	12_0	Cannizarro 2, HCHO (oxidation)	30.010564684
C=O	12_0	Cannizarro 2, HCHO (oxidation)	30.010564684
O	12_0	Cannizarro 2, HCHO (oxidation)	18.010564684
12_0	C(O)=O	Cannizarro 2, HCHO (oxidation)	46.005479304
12_0	CO	Cannizarro 2, HCHO (oxidation)	32.026214748
C=O	12_1	Cannizarro 2, HCHO (reduction)	30.010564684
C=O	12_1	Cannizarro 2, HCHO (reduction)	30.010564684
O	12_1	Cannizarro 2, HCHO (reduction)	18.010564684
12_1	C(O)=O	Cannizarro 2, HCHO (reduction)	46.005479304
12_1	CO	Cannizarro 2, HCHO (reduction)	32.026214748
C=O	14_0	Cannizarro 2, HCHO (oxidation)	30.010564684
C(CO)=O	14_0	Cannizarro 2, HCHO (oxidation)	60.021129368000004
O	14_0	Cannizarro 2, HCHO (oxidation)	18.010564684
14_0	C(O)=O	Cannizarro 2, HCHO (oxidation)	46.005479304
14_0	C(CO)O	Cannizarro 2, HCHO (oxidation)	62.036779432
C=O	16_0	Cannizarro 2, HCHO (reduction)	30.010564684
C(CO)=O	16_0	Cannizarro 2, HCHO (reduction)	60.021129368000004
O	16_0	Cannizarro 2, HCHO (reduction)	18.010564684
16_0	CO	Cannizarro 2, HCHO (reduction)	32.026214748
16_0	C(CO)(O)=O	Cannizarro 2, HCHO (reduction)	76.01604398799999
C(CO)=O	17_0	Fe3 ---> Fe2 Aldehyde to acid	60.021129368000004
[OH-]	17_0	Fe3 ---> Fe2 Aldehyde to acid	17.003288232
[Fe+3]	17_0	Fe3 ---> Fe2 Aldehyde to acid	55.933291759999996
[Fe+3]	17_0	Fe3 ---> Fe2 Aldehyde to acid	55.933291759999996
17_0	[H+]	Fe3 ---> Fe2 Aldehyde to acid	1.007276452
17_0	[Fe+2]	Fe3 ---> Fe2 Aldehyde to acid	55.933840339999996
17_0	[Fe+2]	Fe3 ---> Fe2 Aldehyde to acid	55.933840339999996
17_0	C(CO)(O)=O	Fe3 ---> Fe2 Aldehyde to acid	76.01604398799999
C(CO)=O	19_0	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	60.021129368000004
[Fe+3]	19_0	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	55.933291759999996
[Fe+3]	19_0	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	55.933291759999996
19_0	[H+]	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	1.007276452
19_0	[H+]	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	1.007276452
19_0	[Fe+2]	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	55.933840339999996
19_0	[Fe+2]	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	55.933840339999996
19_0	C(C=O)=O	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	58.005479304000005
O	20_0	Benzilic Acid Rearrangement	18.010564684
C(C=O)=O	20_0	Benzilic Acid Rearrangement	58.005479304000005
20_0	C(CO)(O)=O	Benzilic Acid Rearrangement	76.01604398799999
O	20_1	Cannizarro 1	18.010564684
C(C=O)=O	20_1	Cannizarro 1	58.005479304000005
20_1	C(CO)(O)=O	Cannizarro 1	76.01604398799999
C(CO)(O)=O	21_0	Benzilic Acid Rearrangement (inverse)	76.01604398799999
21_0	O	Benzilic Acid Rearrangement (inverse)	18.010564684
21_0	C(C=O)=O	Benzilic Acid Rearrangement (inverse)	58.005479304000005
C(C(CO)O)=O	22_0	Retro Aldol	90.031694052
22_0	C=O	Retro Aldol	30.010564684
22_0	C(CO)=O	Retro Aldol	60.021129368000004
C(C(CO)O)=O	22_1	Knoevenagel H (inv)	90.031694052
22_1	C=O	Knoevenagel H (inv)	30.010564684
22_1	C(CO)=O	Knoevenagel H (inv)	60.021129368000004
C(C(CO)O)=O	24_0	Keto-enol migration twice	90.031694052
24_0	C(CO)(CO)=O	Keto-enol migration twice	90.031694052
C=O	26_0	Cannizarro 2, HCHO (oxidation)	30.010564684
O	26_0	Cannizarro 2, HCHO (oxidation)	18.010564684
C(C(CO)O)=O	26_0	Cannizarro 2, HCHO (oxidation)	90.031694052
26_0	C(O)=O	Cannizarro 2, HCHO (oxidation)	46.005479304
26_0	C(C(CO)O)O	Cannizarro 2, HCHO (oxidation)	92.047344116
C=O	27_0	Cannizarro 2, HCHO (oxidation)	30.010564684
O	27_0	Cannizarro 2, HCHO (oxidation)	18.010564684
C(C=O)=O	27_0	Cannizarro 2, HCHO (oxidation)	58.005479304000005
27_0	C(CO)=O	Cannizarro 2, HCHO (oxidation)	60.021129368000004
27_0	C(O)=O	Cannizarro 2, HCHO (oxidation)	46.005479304
C=O	29_0	Cannizarro 2, HCHO (reduction)	30.010564684
O	29_0	Cannizarro 2, HCHO (reduction)	18.010564684
C(C=O)=O	29_0	Cannizarro 2, HCHO (reduction)	58.005479304000005
29_0	CO	Cannizarro 2, HCHO (reduction)	32.026214748
29_0	C(C(O)=O)=O	Cannizarro 2, HCHO (reduction)	74.000393924
C(C(CO)O)=O	31_0	Elimination + enol to keto	90.031694052
31_0	O	Elimination + enol to keto	18.010564684
31_0	C(C(C)=O)=O	Elimination + enol to keto	72.021129368
C(C(CO)O)=O	33_0	Elimination + enol to keto	90.031694052
33_0	O	Elimination + enol to keto	18.010564684
33_0	C(CC=O)=O	Elimination + enol to keto	72.021129368
