ID	Type
C(C(C)(C(C(CC=C)=O)O)O)=O	1
C(C(C1CCC(C1O)O)=O)=O	1
C(C1(C2(COC(CC2O)O1)O)O)=O	1
C(C(C(C(CO)C(C)O)O)=O)(O)=O	1
C(C1(C(CC(C(C1O)O)=O)O)O)=O	1
C1C(C(CO1)O)(C(C)(CO)O)O	1
C(C(C(C(O)O)O)=O)(O)=O	1
C1(COC(C1C=CCO)O)=O	1
C1(C(C(C(CO1)=O)O)O)=O	1
C(C(C(OC(C=O)CO)=O)O)(O)=O	1
C(CC1(C(O)OC(CO)C1)O)=O	1
C(C1(C(C)OC(C(C1O)O)O)O)=O	1
C(CC(C(C(CC=O)=O)O)O)(O)=O	1
C(C(C=O)C1C(OCC1)=O)=O	1
C(C)(CC(C(C=O)=O)CC=CC=O)=O	1
C(C(C(C=O)=O)C(C=O)(C=O)O)=O	1
C(C(C(C=O)=C)CC(C=O)C=O)=O	1
C(C(C(CCO)O)(CC(O)=O)O)=O	1
C1(C(CO)(C(C(CO)O1)O)O)=O	1
C(CC(C(C(CCO)O)=O)=O)=O	1
C(C1CC(C(O)=O)(C(C1)O)O)=O	1
C(CC(CO)(CC(C(C)=O)=O)O)=O	1
C(CCC=C)(O)=O	1
C(C)(C(C(C=O)=CC)O)=O	1
C(C(C(CO)=O)=CC(CCO)=O)=O	1
C(C)(C(C1C(C)(CC(O)O1)O)O)=O	1
C(CO)(C(C)(C(C=C)(CO)O)O)=O	1
C(C(C=C)CC(C=O)C(CO)=O)=O	1
C(CO)(CC(C=CC(CO)=O)O)=O	1
C(C(CO)CC(C=C)O)(O)=O	1
[C](C(O)=O)(C(CO)C(C)(CO)O)O	1
C1(C(C(C(C(C=O)O1)O)=O)O)=O	1
C(CC(C(O)=O)=CC=O)=O	1
C(C)=C(C(O)=O)C(CO)=O	1
C(C1(C(C(C=O)(CC1O)O)O)O)=O	1
C(C(C)O)(C([C](C(O)=O)O)O)=O	1
C(C(C)(CCC=O)O)(CC=O)=O	1
C(CCC1(C(C(CO)OC1)=O)O)=O	1
C(C(C(CCO)=O)C(C(C)O)O)=O	1
C(C(C=O)(CO)CC=O)=O	1
C(C(CC)(C1C(C(CO1)O)=O)O)=O	1
C(C=CC=C1C(C(O)OC1)=O)=O	1
C1(C(O)OC(CO)(CO)CC1)=O	1
C(C(C=O)(C(C=O)=CCO)CO)=O	1
C(CC(C=O)(O)O)(CCO)=O	1
C(CC(CC(C)O)O)=O	1
C(C1(CC(O)OC1CCO)O)(O)=O	1
C(C1(C(C(CC1C=O)=O)O)O)=O	1
C(C1(C(CC(OC1C)=O)O)O)=O	1
C(C)(C1C2(C(O)OC(C2O)O1)O)=O	1
C(C1C(CC(C(O1)=O)O)=O)=O	1
C(CO)(CC(C=CCO)O)=O	1
C(C1C(COC1O)=CC=O)=O	1
C(C(C(CO)O)(CC=O)O)=O	1
C(CC(CC(C(C)=O)=O)O)=C	1
C(C(C(C(C(C)=O)O)=C)O)=O	1
C(CO)(C(C)(C1(C=COC1)O)O)=O	1
C1(C(CC(C(CC=O)O1)=O)O)=O	1
C(C(C1(C(CO)C(CO1)O)O)O)=O	1
C(C(C=O)(C(C=O)=C)C(C=O)O)=O	1
C1(C(C(CO)C(C(O)O1)O)=O)=O	1
C(C(CC(C(O)=O)=O)O)=CC(C)=O	1
C(CC(C(CCO)=O)CC=O)=O	1
C(C(C(C(O)=O)=CCO)O)(O)=O	1
C(CCCC(C(CC(C=O)=O)=O)=O)=O	1
C1(C(C(CO)C(C1CO)O)=O)=O	1
C(C(C=O)(C)C(C(O)O)O)(O)=O	1
C1(C(CC(C)(O)O1)=O)=O	1
C(C(C)(C(C(C=O)=CC)O)O)=O	1
C(C1(C(C(C)O)C(CO1)(C)O)O)=O	1
C1(C(CCO)OC(C(C1O)=O)O)=O	1
C(C(C)C(C(O)=O)O)=O	1
C(C1CC(C(C(C(O1)O)=O)O)O)=O	1
C(CC)(C(C(O)=O)(CC=O)O)=O	1
C1(C(C(C(O1)=CCO)O)O)=O	1
C1(C(O)OCC(C1O)O)=CC=O	1
C(C(C(C=O)=O)CO)=O	1
C(C(C(C=O)=CCO)(C(C)O)O)=O	1
C(C(C(C)O)C(C(C)=O)(CO)O)=O	1
C(C1(C(CC(C1CO)O)O)O)=O	1
C1(C([C](C(O1)=O)O)(CO)O)=O	1
C(CC(C)C(C(C=O)=O)(C)CC=O)=O	1
C(CC(CO)(C(C(C)O)O)O)=O	1
C(C1(C=O)C(C(OC1C=O)O)O)=O	1
C(C(C=O)CC(C(C=O)O)O)(O)=O	1
C1(CC2(C(C(C(CO)O2)O)O1)O)O	1
C(CC(C(C(CO)=O)=C)O)(O)=O	1
C(C1(CC(C)(C(CO)O1)O)O)=O	1
C(C1C2(C(O)OC(C2)O1)O)(O)=O	1
C(C(C)O)(C(CO)(CCO)O)=O	1
C(C(C(C)C(C)O)C(C=O)O)=O	1
C(CC(CO)C(C=CC=O)O)=O	1
C1(COC(C1C(C(C=O)=O)O)O)=O	1
C(C(C(C=O)=C)CCC(O)=O)=O	1
C1CC(C(CC(CO)(O)O1)O)O	1
C(C1(C(C2(CC(C1O2)O)O)O)O)=O	1
C(C1C(C(C=CO1)O)O)(O)=O	1
C(CC(C(C(O)=O)=CCO)O)=O	1
C(C(C(C(C(C)=O)O)=O)O)(O)=O	1
C(C(C=CC(C)O)(C)O)(O)=O	1
C(CO)(C(C(CC(CO)O)O)O)=O	1
C(CO)(C(C=CCO)(CO)O)=O	1
C(C1CC(C(CO)(O1)O)O)(O)=O	1
C(C(C(C=O)=C)C(C(O)O)O)=O	1
C(CO)(C(CO)C(C)O)=O	1
C(CC1(C)C(C(C(C)(O)O1)O)O)=O	1
C(C(C)(C(C=C)O)CC(C=O)=O)=O	1
C(C(C(C(C)(C(C)O)O)O)(O)O)=O	1
C(C)(C(CO)(C(CO)(C)O)O)=O	1
C(C1C(C(C(O)OCC1)=O)=O)=O	1
C(C(CC(C(O)=O)=O)O)=O	1
C1(C(CC(C1O)O)(C(C=O)O)O)=O	1
C(CO)(C(CO)C(CO)O)=O	1
C(C(C)(C(C(CC)=O)O)O)=O	1
C(C(C(C(C=O)CO)=O)C)(O)=O	1
C1(C(C(CC=C)O)(O)OCC1)=O	1
C(C1(C=CC(CO)O1)O)=O	1
C(CC(CC(C(O)O)=O)=O)=O	1
C(CC(C)(C(C(C(O)=O)=O)O)O)=O	1
C(C1(C)C(C(C(O1)O)=O)O)(O)=O	1
C1(C(CC(C(CO)C(O)O1)O)O)=O	1
C(C(CCC(C=O)=O)CO)=O	1
C(C(CC)(C(C=O)C(CO)=O)O)=O	1
C(CC([C](C(O)=O)O)(C)O)(CO)=O	1
C(C(C(C)=O)O)(C(C(C=C)=O)O)=O	1
C1C2CC(C(O)O2)(O)O1	1
C(CO)(CC(C(CO)=O)=C)=O	1
C(C(C(CO)O)C(C(C)O)O)(O)=O	1
C(CC=O)(C(C(C=O)=O)(CO)O)=O	1
C1(C([C](C(O)=O)O)(CC(O)O1)O)=O	1
C(CCCC(CC(C(O)=O)=O)O)=O	1
C(CC(CO)C(C(O)=O)(O)O)=O	1
C1(C(COC(CC1)O)=O)=O	1
C(C(C(CO)(O)O)O)(CCO)=O	1
C(C(C=O)C(C(C=O)C=O)O)=O	1
C(C(C)(CC(O)=O)C(C=O)C=O)=O	1
C(C(C=CC(CO)O)C(C)O)=O	1
C1(C(C(CO)O)(CC(CO1)O)O)=O	1
C(C1(C(COC(CC1O)O)O)O)=O	1
C(C(C(C=O)(O)O)O)=O	1
C(C(C(CO)C(C(O)O)O)O)=O	1
CC1(C(CO)(C(C(C)O1)O)O)O	1
C1(C(C(CO)C(C(O)O)O1)=O)=O	1
C(C1(C(CC(CC(O1)O)O)O)O)=O	1
C(C1(CO)C(C(C(O1)O)O)O)(O)=O	1
C(C)(C(CCO)CC(C=O)=O)=O	1
C1(C2C(CO)(C(C(O2)O)(C1)O)O)=O	1
C(C1(C=O)C(CC(C1(C)O)O)O)=O	1
C(CCC(C(C=O)C(CO)=O)O)=O	1
C(C(CO)(CCC(C(O)=O)O)O)=O	1
C1(CCOC(C(C1)=O)=O)=O	1
C1(C(C(C(CO)O1)=O)(C)O)=O	1
C(C(CO)C(C(O)=O)O)=O	1
C1(C(O)OCC(C)(C1(CO)O)O)=O	1
C(C(C(C=O)=O)O)=C(C=O)CO	1
C(C(C(C[C](C(O)=O)O)O)O)(O)=O	1
C(C(CCC(C)O)=O)(O)=O	1
C(C(CC(C(C)=O)=O)O)(O)=O	1
C1OC(C(C=1)=O)CCC(C=O)=O	1
C(C(C=O)C1(C(O)OCC1O)O)=O	1
C(C1COC(C1(CCO)O)O)=O	1
C(C1(CC(CO1)=O)O)=O	1
C(CC(C(C(CC)=O)O)=O)=O	1
C(C1C(C(O)O)OC(CC1O)O)=O	1
C(C(C1(COCC1(CO)O)O)O)=O	1
C(C(C=O)C(CO)C(C(O)=O)O)=O	1
C(C1(C(C(C(C1O)O)O)O)O)O	1
C1(C(C(C(O)O1)(C(C)O)O)=O)=O	1
C(C(O)OCCC(C=O)=O)(CO)=O	1
C(C(C=O)CCC(C(O)=O)=O)=O	1
C(C(C=C)C(C(CO)CO)O)=O	1
C(C(C)(CCC(C(O)=O)=O)O)(O)=O	1
C1(C(CC(C(C(CO)O)O)O1)O)=O	1
C(C(C1C(C(C(O1)O)O)=O)O)(O)=O	1
C1(C(CO)(CO)C(C(C1)=O)O)=O	1
C1(C(C(C(CC(C1)O)=O)O)O)=O	1
C(CC(C)(C(C=O)O)C(C=O)C=C)=O	1
C(C(C(CCC(C=O)=O)O)O)=O	1
C(C(C=C)C(C(C(C)=CC=O)O)O)=O	1
C(C(CO)CO)(C(C(CO)=O)O)=O	1
C(C(CO)CO)(CC(CO)=O)=O	1
C(CCC(C=CC(C=O)=O)O)(O)=O	1
C(C(C(C=C)=O)(C(C=C)O)O)=O	1
C(CC1C(C(C(O)O1)(CO)O)O)=O	1
C(CC(C(CO)(C(C)O)O)=O)(O)=O	1
C(CC(CC(C(O)=O)O)O)=O	1
C(C)(C(C(C=O)=CC)(CO)O)=O	1
C(CC(C1C(C(C(O1)O)O)=O)O)=O	1
C(CC1C(OCC1)=O)=O	1
C(C(C=O)CCO)=O	1
C(C(C(O)=O)(CCO)O)(O)=O	1
C(CC=C(C(O)=O)C(C=O)=O)=O	1
C(CO)(CCCC(C=O)=CC=O)=O	1
C(C(C(C=CCO)=O)(C(C)O)O)=O	1
C(C)(CC(C1C(COC1O)=O)O)=O	1
C(C(C(C)=O)(C(C=O)=O)C(C=C)O)=O	1
C(C1(CO)C(C(C)(CC1O)O)O)=O	1
C(CC1(C(CC(C(C1)O)=O)O)O)=O	1
C(C1CC(C(C(C(O1)O)O)O)O)=O	1
C(C1C(C(CC1O)O)O)=O	1
C1(COCC1(C(C)O)O)=O	1
C(C1(CC(CC(O1)O)O)CC=O)=O	1
C(CCC(CC(O)=O)CC(O)=O)=O	1
C1(C(O)OC(C(C)O)C1CO)=O	1
C(C)(C(C=O)(C(CC=C)O)CC=O)=O	1
C(C(C(C=O)=O)CO)=CC(C)O	1
C(C1C(C)(C(CC(O1)O)O)O)(O)=O	1
C(C1C(C(C(O1)=C)O)O)(O)=O	1
C(CC1C(C(C(C(O)O1)O)O)O)=O	1
CC(CO)(C1C(O)OCC1O)O	1
