ID	Type
C(C)=C(C)C	1
CCCCO	1
C(C(O)O)=O	1
[Fe+3]	1
C(C(C)C)(O)=O	1
C(CC=C)=O	1
C(C)=CCO	1
C(C)(CCO)=O	1
C(CCO)(O)=O	1
C(CCO)O	1
[CH](C(O)=O)CC	1
C1C(CCO1)O	1
C(CC(O)=O)=O	1
C	1
C(CO)(O)=O	1
CC(C)(C)O	1
C(C=O)=O	1
C(CCCO)O	1
CC(C)CO	1
C(C)=O	1
C=C(C)CC	1
CC(C)(CO)O	1
C(C(C)=O)(O)=O	1
C(C(CO)=O)=O	1
O	1
C(C(O)=O)=O	1
C(CC=O)=O	1
C(C)=CC=O	1
CC(CC)O	1
C(C)(O)=O	1
C(C(O)=O)(O)=O	1
C(CCCO)=O	1
C(C)(C(C)O)=O	1
CC(C)CCO	1
C(C(C=O)O)=O	1
C=C(C(O)=O)C	1
[H+]	1
CC(CO)CO	1
C(C(O)O)O	1
C=C	1
[Fe+2]	1
CC(C)C(C)O	1
C=C(C)CO	1
C=C(C=O)C	1
CC(C)O	1
C=CC(C)O	1
C(C(O)O)(O)=O	1
C(C)(CC)=O	1
C(=O)=O	1
[C](C(O)=O)(O)O	1
C=CCCO	1
C([CH]CO)(O)=O	1
C(C(CO)O)O	1
C(CCO)=O	1
CC(C)(CC)O	1
C(C(CC)=O)=O	1
[C](C(O)=O)=C	1
C1COCC=1	1
C=CC(C)C	1
CO	1
C(CC(C)C)=O	1
CCC(CO)O	1
C(CO)=O	1
CC(CO)O	1
C(CC)=O	1
C=O	1
C1CCC(O)O1	1
C(C(C)CC)=O	1
C(CCC)(O)=O	1
C(CCC)=O	1
C(C(C)O)(O)=O	1
C=CC=C	1
C([C](C)O)(O)=O	1
C=CC(CO)O	1
C=CC	1
C(C)=CC(O)=O	1
C(C)=CC	1
C(C(C)C)=O	1
C(C(C)=O)=O	1
C(CC)(O)=O	1
CC(CO)CC	1
C1CCOC=1	1
[CH](C(O)=O)O	1
C(CCCC=C)=O	1
C(CO)(CC)=O	1
C(C(C)(C)O)=O	1
C=C(C)C	1
CCCO	1
C=CCO	1
C(CO)(CO)=O	1
CC(CCO)O	1
C=CC=O	1
C(C(C)CO)=O	1
C(C(C)O)=O	1
C(C)(C)=O	1
CC(C(C)O)O	1
C(O)=O	1
CCO	1
C=CCC	1
C(C)(CO)=O	1
C(C(CC)O)=O	1
C(C)(CCC)=O	1
C=CC(O)=O	1
C(C(CO)O)=O	1
C(CC=C)(O)=O	1
C(CC(C)O)=O	1
C(CO)O	1
[OH-]	1
C=CC(C)=O	1
65_0	2
297_0	2
33_0	2
101_0	2
213_0	2
39_0	2
331_0	2
140_0	2
302_0	2
196_0	2
273_0	2
128_0	2
337_0	2
322_0	2
195_0	2
75_1	2
200_0	2
274_0	2
158_0	2
305_0	2
311_0	2
236_0	2
262_0	2
268_0	2
118_0	2
102_0	2
111_0	2
166_0	2
35_0	2
199_0	2
300_0	2
122_0	2
219_0	2
220_0	2
202_0	2
22_0	2
133_0	2
258_0	2
289_0	2
231_0	2
36_0	2
247_0	2
217_0	2
284_0	2
310_0	2
61_0	2
170_0	2
285_0	2
317_0	2
173_0	2
169_0	2
208_0	2
177_0	2
269_0	2
149_0	2
191_0	2
294_0	2
50_0	2
73_0	2
24_0	2
26_0	2
154_0	2
212_0	2
216_0	2
184_0	2
171_0	2
117_0	2
89_0	2
29_0	2
141_0	2
292_0	2
91_0	2
296_0	2
215_0	2
298_0	2
164_0	2
8_0	2
98_0	2
223_0	2
57_0	2
334_0	2
263_0	2
99_0	2
123_0	2
328_0	2
276_0	2
90_0	2
144_0	2
165_0	2
109_0	2
230_0	2
113_0	2
325_0	2
232_0	2
221_0	2
12_0	2
107_0	2
146_0	2
120_0	2
270_0	2
225_0	2
206_0	2
291_0	2
130_0	2
260_0	2
192_0	2
115_0	2
243_0	2
145_0	2
252_0	2
313_0	2
178_0	2
64_0	2
75_0	2
240_0	2
288_0	2
95_0	2
54_0	2
278_0	2
125_0	2
306_0	2
324_0	2
10_0	2
341_0	2
80_0	2
197_0	2
272_0	2
48_1	2
18_0	2
319_0	2
179_0	2
143_0	2
69_0	2
129_0	2
138_0	2
333_0	2
167_0	2
238_0	2
74_0	2
77_0	2
280_0	2
103_0	2
137_0	2
255_0	2
14_0	2
287_0	2
43_0	2
20_0	2
126_0	2
28_0	2
56_0	2
335_0	2
41_0	2
314_0	2
159_0	2
283_0	2
97_0	2
241_0	2
70_0	2
234_0	2
183_0	2
336_0	2
176_0	2
259_0	2
27_0	2
214_0	2
150_0	2
89_1	2
265_0	2
275_0	2
226_0	2
309_0	2
295_0	2
174_0	2
201_0	2
151_0	2
224_0	2
25_0	2
79_0	2
156_0	2
316_0	2
160_0	2
181_0	2
186_0	2
48_0	2
180_0	2
16_0	2
338_0	2
320_0	2
190_0	2
222_0	2
93_0	2
131_0	2
194_0	2
282_0	2
256_0	2
105_0	2
204_0	2
329_0	2
81_0	2
84_0	2
82_0	2
182_0	2
210_0	2
242_0	2
31_0	2
245_0	2
266_0	2
327_0	2
38_0	2
148_0	2
59_0	2
193_0	2
71_0	2
114_0	2
228_0	2
152_0	2
250_0	2
254_0	2
136_0	2
142_0	2
135_0	2
249_0	2
142_1	2
340_0	2
45_0	2
62_0	2
86_0	2
26_1	2
127_0	2
308_0	2
188_0	2
28_1	2
162_0	2
52_0	2
132_0	2
304_0	2
55_0	2
67_0	2
